GeneType,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
0,419867,26,26,0,33,419010,1
0,1465514,80,80,0,46,1464672,0
0,25097,62,62,0,25,24648,0
0,1795788,48,48,0,9,1795339,1
0,360949,36,36,0,30,360191,1
0,2126663,21,21,0,34,2125983,1
0,106626,2,2,0,48,106183,0
0,1512529,18,18,0,30,1511897,1
0,1801028,85,85,0,6,1800459,0
0,187539,4,4,0,18,186739,0
0,455384,88,88,0,47,454782,0
0,18478,13,13,0,25,17702,0
0,522763,57,57,0,28,521789,1
0,582312,0,0,0,4,581629,1
0,334491,37,37,0,49,333733,1
0,398960,27,27,0,27,398058,0
0,192020,69,69,0,28,191304,0
0,390327,11,11,0,30,389875,1
0,5270,61,61,0,25,4815,1
0,1249825,35,35,0,34,1249373,1
0,548988,16,16,0,52,548008,1
0,382758,90,90,0,18,382141,1
0,1915099,47,47,0,9,1914353,1
0,1404526,44,44,0,52,1403861,1
0,229245,104,104,0,35,228751,0
0,447197,92,92,0,18,446745,1
0,47774,64,64,0,25,46746,0
0,215252,107,107,0,7,214692,0
0,2055769,82,82,0,2,2055320,1
0,213832,23,23,0,18,212933,1
0,404244,66,66,0,50,403621,1
1,171000,38,38,2,17,170227,1
0,1351182,74,74,0,49,1350433,1
0,469905,60,60,0,15,469240,0
0,190450,99,99,0,42,190100,0
0,1500372,19,19,0,6,1500022,0
0,19040,55,55,0,25,18594,0
0,1292754,32,32,0,6,1292116,0
0,293595,58,58,0,40,292942,0
0,504446,93,93,0,2,503646,1
0,491545,94,94,0,2,490745,1
0,1335494,33,33,0,32,1334871,1
1,311877,51,51,1,29,310678,0
0,516832,14,14,0,16,515849,1
0,930230,65,65,0,9,929781,1
0,1962152,46,46,0,22,1961658,1
0,2108845,49,49,0,6,2108303,1
0,24241,25,25,0,25,23690,0
0,369901,12,12,0,41,369557,1
0,533902,105,105,0,0,533237,1
0,1327169,34,34,0,6,1326369,0
0,17745,71,71,0,11,16912,1
1,509814,68,68,3,19,509014,0
0,249191,30,30,0,27,247920,0
0,1040614,101,101,0,38,1040054,1
1,374729,77,77,1,10,373830,1
0,258510,79,79,0,42,258202,0
0,981065,40,40,0,23,980400,1
0,3241,97,97,0,21,2789,0
0,2054734,8,8,0,32,2054069,1
0,249755,31,31,0,1,248955,0
0,354499,29,29,0,35,353846,0
0,21345,87,87,0,27,20596,0
0,541726,15,15,0,25,540743,1
0,1188592,75,75,0,6,1187834,1
0,398759,78,78,0,49,398094,0
0,30522,86,86,0,39,29761,1
0,2006097,83,83,0,8,2005645,0
0,2046738,9,9,0,6,2046013,1
0,989439,20,20,0,6,989029,1
0,543870,102,102,0,52,542632,1
0,835812,95,95,4,25,835600,0
0,985522,39,39,0,5,984710,1
0,873951,10,10,0,11,873346,0
0,976756,41,41,0,44,976091,1
0,2720,96,96,0,21,1839,0
0,574747,28,28,0,14,573722,0
0,1771495,45,45,0,12,1771046,0
0,439937,91,91,0,2,439305,0
0,25672,63,63,0,25,25139,0
0,1055868,56,56,0,25,1055320,0
0,1133852,98,98,0,36,1133403,0
0,6198,5,5,0,43,5503,1
0,58473,1,1,0,20,57784,0
0,260224,52,52,0,51,259535,1
0,2014286,50,50,0,39,2013333,1
0,3147,53,53,0,25,2389,1
0,121362,106,106,0,26,120919,0
0,407069,59,59,0,35,406629,0
0,166893,3,3,0,45,166510,1
0,16682,72,72,0,3,16377,1
0,203789,70,70,0,28,203085,0
0,1589372,22,22,0,34,1589025,1
0,1379076,73,73,0,5,1378327,1
0,1474,7,7,0,37,1025,1
0,972438,42,42,0,6,971773,1
0,26420,54,54,0,25,25257,1
1,1694721,6,6,1,13,1693825,1
0,430215,103,103,0,30,429457,1
0,2189977,81,81,0,22,2189303,1
0,4118,24,24,0,25,3549,0
0,45033,89,89,0,24,44497,0
0,576203,43,43,0,4,575301,1
0,1027295,100,100,0,31,1026840,0
0,1966887,84,84,0,30,1966264,0
0,561672,67,67,0,0,560914,1
0,1125325,76,76,0,5,1124525,1
0,1533448,17,17,0,6,1532690,0
