Sport_Type,Host_Country,Official_Website,Pro_Cycling_Stats_Race_Id,Edition_Number,Start_Location,Participating_Teams,Participant_Count,End_Location
0,6,11,,11.0,19,7,18,15
0,1,26,247548.0,67.0,16,6,17,12
0,5,9,247151.0,55.0,11,4,18,21
0,3,0,,47.0,17,16,18,20
0,6,13,,12.0,19,19,18,15
0,5,29,279094.0,58.0,11,16,18,21
0,5,25,255991.0,104.0,26,7,14,13
0,1,1,,,19,19,18,15
0,10,31,209948.0,73.0,18,17,18,6
0,6,0,,6.0,19,19,18,15
0,8,2,279716.0,49.0,22,12,18,10
0,8,19,294252.0,50.0,22,14,18,2
0,6,0,,9.0,19,17,18,15
0,6,0,,8.0,19,2,18,15
0,10,10,255766.0,74.0,20,7,6,5
0,6,0,,7.0,19,1,18,15
0,5,29,290104.0,59.0,11,14,18,21
0,3,30,218505.0,4.0,10,17,9,1
0,6,12,,14.0,19,19,18,15
0,6,0,,18.0,19,19,18,15
0,3,5,269592.0,52.0,2,9,18,3
0,6,14,,16.0,19,19,18,15
0,4,23,270463.0,36.0,27,9,3,24
0,6,15,,12.0,19,19,18,15
0,3,0,268362.0,109.0,5,9,13,16
0,3,28,269820.0,68.0,14,10,0,9
0,12,21,181201.0,13.0,12,2,2,19
0,7,32,255955.0,10.0,6,8,1,23
0,6,12,,11.0,19,19,18,15
0,5,6,247231.0,103.0,15,4,13,13
0,1,7,218466.0,66.0,21,3,16,12
0,2,4,210041.0,15.0,3,17,11,7
0,6,0,,2.0,19,19,18,15
0,6,16,,,19,19,18,15
0,6,0,,18.0,19,19,18,15
0,6,0,,5.0,19,15,18,15
0,6,0,,1.0,19,19,18,15
0,3,17,,22.0,19,19,15,15
0,6,0,,8.0,19,2,18,15
0,6,0,,10.0,19,4,18,15
0,1,18,289984.0,24.0,25,14,18,14
0,5,9,255531.0,56.0,11,7,18,21
0,6,15,,15.0,19,19,18,15
0,0,3,279601.0,39.0,24,13,10,22
0,6,0,,,19,19,18,15
0,6,0,,4.0,19,19,18,15
0,6,11,,12.0,19,9,18,15
0,6,0,,7.0,19,1,18,15
0,3,5,255367.0,51.0,2,7,7,3
0,6,0,,17.0,19,19,18,15
0,2,33,282704.0,50.0,7,16,18,4
0,9,34,269600.0,73.0,9,11,18,25
0,6,0,,13.0,19,16,18,15
0,6,0,,19.0,19,19,18,15
0,11,8,255453.0,3.0,0,7,5,0
0,6,0,,,19,19,18,15
0,9,27,279354.0,78.0,1,16,18,11
0,12,21,170970.0,12.0,23,0,4,17
0,6,15,,15.0,19,19,18,15
0,5,29,268290.0,57.0,11,9,18,21
0,0,20,190625.0,36.0,24,18,12,22
0,3,22,268394.0,74.0,8,9,18,18
0,1,0,,,19,19,18,15
0,3,30,247576.0,5.0,4,5,7,1
0,11,8,268264.0,4.0,13,9,18,8
0,6,0,,3.0,19,19,18,15
0,3,24,218479.0,49.0,2,17,8,3
0,11,8,255453.0,3.0,0,7,5,0
0,6,0,,9.0,19,17,18,15
