Gene_Subclass,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Genomic_End_Position
0,15358853,0,26,0,26,0,15360565
0,12512236,1,23,1,23,4,12513680
0,2884196,1,5,0,5,4,2887522
0,7459967,1,12,0,12,4,7460551
0,2384263,1,3,0,3,4,2385948
0,1223366,0,2,1,2,0,1224915
0,17427897,1,32,3,32,3,17428676
0,9602386,1,20,3,20,4,9603600
0,20081842,0,37,0,37,2,20084058
0,19879143,1,36,0,36,2,19880381
0,22916293,0,41,0,41,3,22917396
0,7153471,1,10,0,10,4,7156671
0,3386035,0,6,0,6,0,3388596
0,7441054,0,11,3,11,0,7442496
0,8720480,1,18,1,18,4,8721067
0,13087050,1,24,1,24,0,13088041
0,22917489,0,42,1,42,2,22919345
0,20687577,0,38,0,38,2,20691680
0,8890575,0,19,0,19,0,8892434
0,5682041,1,8,0,8,4,5683900
0,14599311,0,25,0,25,0,14601803
0,21158294,0,39,1,39,2,21160683
0,16693409,1,28,0,28,3,16695976
0,9860879,1,22,3,22,4,9862316
0,17426891,1,31,0,31,3,17427877
1,765565,0,0,2,0,1,767777
0,8492307,1,15,1,15,0,8493706
0,994757,1,1,0,1,4,996955
0,18876013,0,34,1,34,3,18876950
0,17030570,1,30,3,30,2,17031788
0,15533634,1,27,0,27,4,15535592
0,8719457,1,17,1,17,0,8720335
0,19877605,1,35,0,35,2,19878843
0,4763523,0,7,0,7,4,4764197
0,8718089,1,16,1,16,4,8719393
0,8099708,0,13,0,13,4,8100373
0,24178167,1,43,1,43,2,24181479
0,8284912,1,14,3,14,0,8285550
0,2741554,0,4,3,4,4,2743380
0,18567811,1,33,0,33,2,18569916
0,6802419,1,9,0,9,0,6803015
0,9659774,1,21,4,21,0,9660409
0,21850049,1,40,0,40,3,21851320
0,16882523,1,29,1,29,2,16883348
