Gene_Subclass,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Genomic_End_Position
0,12687579,0,52,4,52,2,12688657
0,2173822,0,8,3,8,1,2176074
0,3262518,1,18,3,18,1,3263510
0,8183049,1,33,3,33,1,8184305
0,22365805,1,86,3,86,3,22366722
0,18033193,0,71,8,71,3,18034173
0,14021446,0,58,4,58,1,14022240
0,11723685,1,49,4,49,2,11725924
0,2408865,1,11,3,11,2,2409527
0,22779001,0,90,8,90,3,22780026
0,2955563,1,16,6,16,2,2956426
0,6934113,1,30,4,30,2,6934931
0,16424412,1,63,3,63,2,16426637
0,16562831,1,67,3,67,2,16563937
0,4285357,1,22,3,22,2,4287060
0,20341259,1,74,3,74,3,20342521
0,9867056,1,41,3,41,2,9869998
0,1047100,0,7,6,7,1,1047729
0,4867473,0,24,3,24,1,4868024
0,11446408,1,47,3,47,1,11448216
0,3330351,1,19,3,19,2,3332030
0,23802345,0,95,4,95,2,23802860
1,4116199,0,20,7,20,4,4118166
0,11994619,0,51,4,51,1,11996370
0,24299593,1,98,3,98,3,24301722
1,504683,0,3,1,3,0,505867
0,11896367,0,50,3,50,1,11898553
0,13396177,1,55,3,55,1,13398519
0,6649504,1,29,6,29,2,6650810
0,8802437,1,36,8,36,1,8804662
0,5435818,0,26,4,26,2,5436724
1,2562631,0,12,5,12,4,2564774
0,12829310,1,53,3,53,2,12831055
0,5270266,0,25,3,25,1,5271180
0,23447218,1,92,8,92,2,23447838
0,1014533,1,5,3,5,2,1016782
1,23801011,0,94,7,94,0,23802012
0,8026444,0,32,3,32,1,8028195
0,20483000,1,75,3,75,2,20485261
0,12834782,1,54,3,54,1,12836026
0,21210206,0,79,3,79,2,21211189
1,21781632,0,83,7,83,4,21783921
0,1018726,0,6,3,6,1,1021038
0,2205470,0,9,3,9,1,2207377
0,22433813,1,87,3,87,5,22435858
0,458294,0,2,4,2,1,459187
1,2567808,0,13,0,13,0,2569869
0,6390597,0,28,3,28,2,6392825
0,13836696,0,57,3,57,2,13837817
0,20508290,1,76,8,76,3,20509228
1,623563,0,4,5,4,0,625564
0,15549750,0,62,3,62,1,15552221
0,22026512,0,85,4,85,3,22028199
0,22707574,1,88,3,88,2,22708989
0,9612390,0,40,3,40,2,9613514
0,9005404,0,37,6,37,2,9006166
0,16506867,1,65,3,65,2,16508468
0,8621853,1,34,4,34,1,8623885
0,16551901,1,66,3,66,3,16554165
0,11370677,1,46,4,46,1,11372104
0,23972078,1,97,3,97,3,23973217
0,15483887,0,61,3,61,2,15485527
0,20801291,0,77,4,77,3,20802281
0,7082506,1,31,3,31,1,7083780
1,10374419,0,43,5,43,0,10376605
0,18078931,1,72,3,72,2,18081210
0,8796721,1,35,8,35,2,8798973
0,17711731,1,70,3,70,3,17714007
0,23836501,1,96,3,96,3,23838762
0,10141842,0,42,3,42,2,10143236
1,14401099,0,60,5,60,4,14402075
0,4794295,1,23,6,23,1,4795291
0,23793193,1,93,4,93,3,23794678
0,10636079,1,44,3,44,1,10637386
0,11462589,0,48,4,48,1,11464520
0,21705274,0,82,4,82,2,21705992
0,6167727,0,27,4,27,2,6168822
0,4171208,0,21,3,21,1,4172542
0,22754536,0,89,3,89,3,22756821
0,48200,0,0,3,0,2,49903
0,9175716,1,39,6,39,1,9176690
0,2918737,1,15,3,15,2,2921001
0,239235,0,1,4,1,1,239835
0,2993120,0,17,3,17,2,2995357
0,21478365,0,81,3,81,3,21479783
0,21127996,1,78,3,78,2,21130236
0,17418463,0,69,3,69,3,17420742
0,22834331,1,91,4,91,3,22835806
0,14022418,0,59,4,59,2,14023398
1,17294360,0,68,5,68,4,17296111
0,16503965,1,64,3,64,2,16505641
0,24593912,0,99,2,99,2,24595701
0,2718561,0,14,3,14,1,2719577
1,11179739,0,45,7,45,4,11181620
0,13566216,0,56,4,56,1,13567233
0,21996177,0,84,8,84,2,21997160
0,2407756,1,10,4,10,1,2408736
0,19118842,0,73,3,73,3,19120773
0,9013593,0,38,6,38,2,9015817
0,21300769,0,80,8,80,3,21301605
