SportType,HostCountry,GeneralClassificationWinner,EditionNumber,StartLocation,RaceWinner,UciTour
1,7,10,,30,17,30
1,7,8,,34,0,18
1,7,7,38.0,8,14,24
1,2,8,36.0,11,14,6
1,7,15,67.0,7,23,19
1,7,4,20.0,6,11,33
1,8,6,,22,14,25
1,7,7,32.0,36,14,13
1,2,7,,20,23,21
1,4,7,22.0,28,14,20
1,1,8,30.0,26,13,1
1,2,7,,40,19,21
1,2,8,,23,14,12
1,7,5,71.0,14,12,26
1,2,8,30.0,39,10,4
1,2,8,,16,14,11
1,7,8,,27,1,18
1,2,0,65.0,17,1,3
1,7,1,69.0,33,2,24
1,6,0,36.0,15,1,8
1,7,7,15.0,41,14,32
1,7,3,14.0,13,9,32
1,2,8,,4,14,7
1,3,8,9.0,31,15,16
1,1,8,83.0,24,22,15
1,7,7,18.0,21,14,32
1,5,2,,2,14,22
1,0,7,7.0,1,14,0
1,7,8,91.0,32,8,17
1,7,1,118.0,25,2,34
1,4,13,,19,14,23
1,7,8,,35,1,18
1,7,8,60.0,3,2,17
1,2,7,,9,12,21
1,7,7,119.0,48,14,27
1,7,8,30.0,36,14,9
1,2,11,25.0,44,18,15
1,2,0,68.0,29,1,10
1,7,9,27.0,12,16,27
1,7,8,,37,20,18
1,7,8,,0,7,18
1,7,8,16.0,31,4,31
1,7,0,16.0,43,1,32
1,2,14,,18,14,14
1,0,12,8.0,1,21,2
1,7,7,17.0,46,14,32
1,2,8,,42,5,12
1,7,8,,38,14,28
1,7,8,,5,6,18
0,7,8,21.0,45,3,1
1,7,7,98.0,32,14,29
1,2,8,,10,14,5
1,7,7,39.0,47,14,26
