Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,6912,10,1,0,4054
0,166284,41,3,1,162214
1,3512,39,1,0,570
0,2374,42,3,1,2
1,613086,35,1,0,611617
1,39716,20,1,0,38265
0,106904,21,3,1,101847
0,2321780,60,1,0,2320431
0,2321637,22,3,1,2320534
1,513352,29,3,1,509741
1,5459,11,3,1,369
0,588483,38,1,0,586278
1,6009,72,3,1,1594
0,574606,47,1,0,573398
0,10189,66,1,0,8723
1,12357,13,1,0,7624
1,13981,7,3,1,12296
0,219070,16,1,0,217661
0,2470,33,1,0,2
1,48747,75,3,1,45235
1,14382,54,1,0,9970
1,1879,4,2,0,2
0,826483,26,1,0,824891
1,22057,57,1,0,19652
1,3165,36,2,0,1
1,528926,68,1,0,526836
0,2326,12,3,1,2
1,72456,17,3,1,65872
1,467386,67,0,1,461438
0,576641,69,3,1,572922
1,515521,32,1,0,512909
1,1251315,40,3,1,1250056
1,85207,71,3,1,81746
1,31870,56,3,1,22712
0,585395,46,1,0,582072
0,2053,50,1,0,2
1,13747,18,3,1,12191
1,6974,53,3,1,1995
1,1537,1,2,0,2
1,1556,2,2,0,3
0,1997,5,1,0,1
1,26175,24,2,0,23011
0,375450,15,3,1,373273
1,11280,8,3,1,2713
1,72487,45,1,0,68564
0,3322,9,2,0,2
0,2309,31,1,0,3
1,5982,0,1,0,4234
0,4784,27,1,0,3
0,1059473,74,1,0,1058121
1,2868,25,1,0,1600
1,348754,59,1,0,344585
1,4686,63,2,0,1
1,24031,23,1,0,21731
1,478366,55,1,0,476669
0,4676,65,1,0,3
0,1271,28,1,0,3
0,8695,51,3,1,5075
0,2498,43,1,0,3
1,1119042,64,3,1,1112740
1,595601,34,1,0,591036
1,78154,48,1,0,73799
1,37338,37,1,0,35617
0,799963,44,1,0,796517
1,89064,49,1,0,84641
0,769652,6,1,0,767703
1,5803,62,1,0,896
0,4720,19,1,0,2
1,4039,61,1,0,1
0,2312,52,1,0,2
1,35785,3,1,0,34078
1,5221,30,1,0,2141
0,4653,14,3,1,1
0,152656,70,1,0,149750
0,2190,73,1,0,1
1,21673,58,1,0,20189
