SportType,StageLabel,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,StageWinner,NextStage,PreviousStage,StageNumber,StageDescription,EndLocation
0,61,279155.0,48,16,39,24,28,48,57,9.0,5,10
0,47,209948.0,35,9,45,19,27,45,42,,2,18
0,45,,2,19,23,18,11,39,45,4.0,3,43
0,32,181541.0,3,18,28,15,18,27,41,10.0,13,22
0,6,,30,21,4,2,0,4,4,2.0,5,23
0,51,255575.0,7,12,45,21,1,47,61,,0,5
0,2,,56,19,2,0,20,2,3,5.0,5,30
0,38,181549.0,4,18,34,15,22,33,37,17.0,13,11
0,25,172999.0,25,11,45,12,15,36,22,,8,44
0,48,247151.0,31,6,45,20,31,44,46,,8,42
0,34,181543.0,6,18,30,15,15,29,33,12.0,13,1
0,44,,27,16,22,18,15,38,44,3.0,14,21
0,10,,41,0,45,3,2,10,9,,8,35
0,46,210024.0,11,8,45,19,18,43,31,,1,36
0,26,181367.0,53,1,45,17,15,40,23,,4,41
0,60,279164.0,38,17,44,24,14,53,56,18.0,5,47
0,9,,16,19,7,2,12,7,8,6.0,5,25
0,40,181552.0,47,16,36,15,34,35,39,20.0,13,15
0,43,,45,18,21,18,21,37,43,2.0,6,17
0,15,149877.0,22,3,17,8,15,18,12,,8,19
0,49,256070.0,24,1,45,21,29,57,48,,8,24
0,19,,54,20,14,9,36,16,19,3.0,5,9
0,36,181545.0,46,15,32,15,24,31,35,14.0,13,28
0,5,,14,18,8,2,30,3,5,12.0,5,27
0,57,279159.0,5,18,41,24,13,50,53,13.0,5,12
0,0,,55,19,0,0,33,0,1,3.0,5,3
0,12,139024.0,22,3,12,6,26,14,11,,8,19
0,41,181553.0,23,19,37,15,4,58,40,21.0,13,36
0,7,,32,19,5,2,7,5,6,4.0,5,33
0,50,255766.0,39,9,45,21,15,46,47,,8,16
0,1,,8,19,1,0,3,1,2,4.0,5,38
0,13,,36,15,10,5,35,11,14,4.0,5,6
0,55,279178.0,19,5,45,25,27,56,51,,8,40
0,28,,20,18,26,13,25,25,28,6.0,11,14
0,37,181548.0,9,18,33,15,18,32,36,16.0,13,4
0,59,279163.0,40,19,43,24,15,52,55,17.0,5,7
1,62,,37,14,9,26,32,59,62,,10,34
0,21,,2,15,16,9,5,58,21,5.0,5,51
0,33,181542.0,0,18,29,15,15,28,32,11.0,13,20
0,20,,50,15,15,9,29,17,20,4.0,5,26
0,39,181550.0,51,19,35,15,6,34,38,18.0,13,37
0,18,,27,15,13,9,15,15,18,2.0,5,29
0,35,181544.0,29,19,31,15,26,30,34,13.0,13,48
0,58,279162.0,44,18,42,24,17,51,54,16.0,5,31
0,27,,21,18,25,13,9,24,27,5.0,11,49
0,8,,10,19,6,2,20,6,7,5.0,5,8
0,24,171070.0,33,19,20,11,6,22,25,4.0,12,52
0,56,279156.0,49,15,40,24,10,49,58,10.0,5,50
0,29,,34,18,27,13,1,58,29,7.0,11,41
0,52,268362.0,12,8,45,23,16,54,49,,8,36
0,53,268378.0,26,10,45,23,15,55,50,,8,46
0,14,,13,15,11,5,8,12,15,5.0,5,39
0,23,171067.0,17,16,19,11,15,21,60,1.0,12,13
0,3,,42,0,45,1,15,8,59,,8,32
0,42,180620.0,1,13,45,16,21,42,26,,8,2
0,17,,28,13,45,7,15,20,16,,8,51
0,11,114197.0,37,7,45,4,35,13,10,,9,0
0,22,164258.0,28,13,45,10,15,23,17,,8,2
0,16,149878.0,15,4,18,8,19,19,13,,8,54
0,31,,18,15,24,14,27,26,30,3.0,7,45
0,54,,52,16,38,22,28,58,52,8.0,5,46
0,4,,43,2,3,1,23,9,0,,8,53
0,30,180695.0,31,6,45,17,21,41,24,,8,42
