SportType,StageLabel,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,StageWinner,NextStage,PreviousStage,StageNumber,StageDescription,EndLocation
1,38,210021.0,60,3,46,18,9,35,35,19,2,12
1,63,,35,3,63,29,31,59,56,6,2,46
1,23,170999.0,38,3,18,12,1,21,20,3,2,31
1,35,,32,1,26,17,14,32,32,3,12,34
1,55,255570.0,12,3,55,26,0,51,48,3,2,73
0,75,163662.0,30,5,12,7,15,72,65,0,2,30
1,32,181552.0,61,1,37,15,48,29,28,20,8,17
1,69,279164.0,48,2,76,31,13,65,60,18,2,72
1,12,163719.0,29,3,14,6,40,11,10,7,2,33
1,53,255764.0,65,3,57,25,28,49,46,4,2,68
0,11,163630.0,17,5,11,5,27,10,65,0,2,13
1,26,,22,0,27,14,33,23,23,3,4,70
1,56,270408.0,4,1,70,27,23,52,49,2,2,1
1,3,,62,0,2,2,5,3,3,6,2,19
1,71,279155.0,64,1,73,31,34,62,62,9,2,9
1,10,,7,1,10,3,48,71,9,9,2,5
1,48,247150.0,63,1,52,22,12,71,43,8,2,64
1,47,247150.0,51,0,51,22,24,44,42,7,2,39
1,28,181541.0,3,3,33,15,20,25,30,10,8,37
1,21,171069.0,69,0,23,11,32,19,18,3,6,38
1,76,181008.0,24,5,29,16,27,73,65,0,9,23
1,33,181536.0,10,0,32,15,6,30,29,6,8,47
1,5,,70,6,5,4,50,5,5,3,2,7
1,68,279162.0,56,3,75,31,19,64,59,16,2,43
1,2,,46,0,1,2,49,2,2,4,2,4
1,15,171029.0,15,3,19,9,16,14,12,4,2,18
1,57,268344.0,11,3,67,28,44,54,50,12,2,0
1,19,170994.0,63,1,17,10,37,71,17,7,2,64
1,43,247208.0,39,1,53,21,36,40,65,1,7,54
1,13,163710.0,18,1,13,8,15,12,11,8,2,15
1,18,170992.0,54,2,16,10,32,17,16,5,2,20
1,9,,52,2,9,3,32,9,8,3,2,50
1,22,171071.0,71,2,24,11,11,20,19,5,6,57
1,31,181549.0,5,3,36,15,30,28,27,17,8,11
1,6,,66,0,6,4,35,6,6,4,2,40
1,60,268338.0,68,3,65,28,41,57,53,7,2,57
1,4,,32,0,4,4,14,4,4,2,2,42
1,45,247147.0,67,3,49,22,22,42,40,4,2,8
1,29,181542.0,1,3,34,15,14,26,25,11,8,32
1,64,,2,3,64,29,42,60,57,7,2,41
1,39,210022.0,1,3,47,18,51,36,36,20,2,71
1,74,293155.0,45,2,79,33,46,70,65,1,2,29
1,37,210016.0,34,3,45,18,39,34,34,15,2,22
1,24,,16,3,30,13,20,22,21,4,5,36
1,40,210006.0,42,3,42,18,8,37,37,6,2,57
1,46,247148.0,47,3,50,22,39,43,41,5,2,65
1,25,,41,3,31,13,0,71,22,7,5,61
1,54,255569.0,6,1,54,26,37,50,47,2,2,3
1,79,209947.0,25,1,41,19,33,71,67,5,9,25
1,73,279333.0,33,2,78,32,18,69,64,11,11,6
1,61,268340.0,0,3,66,28,4,53,54,9,2,10
1,34,,57,3,25,17,29,31,31,2,3,24
1,42,209931.0,72,1,38,20,26,39,65,1,10,74
1,27,,14,0,28,14,0,24,24,5,0,21
1,72,279309.0,28,1,77,34,25,68,63,6,2,28
1,51,256320.0,10,0,60,24,20,47,65,1,2,35
1,50,256066.0,58,0,59,23,14,46,45,5,2,62
1,1,139127.0,26,0,3,1,45,1,1,6,1,2
1,67,279159.0,8,3,74,31,10,63,58,13,2,14
1,77,209942.0,44,5,39,19,17,74,65,0,9,48
1,44,247146.0,22,2,48,22,28,41,39,3,2,66
1,59,268353.0,31,1,69,28,52,56,52,20,2,59
1,30,181543.0,9,3,35,15,14,27,26,12,8,0
1,0,,37,4,0,0,47,0,0,2,2,51
1,7,,55,1,7,3,48,7,65,1,2,58
1,36,210014.0,50,1,44,18,20,33,33,13,2,55
1,14,171035.0,21,1,21,9,48,13,14,10,2,45
1,8,,55,2,8,3,21,8,7,2,2,58
1,17,170991.0,40,3,15,10,30,16,15,4,2,44
1,62,,2,2,62,29,2,58,55,5,2,49
1,66,279147.0,23,1,71,31,34,66,65,1,2,53
1,49,256065.0,20,1,58,23,3,45,44,4,2,60
1,65,268305.0,27,1,61,30,33,61,65,1,2,27
1,58,268350.0,59,3,68,28,41,55,51,17,2,56
1,16,171031.0,53,0,20,9,38,15,13,6,2,67
1,78,209946.0,36,3,40,19,33,75,66,4,9,69
1,52,255760.0,49,5,56,25,37,48,65,0,2,52
1,20,171067.0,19,1,22,11,14,18,65,1,6,16
1,70,279153.0,13,3,72,31,7,67,61,7,2,26
1,41,210008.0,43,0,43,18,43,38,38,8,2,63
