Profession,Nationality,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,CyclingArchivesCyclistId
0,6,15,4,18673.0,4744.0,3,21,1864.0,175.0,22,140485,5,30730,22746
1,1,19,15,29720.0,10454.0,14,19,812.0,176.0,20,140453,9,55042,22193
0,1,23,18,,18391.0,13,3,,,4,137455,23,77456,61556
0,7,24,29,,25739.0,23,14,50555.0,,15,196664,13,91488,114652
0,0,10,17,,13311.0,23,25,6584.0,172.0,31,136289,0,64979,59421
0,9,3,12,27587.0,8079.0,30,28,7871.0,178.0,28,140146,6,54970,36946
0,13,27,19,27800.0,13382.0,0,18,6544.0,177.0,19,139457,28,59730,36985
0,1,8,28,65972.0,25066.0,12,6,39009.0,185.0,7,174346,25,109960,114123
0,15,20,8,,12297.0,4,15,2364.0,,16,138877,18,34718,15290
1,2,18,5,10573.0,1849.0,21,12,856.0,177.0,13,140695,26,28865,5845
0,8,29,20,,12218.0,1,16,4404.0,,17,140245,8,60033,42364
0,1,23,32,,,27,25,27140.0,,25,176308,15,99711,86316
0,14,30,26,,19908.0,24,8,29694.0,,9,168202,7,69147,77437
0,5,2,13,28089.0,9851.0,8,17,1013.0,179.0,18,140765,10,53793,22100
0,7,6,30,,22763.0,23,25,27096.0,,3,171175,27,134264,89012
0,6,21,27,55639.0,20535.0,19,9,14791.0,181.0,10,160352,2,89125,73388
0,10,5,9,8760.0,4179.0,18,1,406.0,181.0,1,140749,24,32691,19407
0,4,0,24,47767.0,18714.0,7,4,16752.0,169.0,5,137724,21,68950,38737
0,12,25,0,12798.0,270.0,25,27,666.0,190.0,27,140619,12,14576,3926
0,5,13,2,6679.0,2086.0,11,2,377.0,184.0,2,140786,19,22143,9414
0,12,23,7,37518.0,10424.0,10,23,2182.0,172.0,25,140934,22,55735,32000
0,12,7,22,52673.0,19070.0,2,5,7639.0,178.0,6,137769,3,79921,71836
0,11,22,3,1661.0,2440.0,5,13,790.0,178.0,14,140780,14,28331,10109
0,12,1,1,16289.0,5.0,28,0,38.0,177.0,0,140924,16,14575,7005
0,7,26,14,54389.0,19838.0,15,29,10072.0,,29,167799,17,60035,76732
1,15,17,6,19255.0,3891.0,26,11,716.0,183.0,12,140196,4,32532,11292
0,4,16,21,47066.0,16881.0,6,24,2530.0,175.0,24,140633,31,59614,32178
0,3,4,25,52879.0,19448.0,22,20,7695.0,184.0,21,132428,20,73817,71390
0,2,12,10,43391.0,7948.0,9,30,865.0,179.0,30,139845,11,59022,61694
0,6,14,31,65252.0,24151.0,29,10,27278.0,,11,179224,2,101658,95087
0,15,9,23,50824.0,18498.0,20,7,16154.0,187.0,8,138830,29,63841,58906
0,5,28,11,8424.0,6784.0,16,22,1007.0,188.0,23,140342,1,45024,18093
1,8,11,16,,10151.0,17,26,1972.0,,26,140061,30,47796,22176
0,6,14,31,65252.0,24151.0,29,10,27278.0,,11,179224,2,101658,95087
0,4,0,24,47767.0,18714.0,7,4,16752.0,169.0,5,137724,21,68950,38737
