SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,StageDistance,StageDescription,EndLocation
1,5,5,,2,2,2,5,13,3,4,122.2,6,1
1,7,2,209987.0,12,1,8,6,5,5,5,229.0,2,12
1,1,5,171008.0,8,0,1,1,0,8,14,153.3,0,15
1,12,7,280937.0,15,0,13,10,10,11,10,170.9,0,6
1,14,3,280009.0,10,2,12,11,11,4,12,152.9,0,10
1,10,4,253060.0,11,4,10,8,8,4,8,12.5,3,11
0,0,1,,5,3,0,0,13,6,0,160.1,0,7
1,8,5,209922.0,6,2,6,7,6,9,6,150.3,0,9
1,15,3,293156.0,13,1,15,12,12,0,13,189.1,0,14
1,3,2,181548.0,1,2,4,3,2,5,2,218.0,4,2
1,9,4,248280.0,14,2,9,8,7,4,7,183.0,3,4
1,2,0,181773.0,9,0,5,2,1,4,1,182.2,1,13
1,6,2,209982.0,0,0,7,6,4,2,14,142.0,2,8
1,11,5,268446.0,4,1,11,9,9,7,9,187.2,7,3
1,13,7,280938.0,7,0,14,10,13,1,11,166.8,0,5
1,4,6,181401.0,3,2,3,4,3,10,3,170.5,5,0
