SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,StageDistance,StageDescription,EndLocation
1,22,6,210080.0,3,10,17,9,13,2,19,152.3,4,20
1,2,8,173373.0,14,11,1,0,0,8,23,3.7,10,14
1,4,8,173375.0,2,9,3,0,2,16,5,172.0,10,17
1,16,9,181431.0,13,4,27,7,14,20,8,664.1,3,18
1,3,8,173374.0,14,6,2,0,1,17,4,211.8,10,4
1,10,8,181883.0,21,6,12,3,7,22,11,191.7,8,10
1,6,8,173377.0,24,8,5,0,24,7,7,152.5,10,21
1,17,9,181430.0,23,7,10,6,24,20,15,21.5,11,18
1,25,10,256611.0,7,7,21,14,18,20,23,7.1,12,7
1,1,8,177341.0,14,1,0,1,5,8,0,761.1,0,21
1,23,5,247208.0,17,7,20,10,17,21,23,15.1,7,19
1,12,7,181338.0,12,2,27,7,16,15,2,520.05,2,13
1,9,8,181882.0,20,8,11,3,6,10,10,164.4,8,25
0,7,1,,25,11,6,2,4,18,23,2.0,4,22
1,28,11,279131.0,8,6,25,17,22,3,22,170.9,4,23
1,19,0,,4,10,14,8,9,23,16,169.1,4,1
1,14,3,180920.0,5,3,27,7,24,0,3,842.0,4,6
1,0,3,248213.0,22,8,19,11,24,1,23,187.0,4,9
1,27,2,270409.0,19,10,24,15,20,19,21,239.3,4,12
1,15,3,180917.0,9,10,8,5,8,24,14,178.0,4,24
1,26,2,270408.0,1,7,23,15,19,12,20,12.2,4,2
1,21,6,210079.0,3,10,16,9,12,5,23,135.6,4,5
1,24,4,256777.0,10,0,22,13,21,13,18,188.5,5,16
1,8,8,181886.0,20,1,27,7,11,10,1,695.5,1,11
1,20,0,,0,10,15,8,10,23,17,166.9,4,0
1,5,8,173376.0,18,6,4,0,3,14,6,221.1,10,21
1,18,8,181185.0,6,5,7,7,15,11,9,158.7,4,3
1,13,7,181337.0,11,8,9,4,24,6,13,176.4,9,13
1,11,8,181885.0,18,10,13,3,24,4,12,157.2,8,11
1,30,10,250966.0,16,6,18,12,25,25,23,177.6,6,8
1,29,5,290097.0,15,7,26,16,23,9,23,10.0,4,15
