Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,347,3,1,56,22,1159709,0
1,0,18293,404,404,3,1,156,95,17649,0
0,0,7200,135,135,4,0,24,45,6637,0
0,0,55025,359,359,4,0,100,83,54438,0
0,0,1464254,88,88,4,0,96,28,1463646,0
0,0,494817,203,203,4,0,14,23,494134,1
0,0,2016292,329,329,4,0,62,27,2015537,0
0,0,9057,388,388,4,0,90,90,8128,0
0,0,4555,132,132,4,0,130,64,3962,0
0,0,683253,98,98,4,0,58,28,682675,0
1,0,844685,368,368,3,1,112,22,844098,0
1,0,112468,401,401,1,1,37,94,111971,0
0,0,4870,340,340,4,0,139,78,4217,0
0,0,2682,265,265,4,0,130,76,1954,0
0,0,163066,8,8,4,0,142,8,162521,1
0,0,1955674,332,332,4,0,160,28,1955171,0
0,0,756041,99,99,4,0,96,28,755460,1
0,0,1368555,309,309,4,0,75,28,1367977,1
0,0,1487064,92,92,4,0,28,28,1486369,1
0,0,36247,72,72,4,0,63,15,35642,1
0,0,265007,259,259,4,0,5,23,264339,0
0,0,120884,34,34,2,0,106,14,120498,0
0,0,1921473,108,108,4,0,58,28,1920904,1
0,0,458814,352,352,4,0,99,17,458125,0
0,0,308712,370,370,4,0,26,16,308044,0
0,0,548591,226,226,2,0,41,19,548190,0
0,0,1604078,116,116,4,0,75,28,1603452,0
0,0,85370,61,61,4,0,76,58,84681,0
0,0,17407,262,262,4,0,42,74,16820,0
0,0,1033564,299,299,4,0,167,18,1032920,0
1,0,1738968,27,27,3,1,41,27,1738420,0
0,0,6677,379,379,4,0,89,86,6162,1
0,0,278070,222,222,4,0,157,3,277438,1
0,0,1731530,336,336,4,0,58,28,1730895,0
0,0,477620,206,206,4,0,112,6,476973,0
0,0,567879,381,381,2,0,88,20,567310,0
0,0,10321,126,126,4,0,42,61,9749,0
0,0,1686468,112,112,4,0,96,28,1685914,0
0,0,7629,230,230,4,0,42,70,6979,0
0,0,1645,356,356,4,0,104,83,1004,0
0,0,376974,55,55,4,0,150,3,376393,1
1,0,807869,24,24,3,1,117,27,807330,1
0,0,426818,138,138,4,0,128,4,426186,1
0,0,39701,52,52,4,0,42,57,39237,1
0,0,307213,260,260,4,0,14,23,306524,0
0,0,782,46,46,4,0,126,54,129,1
0,0,1132814,317,317,4,0,58,28,1132212,1
0,0,30799,73,73,4,0,67,15,30158,1
0,0,159847,67,67,4,0,98,14,159101,1
0,0,717564,271,271,4,0,122,27,716974,1
0,0,1637787,114,114,4,0,58,28,1637185,1
0,0,487905,170,170,4,0,150,3,487330,0
1,0,356421,430,430,3,1,137,13,355831,1
0,0,1932015,107,107,4,0,96,28,1931470,0
0,0,2027,39,39,4,0,71,52,1341,0
0,0,1743790,335,335,4,0,58,28,1743146,0
0,0,515441,207,207,4,0,65,6,514617,0
0,0,1118634,319,319,4,0,152,28,1117975,1
1,0,347837,17,17,3,1,9,3,347313,0
0,0,250738,323,323,4,0,157,3,250097,0
0,0,1579,3,3,4,0,166,34,1004,1
0,0,570400,76,76,4,0,114,7,569783,0
0,0,552848,146,146,4,0,163,22,552180,1
0,0,52129,266,266,4,0,130,76,51491,0
1,0,19103,380,380,3,1,31,86,18480,1
0,0,4829,258,258,4,0,38,73,4128,0
0,0,599763,233,233,4,0,6,10,598996,1
0,0,430625,12,12,4,0,133,16,430509,0
0,0,1148872,410,410,4,0,34,27,1148204,0
0,0,339516,225,225,4,0,82,3,338926,0
0,0,1581481,215,215,4,0,84,26,1580900,1
0,0,1081012,406,406,4,0,169,27,1080440,1
0,0,15668,344,344,4,0,20,79,15015,0
0,0,6518,304,304,4,0,150,1,5874,1
0,0,26110,306,306,4,0,31,14,25487,1
1,0,504309,428,428,3,1,145,4,503911,1
0,0,668902,150,150,4,0,77,22,668282,1
0,0,1995197,217,217,4,0,149,27,1994529,0
0,0,216763,322,322,4,0,143,3,216122,0
1,0,588625,158,158,3,1,108,4,587969,1
0,0,416038,383,383,4,0,64,31,415541,0
1,0,463493,101,101,3,1,79,0,462885,1
0,0,14001,394,394,4,0,153,92,13402,1
1,0,385637,20,20,3,1,56,22,384969,0
0,0,602338,320,320,4,0,92,6,601643,1
0,0,1845,389,389,2,0,87,91,1489,1
0,0,314714,123,123,4,0,25,12,314181,0
0,0,1473130,87,87,4,0,27,28,1472456,0
0,0,1134002,408,408,4,0,48,27,1133424,1
0,0,444695,31,31,4,0,110,3,444042,0
0,0,42175,386,386,4,0,149,88,41594,0
0,0,9261,128,128,4,0,42,62,8539,0
0,0,382637,57,57,4,0,157,3,382086,0
0,0,35038,303,303,4,0,120,1,34388,1
0,0,410050,248,248,4,0,23,16,409331,0
1,0,13194,349,349,3,1,105,81,12661,1
0,0,641578,83,83,4,0,55,11,640880,1
0,0,320021,423,423,4,0,97,4,319437,1
0,0,70385,300,300,4,0,158,15,69732,0
0,0,2893,384,384,4,0,147,87,2228,0
0,0,36160,19,19,4,0,54,14,35462,1
1,0,628319,184,184,3,1,65,13,627354,1
0,0,1066542,405,405,4,0,69,27,1065931,1
0,0,438865,351,351,4,0,21,17,438233,0
0,0,331967,154,154,4,0,133,16,331098,0
1,0,499409,366,366,3,1,56,22,498789,0
0,0,262228,37,37,4,0,168,22,261515,0
0,1,340144,413,413,4,0,98,14,339536,0
0,0,218124,167,167,4,0,21,17,217234,0
0,0,17055,48,48,4,0,42,56,16375,0
0,0,1049,286,286,4,0,68,48,204,1
0,0,807166,153,153,4,0,116,22,806492,1
1,0,874302,276,276,3,1,117,27,873739,1
0,0,281,10,10,5,0,73,36,3,1
0,0,16035,342,342,4,0,53,78,15472,0
0,0,301818,280,280,4,0,31,14,301183,1
0,0,6125,11,11,4,0,73,36,5631,1
0,0,578960,77,77,4,0,114,7,578253,0
0,0,1670681,28,28,4,0,122,27,1670067,0
1,0,544317,148,148,1,1,112,22,543658,0
0,0,278450,244,244,4,0,46,16,277617,0
0,0,473006,254,254,4,0,133,16,472107,0
0,0,16573,166,166,4,0,126,66,15977,0
0,0,1236,125,125,4,0,0,44,691,0
0,0,2152710,106,106,4,0,160,28,2152117,1
0,0,750998,201,201,4,0,131,16,750414,0
0,0,497850,296,296,4,0,42,10,497083,1
0,0,653543,84,84,4,0,55,11,652923,1
0,0,729959,96,96,4,0,17,28,729363,0
0,0,350824,414,414,2,0,98,14,350453,1
0,0,584282,133,133,4,0,6,10,583626,1
0,0,425782,142,142,2,0,47,14,425384,0
1,0,1261581,324,324,3,1,129,26,1260970,0
0,0,160801,403,403,4,0,49,94,160181,0
1,0,10872,104,104,3,1,102,60,10210,0
0,0,412598,282,282,4,0,45,30,411981,1
0,0,514088,295,295,4,0,42,10,513441,1
0,0,667099,4,4,4,0,6,10,666332,1
0,0,244449,290,290,4,0,119,16,243556,0
0,0,223254,291,291,4,0,23,16,222562,0
0,0,260483,176,176,4,0,99,17,259935,0
0,0,1078119,193,193,4,0,160,28,1077559,0
0,0,198335,42,42,4,0,6,10,197730,1
0,0,1243238,187,187,4,0,160,28,1242540,1
0,0,1176204,399,399,4,0,5,23,1175530,0
0,0,6197,387,387,4,0,154,89,5628,0
0,0,38888,79,79,4,0,57,14,38181,1
0,0,374682,41,41,4,0,17,28,374062,0
0,0,1420673,91,91,4,0,160,28,1420101,0
0,0,388432,195,195,2,0,74,29,388043,1
0,0,70633,59,59,4,0,126,58,70109,0
0,0,11230,374,374,4,0,125,49,10535,0
0,0,694973,307,307,4,0,70,27,694383,0
0,0,1677970,118,118,4,0,136,28,1677395,0
0,0,5761,375,375,4,0,22,50,5141,0
0,0,1886263,218,218,4,0,101,27,1885670,0
0,0,311313,422,422,4,0,135,4,310645,1
0,0,274287,173,173,4,0,98,14,273715,1
0,0,456160,321,321,4,0,118,23,455483,0
0,0,36542,385,385,4,0,149,88,35961,1
0,0,541203,103,103,4,0,65,6,540331,0
0,0,375081,122,122,4,0,25,12,374536,1
0,0,1142859,409,409,4,0,48,27,1142287,1
0,0,1481322,93,93,4,0,75,28,1480762,1
0,0,1306828,209,209,4,0,91,26,1306226,1
0,0,1739,6,6,4,0,34,33,1236,1
0,0,405277,141,141,4,0,31,14,404699,0
0,0,1587490,212,212,4,0,91,26,1586741,0
0,0,2442,287,287,4,0,29,48,1612,1
0,1,327963,424,424,4,0,97,4,327337,1
0,0,1411596,21,21,4,0,17,28,1410949,0
0,0,253089,177,177,4,0,21,17,252442,0
0,0,917604,275,275,4,0,101,27,916954,0
0,0,358436,279,279,2,0,57,14,358038,1
0,0,11470,47,47,2,0,126,55,11081,1
0,0,371048,278,278,4,0,98,14,370350,1
0,0,1943209,9,9,4,0,58,28,1942577,0
0,0,7470,270,270,4,0,126,77,6853,1
0,0,76266,281,281,4,0,47,14,75574,1
0,0,21243,14,14,4,0,16,38,20602,1
0,0,605996,239,239,4,0,6,10,605367,1
0,0,332148,411,411,4,0,98,14,331510,0
1,0,862102,242,242,3,1,1,22,861431,0
0,0,1875155,219,219,4,0,48,27,1874526,0
0,0,617680,234,234,4,0,15,10,617066,1
0,0,59685,49,49,4,0,76,56,58891,0
0,0,1611491,330,330,4,0,122,27,1610868,0
0,0,31626,357,357,4,0,22,83,31012,0
0,0,67780,415,415,4,0,31,14,67067,0
