ProteinSubclass,RefSeqProteinId,BiologicalProcess,ProteinDescription,MolecularFunction,ProteinInstance,ProteinLabel,UniProtProteinId,HostTaxon
1,54,4,85,2,0,5,30,45
1,34,6,55,4,0,30,67,56
1,26,2,73,3,0,34,87,74
1,47,1,50,0,0,1,40,49
1,40,3,24,0,0,50,64,22
1,88,0,4,0,0,79,48,81
1,6,6,42,3,0,64,90,40
1,97,2,49,1,0,66,11,47
1,74,1,38,1,0,54,28,37
1,35,0,55,1,0,11,66,56
1,59,1,31,1,0,24,19,30
1,96,0,2,0,0,48,10,1
1,30,3,68,3,0,72,74,69
1,21,1,62,1,0,12,84,63
1,56,4,83,2,0,94,58,85
1,24,3,34,0,0,53,80,33
1,67,1,5,0,0,8,3,3
1,10,4,29,2,0,90,81,28
1,7,0,52,1,0,29,92,51
1,28,3,19,3,0,52,77,18
1,45,3,36,0,0,84,59,35
1,38,3,80,0,0,80,65,82
1,13,3,3,1,0,9,16,2
1,83,6,9,0,0,15,54,8
1,90,3,56,0,0,71,47,57
1,70,0,39,1,0,88,6,24
1,58,1,28,1,0,89,20,27
1,66,0,5,3,0,7,2,3
1,60,3,18,1,0,51,21,17
1,50,3,72,3,0,77,14,73
1,16,5,8,4,0,4,32,6
1,43,3,53,3,0,95,61,54
1,92,3,57,1,0,32,44,58
1,71,6,1,0,0,14,27,0
1,53,3,20,3,0,22,17,19
1,61,3,65,0,0,68,22,66
1,87,3,41,1,0,26,50,39
1,3,3,77,0,0,37,95,78
1,14,3,71,3,0,86,72,72
1,1,6,6,0,0,39,34,4
1,22,2,45,0,0,85,82,43
1,62,1,14,1,0,44,23,13
1,89,3,51,1,0,28,49,50
1,68,0,35,1,0,61,26,34
1,17,4,32,2,0,40,35,31
1,86,6,78,4,0,38,37,79
1,31,6,44,4,0,47,76,42
1,8,3,25,3,0,23,94,23
1,52,6,33,4,0,3,15,32
1,76,1,30,1,0,91,5,29
1,2,0,48,1,0,6,38,48
1,91,0,56,1,0,92,46,57
1,9,2,47,1,0,65,33,46
1,37,3,15,3,0,41,68,14
1,51,3,21,0,0,21,39,53
1,80,3,84,0,0,56,56,7
1,15,6,66,4,0,76,86,67
1,77,6,27,4,0,0,45,26
1,79,1,11,0,0,16,0,10
1,20,3,62,0,0,2,85,63
1,63,1,74,0,0,97,24,75
1,42,3,58,3,0,31,60,59
1,25,3,73,1,0,73,96,74
1,33,3,70,3,0,75,73,71
1,64,0,69,3,0,43,25,70
1,65,1,26,0,0,60,1,25
1,41,3,7,0,0,55,63,5
1,69,1,39,0,0,59,7,24
1,93,3,64,0,0,74,43,65
1,84,3,16,0,0,49,52,15
1,95,3,60,3,0,96,42,61
1,94,3,59,1,0,33,41,60
1,23,3,23,1,0,67,78,21
1,55,6,75,3,0,45,18,76
1,19,4,61,2,0,36,83,62
1,46,4,0,1,1,99,30,52
1,36,3,67,0,0,35,70,68
1,39,3,10,0,0,20,69,9
1,81,2,46,1,0,46,55,44
1,0,6,37,4,0,62,31,36
1,11,3,22,0,0,57,89,20
1,49,0,82,0,0,82,13,84
1,5,3,54,1,0,70,91,55
1,4,1,79,0,0,78,93,80
1,72,1,40,0,0,63,8,38
1,75,1,30,0,0,69,4,29
1,44,6,13,4,0,18,62,12
1,57,4,83,2,0,83,57,85
1,29,3,76,3,0,87,71,77
1,78,1,12,0,0,17,29,11
1,27,3,81,1,0,81,79,83
0,46,4,86,1,2,98,30,52
1,48,0,82,1,0,93,12,84
1,85,3,17,0,0,19,53,16
1,32,3,63,0,0,27,75,64
1,46,4,0,1,1,10,30,52
1,82,6,43,4,0,42,51,41
1,18,4,32,2,0,13,36,31
1,12,6,22,4,0,58,88,20
1,73,1,40,1,0,25,9,38
