Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
1,45,71935.0,28298.0,5,3,,192457.0,3,,15,5,98774.0,66.0,48,29,,7,3,114071.0,6,45987.0,176.0,38,8
1,10,,29474.0,6,6,,215760.0,7,,8,3,638202.0,,50,8,2502935.0,16,7,149604.0,7,92666.0,184.0,38,12
1,25,62729.0,23558.0,19,22,20811.0,181257.0,24,,31,20,97437.0,75.0,40,19,142164.0,1,24,101407.0,1,27121.0,192.0,38,5
1,38,26009.0,12193.0,27,36,1940308.0,140797.0,37,9096.0,34,50,54603.0,78.0,19,7,125137.0,33,36,30229.0,9,784.0,184.0,24,12
1,12,,19953.0,7,8,9081.0,137740.0,9,56690.0,9,21,81980.0,76.0,34,0,,22,8,77405.0,4,14737.0,189.0,3,6
1,3,47885.0,18123.0,35,29,21399.0,139801.0,31,55661.0,12,49,68832.0,71.0,27,31,1303133.0,40,30,58401.0,7,6309.0,179.0,2,5
1,4,46381.0,18610.0,3,21,77168.0,137427.0,23,56596.0,23,37,71557.0,62.0,30,24,133837.0,0,23,63999.0,4,12474.0,173.0,1,12
2,17,23014.0,7606.0,0,5,95405.0,140501.0,6,9831.0,37,36,45633.0,68.0,16,12,111629.0,36,6,20340.0,3,828.0,179.0,15,17
1,33,53778.0,21261.0,24,33,2006.0,174179.0,35,,14,7,78098.0,74.0,35,11,,35,34,70986.0,7,21855.0,189.0,8,0
1,41,41076.0,13362.0,32,42,56034.0,139405.0,43,54866.0,18,45,65995.0,70.0,22,5,,3,42,51551.0,7,3277.0,177.0,22,13
1,7,61538.0,24057.0,0,14,,177672.0,15,,15,42,91640.0,82.0,42,32,136635.0,15,15,79184.0,6,27099.0,193.0,38,8
0,21,47965.0,17988.0,21,45,,138125.0,46,,15,46,70962.0,74.0,33,22,,25,45,64279.0,2,8377.0,1.85,38,12
1,18,16313.0,3333.0,15,17,134950.0,140752.0,18,19461.0,7,23,44513.0,74.0,11,6,126409.0,42,18,18746.0,2,150.0,181.0,12,2
1,31,14372.0,56.0,0,30,,140610.0,32,18135.0,15,16,14262.0,63.0,2,33,,34,31,5274.0,6,27.0,174.0,13,8
1,49,54395.0,20730.0,37,48,252749.0,168961.0,49,,22,13,75859.0,70.0,38,4,141009.0,46,48,74709.0,2,18258.0,187.0,7,2
0,50,15477.0,3348.0,33,50,101538.0,140665.0,51,18902.0,41,34,27822.0,68.0,13,4,133422.0,50,50,13279.0,0,4669.0,183.0,17,4
1,22,19558.0,3828.0,16,18,65423.0,140870.0,20,5609.0,30,12,34012.0,69.0,10,31,113255.0,14,20,21215.0,7,264.0,182.0,19,5
1,46,,16636.0,10,10,,138290.0,11,,15,2,65007.0,72.0,26,2,,12,11,52713.0,7,6234.0,183.0,0,9
1,11,22663.0,5789.0,8,7,1529344.0,140869.0,8,12014.0,27,30,43936.0,69.0,12,12,126950.0,13,9,22017.0,6,713.0,186.0,18,10
1,32,61866.0,23334.0,23,31,160840.0,185156.0,33,,19,32,97634.0,65.0,36,2,133265.0,23,32,100717.0,11,35077.0,170.0,6,3
1,5,16289.0,5.0,4,2,470645.0,140924.0,2,19443.0,25,29,14575.0,61.0,3,14,103634.0,41,2,7005.0,7,38.0,177.0,21,16
1,13,,31634.0,9,9,,262718.0,10,,28,33,112281.0,,45,8,,5,10,170457.0,4,57961.0,184.0,38,12
1,16,65688.0,24926.0,14,13,465450.0,198937.0,14,,3,48,95844.0,60.0,44,10,,4,14,100412.0,11,58275.0,175.0,38,3
1,34,,,0,34,,115140.0,4,,15,31,26245.0,,5,21,,28,4,10521.0,7,,,38,12
1,26,7153.0,544.0,0,25,10861.0,140516.0,27,11845.0,11,8,12974.0,81.0,1,28,,18,27,7364.0,3,547.0,190.0,14,0
1,15,44733.0,16677.0,0,46,213342.0,140118.0,47,55213.0,38,24,73892.0,69.0,23,26,135249.0,9,46,64982.0,7,2324.0,185.0,31,11
1,42,41892.0,19165.0,0,32,16935.0,137797.0,34,,13,47,66315.0,73.0,32,30,,37,33,43238.0,7,11313.0,184.0,5,12
1,6,69634.0,26526.0,34,44,5000.0,194619.0,45,,20,19,149727.0,66.0,47,17,146565.0,31,44,115790.0,10,45992.0,176.0,38,14
1,1,7764.0,1237.0,11,11,41367.0,140800.0,12,6404.0,29,17,29164.0,70.0,9,28,120395.0,20,12,10911.0,3,706.0,183.0,23,15
1,39,56041.0,20719.0,29,38,127549.0,174582.0,39,66232.0,35,40,88889.0,65.0,18,30,135863.0,32,38,72449.0,10,18655.0,177.0,36,12
1,37,39004.0,,25,35,47028.0,138497.0,36,65024.0,5,35,66298.0,,28,16,125024.0,11,35,60878.0,4,89540.0,,32,12
1,24,69190.0,25740.0,18,20,,196424.0,22,,21,14,112082.0,,43,25,,43,22,115868.0,1,38195.0,175.0,38,5
1,27,58428.0,21992.0,26,23,23650.0,168776.0,25,,10,41,86895.0,,41,23,,29,25,77835.0,7,16793.0,179.0,10,5
1,34,15752.0,,0,34,,115135.0,19,,15,31,26355.0,,6,20,,28,19,10851.0,8,,,38,12
1,35,56345.0,20861.0,28,37,2247.0,155558.0,38,67077.0,16,4,86624.0,71.0,37,5,,2,37,80972.0,5,16816.0,184.0,9,7
1,40,83295.0,28377.0,30,39,84000.0,212377.0,40,,4,0,587366.0,62.0,49,24,141007.0,10,39,141854.0,7,84019.0,171.0,38,2
1,47,15225.0,2437.0,0,43,,140630.0,44,9635.0,15,39,30369.0,68.0,15,32,111612.0,49,43,13510.0,10,147.0,176.0,16,14
1,14,41890.0,17794.0,13,12,16190.0,139904.0,13,47192.0,2,44,68844.0,64.0,29,9,145561.0,47,13,52412.0,7,7724.0,187.0,34,11
1,43,7362.0,871.0,0,41,91041.0,140868.0,42,13195.0,36,43,20884.0,71.0,4,15,108005.0,19,41,9918.0,7,52.0,190.0,30,12
2,19,19255.0,3891.0,0,15,508772.0,140196.0,16,19127.0,6,10,32532.0,71.0,14,12,113194.0,38,16,11292.0,3,716.0,183.0,11,17
1,44,56666.0,18975.0,2,0,32176.0,133024.0,0,64111.0,0,6,70590.0,58.0,31,28,133999.0,44,0,65132.0,3,20147.0,172.0,35,17
0,29,48143.0,21971.0,20,26,205449.0,168754.0,28,,32,18,79462.0,,39,1,145562.0,48,28,64280.0,7,16672.0,184.0,37,11
1,23,,26392.0,17,19,,193131.0,21,,15,28,148275.0,69.0,46,3,,30,21,89152.0,7,45363.0,176.0,38,2
2,20,46958.0,13863.0,0,16,,140739.0,17,28971.0,15,27,58761.0,72.0,17,15,,27,17,38022.0,6,2982.0,184.0,29,8
1,2,3262.0,387.0,1,1,1397142.0,137456.0,1,2513.0,24,25,518429.0,62.0,7,31,111578.0,6,1,1567.0,11,3.0,176.0,26,16
2,19,19255.0,3891.0,0,15,508772.0,140196.0,16,19127.0,6,10,32532.0,71.0,14,12,113194.0,38,16,11292.0,3,716.0,183.0,11,17
1,28,43345.0,15281.0,22,24,3825.0,140722.0,26,28743.0,33,38,64941.0,72.0,24,13,,17,26,32784.0,7,6246.0,178.0,33,1
2,0,28095.0,12823.0,31,40,,137337.0,41,45429.0,17,1,58891.0,71.0,20,6,123794.0,8,40,34412.0,3,2322.0,182.0,20,0
1,9,92428.0,32221.0,12,4,,238711.0,5,,1,22,490235.0,,51,18,,45,5,130986.0,7,113439.0,182.0,38,12
1,8,55192.0,19941.0,38,49,31137.0,135398.0,50,58156.0,40,15,86228.0,75.0,25,27,,21,49,59790.0,7,10971.0,180.0,4,2
1,36,38259.0,13066.0,0,28,26443.0,140384.0,30,45665.0,26,9,62919.0,72.0,21,30,,24,30,39964.0,3,2211.0,178.0,25,0
1,48,11585.0,1994.0,36,47,569371.0,140778.0,48,16105.0,39,26,28378.0,65.0,8,2,111576.0,26,47,13069.0,6,133.0,181.0,28,8
1,30,15997.0,67.0,0,27,,140418.0,29,19254.0,15,11,12711.0,74.0,0,31,,39,29,7526.0,6,184.0,181.0,27,8
1,6,69634.0,26526.0,34,44,5000.0,194619.0,45,,20,19,149727.0,66.0,47,17,146565.0,31,44,115790.0,10,45992.0,176.0,38,14
