languages,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,pro_cycling_stats_cyclist_id,cyclist_name,memoire_du_cyclisme_cyclist_id,nationality,birthplace,uci_rider_id,weight_kg,birth_date,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id
1,11,12272.0,3274.0,12,140686,13,16591.0,2,1,32307,68.0,0,14,13,12465,76.0,8,180.0,2
0,3,63319.0,23886.0,6,183449,7,,6,5,99903,,15,7,7,97393,44340.0,5,177.0,13
4,9,19402.0,2694.0,8,138138,10,7679.0,5,6,33670,,1,12,10,15658,6595.0,7,,11
2,0,43294.0,13435.0,5,140237,6,55143.0,3,14,69190,,4,15,6,60742,2539.0,1,,7
0,13,3083.0,3366.0,14,140270,15,2372.0,0,11,30329,63.0,3,5,15,15181,568.0,0,175.0,4
2,6,54557.0,16893.0,0,135016,0,,3,9,87008,66.0,10,16,0,73006,14126.0,1,182.0,0
5,7,,3558.0,4,140620,5,,7,10,45449,,2,11,5,20074,2297.0,8,178.0,8
4,10,61648.0,22683.0,13,168787,14,,5,12,86746,64.0,14,9,14,80030,16992.0,7,178.0,13
1,15,51513.0,17627.0,15,135523,16,56613.0,2,7,78566,60.0,11,2,16,60103,6104.0,2,183.0,12
0,1,28095.0,12823.0,10,137337,11,45429.0,0,0,58891,71.0,8,6,11,34412,2322.0,8,182.0,3
3,4,43386.0,14310.0,9,140509,9,43346.0,4,16,53804,62.0,6,10,9,36343,3991.0,0,173.0,6
5,9,,27598.0,8,196190,2,,7,4,147399,,16,13,2,88447,37388.0,7,,13
5,14,49154.0,16941.0,1,140071,1,55236.0,1,2,75873,54.0,7,4,1,39969,3213.0,8,164.0,10
1,8,29248.0,9372.0,7,140627,8,54997.0,2,8,61448,60.0,5,8,8,40437,3044.0,8,176.0,5
1,2,46381.0,18610.0,2,137427,3,56596.0,2,15,71557,62.0,13,0,3,63999,12474.0,3,173.0,1
1,5,65180.0,23357.0,3,135597,4,,2,13,100349,60.0,12,3,4,94232,17182.0,6,176.0,13
1,12,41886.0,13566.0,11,140495,12,46784.0,2,3,64917,65.0,9,1,12,53957,2275.0,4,184.0,9
