GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,TITLE,FIRST_NAME,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,0,31,30,3,7,17,1,17,75
0,0,1,79,12,4,44,54,0,17,29
1,0,0,70,37,3,53,31,1,15,3
1,0,0,28,32,3,26,37,1,27,58
0,0,1,42,76,4,75,63,0,10,79
0,0,1,47,71,4,80,42,0,3,47
0,0,1,84,75,4,74,41,0,15,38
1,0,1,41,46,4,82,10,0,2,63
1,0,0,68,16,3,17,48,1,9,54
1,0,1,0,1,4,86,13,0,15,47
1,2,0,56,26,3,18,34,1,3,24
1,0,0,74,57,3,64,39,1,0,4
1,0,0,46,40,3,34,22,1,15,70
1,0,0,57,29,3,37,76,1,8,78
1,0,1,60,42,4,43,2,0,13,26
0,0,1,71,10,4,79,52,0,15,47
0,0,1,39,77,4,77,81,0,7,35
0,0,1,6,83,4,2,71,0,14,65
0,0,0,14,61,4,56,73,1,17,31
1,0,0,17,45,3,61,27,1,23,15
1,0,0,12,41,3,23,6,1,6,74
1,0,1,81,15,4,76,18,0,10,68
0,0,1,18,84,4,12,58,0,1,59
1,0,0,80,27,3,52,19,1,15,72
0,0,1,43,82,4,46,74,0,9,43
0,0,0,9,14,6,63,83,1,6,32
1,0,0,52,51,3,41,35,1,9,17
0,0,1,67,8,4,27,85,0,0,60
0,0,1,44,63,4,35,57,0,25,55
1,0,0,49,19,3,15,33,1,9,67
0,0,1,4,59,4,0,26,0,14,0
0,0,1,11,9,4,67,50,0,1,41
0,0,1,65,80,4,21,66,0,9,44
1,0,0,40,48,3,13,4,1,1,23
1,1,0,24,47,3,40,84,1,22,1
0,0,1,33,72,4,65,53,0,8,47
1,0,0,50,35,3,49,8,1,3,11
1,0,0,64,44,3,78,38,1,18,47
0,0,1,76,60,4,85,64,0,17,47
1,0,0,37,21,3,47,20,1,11,9
1,1,0,15,43,3,72,77,1,4,64
0,0,1,7,67,4,4,1,0,5,25
1,0,0,2,31,3,45,21,1,22,73
0,0,1,32,73,4,6,45,0,4,22
0,0,1,29,85,4,66,80,0,7,18
0,0,0,5,11,1,36,60,1,14,52
0,0,1,58,65,4,29,44,0,15,71
0,0,1,32,69,4,20,40,0,3,46
1,0,0,38,25,3,31,25,1,5,76
1,0,0,22,52,3,22,28,1,15,49
0,0,1,53,4,4,9,43,0,20,47
1,0,0,35,22,3,86,7,1,15,47
0,0,1,67,66,4,58,61,0,13,39
1,0,1,75,23,4,59,75,0,26,5
0,0,1,19,87,4,73,46,0,11,40
0,0,1,25,5,4,55,85,0,24,36
1,0,0,45,49,3,71,30,1,12,14
1,0,0,54,34,3,38,11,1,13,20
1,0,0,83,33,3,19,32,1,17,47
0,0,1,59,62,4,15,68,0,17,53
1,0,0,48,20,3,54,14,1,26,12
0,0,1,66,70,4,51,85,0,17,42
1,0,0,78,36,3,48,12,1,9,8
0,0,1,20,86,4,39,70,0,5,48
1,0,0,63,56,3,69,24,1,8,6
1,0,0,61,54,3,70,29,1,26,2
0,0,1,72,64,4,28,55,0,13,69
1,0,0,3,24,3,1,15,1,14,50
1,0,0,62,53,3,68,5,1,14,10
0,0,1,55,6,4,24,69,0,25,45
1,0,0,13,39,3,42,78,1,7,62
1,0,0,27,18,0,10,23,1,11,77
1,0,0,23,50,3,5,16,1,2,19
1,1,0,16,16,3,14,79,1,2,16
1,0,0,36,28,3,30,3,1,10,27
0,0,1,82,78,4,83,65,0,0,33
0,0,1,34,2,4,25,72,0,21,57
0,0,1,42,81,4,8,62,0,17,56
0,0,1,69,7,4,84,85,0,17,37
0,0,1,30,68,4,81,49,0,15,47
0,0,0,51,13,2,62,47,1,26,34
1,0,0,8,38,3,50,0,1,11,7
1,0,0,77,17,3,60,9,1,10,13
0,0,1,85,74,4,33,51,0,15,30
0,0,1,10,79,4,32,56,0,19,51
1,0,0,1,58,5,57,82,1,16,66
0,0,1,73,0,4,16,67,0,9,61
1,0,1,21,55,4,11,36,0,15,28
0,0,1,26,3,4,3,59,0,26,21
