GeneType,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
0,373963,28,372953,1
0,257891,50,256881,1
0,235050,56,234100,1
0,213667,38,212129,0
0,587198,71,585768,1
0,2607,104,1612,0
0,1290307,45,1289624,0
0,318674,67,317781,1
0,340298,30,339360,0
1,3259,102,2075,1
1,714,42,1,1
1,441837,113,440959,1
0,426250,88,425120,0
0,575815,95,574721,1
0,7796,77,7146,0
0,705562,23,704282,0
1,217615,120,216422,0
0,553985,25,552546,0
1,381686,70,380409,1
1,669822,44,668569,1
1,220225,39,218687,0
0,9331,13,7841,0
1,539819,19,538632,1
0,762518,24,761364,0
0,633557,4,632190,0
0,272650,51,271751,1
1,117411,119,116032,0
1,283947,40,282400,0
0,319749,111,318496,0
0,368482,29,367493,1
0,502004,91,500910,1
0,549818,100,548385,1
0,523271,18,522144,1
0,626457,21,625132,0
0,307709,76,306750,0
1,267266,52,266289,1
0,747400,64,746270,1
0,496221,90,495283,1
0,29669,79,28731,0
1,20974,81,19538,1
0,617521,98,616619,1
0,1080003,106,1078741,1
0,1505678,22,1504257,0
1,427442,60,425919,0
0,431585,89,430644,0
1,2899,109,1952,0
1,1905561,49,1904098,1
1,64367,68,62844,1
0,263994,8,262717,0
1,924009,58,922486,0
0,288343,117,287549,1
0,514203,114,514066,0
0,722553,63,721447,1
1,1706820,5,1705558,1
0,212824,57,211883,1
0,444750,87,443839,1
0,493306,84,491759,0
0,245389,41,244757,0
0,437122,86,436220,0
0,1798125,75,1796725,0
0,518865,115,517981,0
0,544003,97,543026,1
1,286679,59,285567,0
0,28060,82,27086,1
0,16755,14,15559,1
0,456889,101,455630,1
0,5615,54,4575,1
1,14110,53,13145,1
0,1556126,74,1554660,1
0,622717,37,621833,0
0,496985,116,495984,1
0,2612,2,1824,0
0,1562,20,393,1
0,284733,112,283762,0
0,218013,33,216889,0
0,489099,94,488107,1
1,400752,61,399232,0
0,86161,15,85631,1
0,514924,66,514307,0
0,14514,80,13402,1
0,1056372,105,1055425,1
0,67859,16,66546,0
0,514925,17,513729,1
0,315559,118,315128,1
0,1977944,47,1976967,0
0,229688,55,228501,1
0,1855873,27,1854422,1
1,604409,96,603339,1
0,1862763,26,1861267,1
0,541977,108,540886,1
0,25674,103,24613,0
0,449733,1,448939,0
0,579257,43,578298,1
0,1593162,46,1591861,0
0,507159,92,506107,1
0,437723,35,436782,1
0,1564652,0,1564452,1
0,625575,99,624448,1
0,1263503,73,1262121,0
0,220328,31,219990,1
0,418436,34,417618,0
0,3154,83,2129,0
1,16230,9,14896,0
0,481887,93,480445,1
0,19265,78,18156,1
1,546194,72,544968,1
0,273888,85,272725,1
0,48657,12,47974,1
0,1679690,6,1678407,0
0,976612,65,975470,0
0,1497988,69,1497068,0
0,190441,11,189542,0
1,463276,62,461756,0
0,2058209,7,2056686,1
0,8433,110,7429,0
0,212508,32,211570,1
1,347997,36,346477,0
0,1973004,48,1972075,1
0,197165,10,196203,1
0,1698039,3,1696570,1
0,1127958,107,1127086,1
