HostCountry,EventDate,ProCyclingStatsRaceId,EditionNumber,StartLocation,RaceWinner,EndLocation
3,16,170996.0,108.0,27,24,35
0,44,248558.0,100.0,10,32,7
8,39,247509.0,29.0,41,23,12
1,24,173870.0,85.0,20,25,13
5,29,,,29,3,39
3,53,269730.0,103.0,25,22,31
1,9,164464.0,,5,3,34
9,25,,,16,10,27
0,34,222427.0,43.0,4,10,8
1,50,256399.0,,31,34,3
3,3,149868.0,106.0,27,16,35
3,43,248725.0,101.0,26,1,38
1,32,,,11,3,24
0,19,172918.0,105.0,28,21,36
1,36,219215.0,18.0,7,19,41
0,38,219663.0,12.0,43,34,19
4,11,163769.0,,3,10,2
1,47,255403.0,,1,7,37
1,18,172905.0,16.0,39,13,41
8,30,180742.0,,6,34,5
1,12,164945.0,110.0,15,12,41
7,41,247518.0,,37,26,32
1,2,118928.0,81.0,20,25,13
8,6,164250.0,31.0,36,18,33
9,28,,,16,31,18
1,4,,57.0,13,25,9
1,45,247815.0,81.0,33,9,22
1,5,,65.0,21,30,4
9,26,,,16,11,11
0,54,268292.0,46.0,4,32,8
7,42,247519.0,,23,28,32
1,35,219154.0,41.0,8,20,6
3,57,279829.0,104.0,34,2,26
1,8,164463.0,,0,3,0
1,20,172965.0,78.0,33,25,22
1,31,,,19,33,10
0,15,172832.0,71.0,12,25,25
0,37,219523.0,88.0,24,3,42
8,14,172424.0,26.0,30,6,28
1,46,255362.0,,2,5,1
1,55,269799.0,20.0,9,25,41
1,10,164888.0,84.0,20,21,13
10,21,,,42,25,17
8,51,271430.0,37.0,18,0,33
1,49,255625.0,19.0,39,1,41
9,27,,,16,22,14
2,22,171128.0,22.0,22,11,16
0,33,181965.0,88.0,44,25,42
1,52,269661.0,,38,4,21
1,0,,62.0,21,14,4
7,40,247517.0,,40,29,20
8,17,170997.0,,6,8,5
1,1,118280.0,55.0,13,1,9
1,23,171129.0,81.0,32,11,29
6,13,172294.0,83.0,14,27,40
3,48,255537.0,112.0,27,15,35
1,56,,,38,17,30
1,7,164462.0,,17,3,15
7,58,247522.0,1.0,35,28,23
