SportType,StageLabel,HostCountry,StageDistanceKm,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,7,5,3034.0,22,15,34,20,7,34,7,10,25,3
1,46,0,248.0,23,7,40,18,49,24,46,10,31,3
1,18,5,205.0,20,21,20,5,13,11,20,2,2,2
1,11,6,241.0,46,16,30,3,14,7,11,10,22,2
0,29,5,179.3,11,2,35,10,28,15,29,10,26,3
1,47,7,167.5,41,19,22,17,43,25,48,5,17,2
1,21,5,3241.0,44,15,11,6,20,34,17,10,9,3
1,12,0,262.0,23,7,2,4,15,8,12,10,1,2
1,41,5,3181.5,21,15,1,14,40,34,41,10,0,3
1,0,1,180.6,35,13,18,20,0,0,0,10,14,3
1,26,1,1285.5,31,9,1,9,25,34,26,10,0,3
1,45,0,196.0,28,6,2,18,48,23,45,10,1,3
1,39,2,3445.4,4,3,29,14,38,34,39,10,21,1
1,34,2,251.0,5,4,19,12,33,20,34,10,15,3
1,16,5,145.0,0,21,15,5,11,9,18,0,1,2
1,2,5,,35,2,42,20,2,3,2,10,33,3
1,35,0,257.5,23,7,27,12,34,19,35,10,20,3
1,52,5,852.3,13,12,1,18,50,34,47,10,0,3
1,6,1,1305.0,9,9,23,20,6,34,6,10,18,3
1,25,5,171.6,1,5,35,8,24,13,25,10,26,2
1,14,5,829.0,17,12,21,4,17,34,14,10,16,3
1,51,7,138.0,37,20,26,17,55,29,52,9,17,2
1,33,3,256.5,26,0,12,12,32,18,33,10,10,3
1,30,0,201.0,8,6,24,11,29,16,30,10,24,3
1,5,1,1094.3,19,9,4,20,5,34,5,10,2,3
1,9,2,3498.0,36,3,31,3,9,5,9,10,23,3
1,40,2,260.0,10,4,10,14,39,21,40,10,8,3
1,23,5,3295.3,2,15,2,7,22,34,23,10,1,3
1,38,5,3319.1,45,15,9,13,37,34,38,10,7,3
1,54,5,188.3,29,19,2,19,52,31,54,5,27,2
1,44,5,845.2,6,12,19,16,47,34,44,10,15,3
1,1,1,188.8,35,13,16,20,1,1,1,10,12,3
1,31,1,1305.5,16,9,37,11,30,34,31,10,28,3
1,13,1,1276.3,19,9,14,4,16,34,13,10,11,3
1,8,5,191.5,11,2,17,2,8,6,8,10,13,3
1,28,5,234.0,39,1,33,11,27,17,28,10,24,3
1,17,5,153.0,14,21,5,5,12,10,19,1,2,2
1,20,1,1260.2,19,9,1,6,19,34,16,10,0,3
1,49,7,212.0,25,18,36,17,45,27,50,7,17,2
1,53,5,41.3,3,22,0,19,51,30,53,3,3,2
1,3,2,287.0,30,8,25,0,3,2,3,10,19,3
1,37,2,3332.6,34,3,39,13,36,34,37,10,30,4
1,56,5,182.0,43,19,2,19,54,33,56,7,1,2
1,50,7,175.5,40,17,3,17,46,28,51,8,17,2
1,4,0,258.5,23,7,38,1,4,4,4,10,29,3
1,24,2,260.0,30,4,33,9,23,14,24,10,24,3
1,43,1,3360.0,42,11,8,16,42,34,43,10,6,0
1,55,5,136.1,24,17,28,19,53,32,55,6,27,2
1,32,1,3630.0,18,11,6,11,31,34,32,10,4,3
1,42,2,200.0,38,10,41,15,41,22,42,10,32,3
1,10,5,3373.5,14,15,34,3,10,34,10,10,25,3
1,22,1,3558.5,7,11,7,20,21,34,22,10,5,3
1,27,4,724.9,12,14,1,8,26,34,27,10,0,3
1,15,5,3213.0,33,15,4,4,18,34,15,10,2,3
1,48,7,217.0,32,17,32,17,44,26,49,6,17,2
1,36,5,834.6,15,12,35,12,35,34,36,10,26,3
1,19,5,142.0,27,21,13,5,55,12,21,4,2,2
