GeneType,GeneDescription,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition,StrandOrientation
0,0,12909,140,1,10807,1
0,0,6110,99,1,3849,0
1,0,457048,88,0,454787,0
0,0,478833,231,1,476677,0
0,0,16869,149,1,14662,0
1,0,552888,219,0,550654,0
0,0,835809,95,1,833647,0
0,0,3770,50,2,732,1
1,0,1069200,209,0,1067095,0
1,0,9061,55,0,6806,1
0,0,2776,152,1,509,0
1,0,76342,177,0,73994,1
1,0,1167843,142,0,1165567,0
0,0,3747,24,1,1363,1
0,1,692573,69,1,690150,0
0,0,27924,7,3,26149,1
0,0,754574,173,1,752403,0
1,0,1157625,116,0,1155433,0
1,0,12933,112,0,10912,1
1,0,96434,222,0,94266,1
1,0,45480,196,0,43330,1
0,0,604953,80,1,602554,0
1,0,5633,13,0,4134,0
1,0,763015,83,0,760970,0
0,0,4215,71,1,1969,1
0,0,480713,38,1,478230,0
1,0,114439,9,0,112868,1
0,0,14957,64,1,12933,0
1,0,61722,221,0,61057,1
0,0,45278,100,1,42840,0
1,0,50723,119,0,48507,1
1,0,562476,171,0,560179,0
0,0,56175,84,1,53914,1
1,0,1621,65,0,2,1
0,0,1009290,45,1,1006993,0
0,0,11646,122,1,9286,1
0,0,487264,93,1,485114,0
0,0,47037,175,1,44773,1
0,0,371476,170,1,369323,0
0,0,477337,11,3,476408,0
0,0,1835184,67,1,1832923,0
1,0,53359,114,0,52601,1
0,0,1062,3,3,1,0
1,0,441740,91,0,439797,1
1,0,81519,12,0,79698,1
0,0,71686,213,1,69566,1
0,0,707127,48,1,704929,0
0,0,65232,218,1,62692,1
1,0,777368,224,0,775140,0
0,0,3230,126,1,921,1
0,0,2056,49,3,2,1
0,0,4947,46,1,2638,0
1,0,372955,230,0,370655,1
0,0,2191081,87,1,2188577,1
1,0,11060,139,0,8994,1
0,0,4184,235,1,1923,1
0,0,43304,155,1,40902,1
1,0,113111,165,0,111105,1
0,0,59089,41,1,56687,1
1,0,1189025,188,0,1186812,0
1,0,805063,178,0,803291,0
1,0,1835456,205,0,1833030,0
0,0,4516,53,3,3179,1
0,0,611448,110,2,610807,0
0,0,5046,157,1,2860,1
1,0,1204656,197,0,1202680,0
0,0,4025,163,1,1761,1
0,0,2650,25,1,386,1
1,0,560447,98,0,558669,1
