Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,15535592,26,26,4,0,15533634,0,1
0,13088041,23,23,0,1,13087050,0,1
0,2887522,5,5,4,0,2884196,0,1
0,8100373,12,12,4,0,8099708,0,0
0,2385948,3,3,4,0,2384263,0,1
0,1224915,2,2,0,1,1223366,0,0
0,18569916,32,32,2,0,18567811,0,1
0,9660409,20,20,0,4,9659774,0,1
0,20691680,37,37,2,0,20687577,0,0
0,20084058,36,36,2,0,20081842,0,0
0,22917396,41,41,3,0,22916293,0,0
0,7442496,10,10,0,3,7441054,0,0
0,3388596,6,6,0,0,3386035,0,0
0,7460551,11,11,4,0,7459967,0,1
0,8892434,18,18,0,0,8890575,0,0
0,14601803,24,24,0,0,14599311,0,0
0,22919345,42,42,2,1,22917489,0,0
0,21160683,38,38,2,1,21158294,0,0
0,9243759,19,19,0,3,9241420,0,1
0,5683900,8,8,4,0,5682041,0,1
0,14876341,25,25,0,0,14873024,0,0
0,21202044,39,39,3,3,21201277,0,0
0,16883348,28,28,2,1,16882523,0,1
0,12513680,22,22,4,1,12512236,0,1
0,17428676,31,31,3,3,17427897,0,1
1,767777,0,0,1,2,765565,1,0
0,8719393,15,15,4,1,8718089,0,1
0,996955,1,1,4,0,994757,0,1
0,19407046,34,34,2,0,19403750,0,1
0,17427877,30,30,3,0,17426891,0,1
0,16636077,27,27,2,3,16633784,0,0
0,8721067,17,17,4,1,8720480,0,1
0,19880381,35,35,2,0,19879143,0,1
0,4764197,7,7,4,0,4763523,0,0
0,8720335,16,16,0,1,8719457,0,1
0,8230637,13,13,4,3,8228810,0,0
0,24181479,43,43,2,1,24178167,0,1
0,8493706,14,14,0,1,8492307,0,1
0,2743380,4,4,4,3,2741554,0,0
0,18876950,33,33,3,1,18876013,0,0
0,7156671,9,9,4,0,7153471,0,1
0,9862316,21,21,4,3,9860879,0,1
0,21851320,40,40,3,0,21850049,0,1
0,17031788,29,29,2,3,17030570,0,1
