Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,0,1097,10,10,7,0,54,1
1,0,30308,48,48,6,0,9,27168
1,0,56857,120,120,2,1,18,54575
0,0,763,7,7,1,0,24,5
1,0,5564,35,35,2,1,34,2433
1,0,5286,76,76,2,1,28,4336
0,0,929052,122,122,2,1,84,925927
1,0,52289,81,81,6,0,8,48939
0,0,581462,110,110,5,0,23,578019
0,0,212280,147,147,8,0,30,211864
0,0,38881,130,130,2,1,58,36347
0,0,297517,75,75,6,0,85,294389
1,0,81368,18,18,2,1,82,80808
1,0,720,140,140,8,0,26,1
0,0,742903,100,100,2,1,75,741965
1,0,28960,1,1,2,1,84,27503
0,0,429068,80,80,6,0,83,425925
1,0,118859,95,95,2,1,34,115842
0,0,9728,36,36,6,0,38,6585
0,0,12029,41,41,8,0,86,11478
0,0,315827,124,124,6,0,78,312663
1,0,4234,72,72,2,1,43,3116
0,0,99546,108,108,2,1,26,97369
1,0,32123,54,54,2,1,50,29739
1,0,48514,137,137,6,0,50,47612
1,0,4123,86,86,5,0,1,1628
0,0,116617,51,51,6,0,42,113450
0,0,8113,60,60,2,1,88,5945
1,0,4229,136,136,6,0,51,1371
1,0,33235,5,5,8,0,77,30782
0,0,1206,13,13,8,0,85,1
0,0,767496,93,93,2,1,9,766105
0,0,567659,23,23,1,0,17,567123
1,0,99066,111,111,2,1,81,97825
0,0,318588,152,152,6,0,41,315535
0,0,1289,8,8,8,0,89,3
1,0,546,142,142,8,0,62,1
1,0,383983,3,3,2,1,59,383429
0,0,213521,148,148,2,1,50,212382
1,0,11203,39,39,2,1,56,8075
1,0,74545,150,150,2,1,67,72053
0,0,8781,24,24,2,1,47,5653
0,0,599,0,0,7,0,31,3
1,0,81855,145,145,6,0,13,78709
1,0,341238,25,25,2,1,71,338959
0,0,306062,90,90,2,1,50,305283
0,0,5181,103,103,2,1,86,4192
1,0,99079,49,49,2,1,2,97820
1,0,35758,4,4,7,0,77,35156
1,0,33620,82,82,6,0,67,30504
0,0,521345,21,21,6,0,55,518232
1,1,54155,53,53,6,0,37,50976
1,0,48145,2,2,4,0,20,47690
0,0,1771,17,17,8,0,16,5
0,0,9252,126,126,8,0,79,7177
1,0,1005,15,15,8,0,63,1
0,0,573456,42,42,2,1,30,572590
0,0,632799,45,45,6,0,68,629461
1,0,53098,125,125,2,1,23,49949
1,0,1291,11,11,8,0,90,11
1,0,55385,128,128,6,0,53,52233
0,0,6751,104,104,2,1,88,5450
1,0,3425,117,117,2,1,66,855
0,0,765509,32,32,6,0,74,762384
0,0,716461,43,43,6,0,50,713525
1,0,153763,101,101,5,0,52,151067
0,0,307836,151,151,8,0,41,304756
0,0,227216,73,73,8,0,68,225387
1,0,43791,66,66,6,0,77,40663
0,0,100486,50,50,2,1,44,98009
1,0,975350,133,133,5,0,73,972864
1,0,4790,123,123,6,0,19,1644
0,0,304,127,127,7,0,80,2
1,0,30678,113,113,7,0,40,29548
0,0,642289,106,106,6,0,47,639173
1,0,40231,109,109,7,0,14,38468
1,0,704,12,12,3,0,15,18
0,0,694715,132,132,2,1,33,691713
1,0,5115,52,52,5,0,36,2545
1,0,5807,129,129,2,1,33,3882
0,0,762911,102,102,2,1,33,760413
0,0,100844,29,29,7,0,69,99663
1,0,506465,67,67,2,1,39,504186
1,0,1242856,77,77,2,1,48,1242191
1,0,57661,38,38,2,1,56,55166
0,0,824374,59,59,2,1,33,822413
0,0,672501,84,84,2,1,84,670264
1,0,484,139,139,8,0,59,2
1,0,7065,64,64,2,1,72,6076
0,0,506906,98,98,0,0,85,503742
1,0,96937,119,119,2,1,61,96035
1,0,1651,92,92,2,1,13,830
0,0,302755,56,56,8,0,41,301802
0,0,1330,9,9,8,0,64,2
0,0,492209,20,20,2,1,81,489726
0,0,703218,16,16,8,0,25,701626
1,0,7840,63,63,2,1,7,6842
1,0,24175,33,33,6,0,17,21059
0,0,1482,105,105,2,1,42,1
0,0,3560,27,27,2,1,4,861
1,0,40333,118,118,6,0,22,37199
1,0,6322,40,40,6,0,17,3197
0,0,673825,79,79,2,1,71,670661
0,0,201983,146,146,2,1,50,197949
0,0,232598,154,154,2,1,30,230508
1,0,46653,83,83,2,1,16,44743
0,0,789292,94,94,2,1,9,788021
0,0,714709,99,99,2,1,71,711560
0,0,1815,91,91,2,1,51,1
