Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,0,1097,13,13,7,0,56,1
1,0,30308,53,53,6,0,10,27168
1,0,56857,122,122,2,1,19,54575
0,0,763,10,10,1,0,25,5
0,0,703218,19,19,8,0,27,701626
1,0,5286,82,82,2,1,30,4336
1,0,93861,100,100,2,1,51,92599
0,0,716461,49,49,6,0,52,713525
0,0,581462,112,112,5,0,24,578019
0,0,212280,148,148,8,0,32,211864
0,0,38881,133,133,2,1,60,36347
0,0,297517,81,81,6,0,88,294389
1,0,81368,21,21,2,1,84,80808
1,0,720,141,141,8,0,28,1
0,0,666404,22,22,8,0,26,665952
1,0,30302,0,0,2,1,87,29316
1,0,5807,131,131,2,1,35,3882
1,0,118859,98,98,2,1,36,115842
0,0,9728,42,42,6,0,41,6585
0,0,12029,47,47,8,0,89,11478
0,0,315827,126,126,6,0,80,312663
1,0,4234,78,78,2,1,46,3116
0,0,99546,110,110,2,1,28,97369
1,0,32123,59,59,2,1,52,29739
0,0,929052,124,124,2,1,87,925927
1,0,4123,90,90,5,0,1,1628
0,0,116617,56,56,6,0,45,113450
0,0,8113,65,65,2,1,91,5945
1,0,4229,138,138,6,0,53,1371
1,0,33235,7,7,8,0,79,30782
0,0,1206,16,16,8,0,88,1
0,0,789292,97,97,2,1,10,788021
1,0,53098,127,127,2,1,24,49949
1,0,99066,113,113,2,1,83,97825
0,0,318588,153,153,6,0,44,315535
0,0,1289,11,11,8,0,92,3
1,0,546,143,143,8,0,64,1
1,0,383983,5,5,2,1,61,383429
0,0,213521,149,149,2,1,52,212382
1,0,57661,44,44,2,1,58,55166
1,0,74545,151,151,2,1,69,72053
0,0,8781,28,28,2,1,50,5653
0,0,599,1,1,7,0,33,3
1,0,81855,146,146,6,0,14,78709
1,0,341238,29,29,2,1,74,338959
0,0,227216,79,79,8,0,70,225387
0,0,5181,105,105,2,1,89,4192
1,0,99079,54,54,2,1,3,97820
1,0,35758,6,6,7,0,79,35156
1,0,46653,88,88,2,1,17,44743
0,0,521345,25,25,6,0,57,518232
1,1,54155,58,58,6,0,39,50976
1,0,96937,121,121,2,1,63,96035
