SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistDescription,MemoireDuCyclismeCyclistId,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
1,9,39897.0,12748.0,8,1741.0,138849,16,4,8,64864,67.0,8,9,11,13,9,54755,3050,173,0,7
3,15,58495.0,22516.0,2,,168779,2,11,19,86813,72.0,15,6,13,5,3,78350,16783,181,13,9
1,18,49272.0,17881.0,16,13864.0,140294,14,7,5,76092,56.0,9,5,13,1,16,38092,4863,169,10,8
1,10,,26392.0,9,,193131,0,11,10,148275,69.0,17,0,13,8,10,89152,45363,176,13,0
0,6,39941.0,10070.0,6,,140615,14,11,12,33579,67.0,4,10,9,3,7,14215,872,177,8,8
1,3,17747.0,1992.0,5,35988.0,140399,7,3,17,31056,63.0,1,10,13,17,6,11476,486,175,2,3
0,8,52110.0,19577.0,11,,150271,1,11,14,75262,66.0,13,3,13,18,12,65915,9073,183,1,4
1,16,57472.0,21342.0,18,317302.0,178184,5,11,4,91656,62.0,12,1,8,7,18,66785,23097,170,13,2
1,1,69634.0,26526.0,19,5000.0,194619,10,11,6,149727,66.0,18,9,12,9,19,115790,45992,176,13,7
1,4,16313.0,3333.0,7,134950.0,140752,0,2,9,44513,74.0,2,3,2,15,8,18746,150,181,4,0
1,11,55710.0,21145.0,12,20655.0,132339,11,10,7,86863,70.0,14,15,4,6,13,71405,16687,185,6,7
1,7,41199.0,8921.0,10,11850.0,140191,9,6,1,69192,,5,4,13,4,11,58138,920,185,7,4
1,4,16313.0,3333.0,7,134950.0,140752,0,2,9,44513,74.0,2,3,2,15,8,18746,150,181,4,0
1,0,16289.0,5.0,1,470645.0,140924,13,1,11,14575,61.0,0,8,0,14,1,7005,38,177,5,8
1,1,69634.0,26526.0,19,5000.0,194619,10,11,6,149727,66.0,18,9,12,9,19,115790,45992,176,13,7
3,5,19255.0,3891.0,4,508772.0,140196,15,0,3,32532,71.0,3,7,1,12,5,11292,716,183,3,9
1,2,62205.0,23765.0,3,9170.0,181466,6,11,0,97939,,16,11,10,2,4,94397,27283,170,13,6
0,6,39941.0,10070.0,6,,140615,14,11,12,33579,67.0,4,10,9,3,7,14215,872,177,8,8
2,14,56041.0,20719.0,17,127549.0,174582,12,9,15,88889,65.0,6,14,5,11,17,72449,18655,177,12,4
2,14,56041.0,20719.0,17,127549.0,174582,12,9,15,88889,65.0,6,14,5,11,17,72449,18655,177,12,4
1,12,75207.0,,13,,205970,0,11,13,154227,,19,12,6,16,14,104359,70034,175,13,0
1,2,62205.0,23765.0,3,9170.0,181466,6,11,0,97939,,16,11,10,2,4,94397,27283,170,13,6
1,17,39842.0,12843.0,14,1311517.0,140292,4,5,16,67388,58.0,7,2,7,10,15,57418,2276,166,9,1
0,13,,13313.0,15,,138189,8,11,18,439866,70.0,10,16,13,0,2,87421,8551,171,13,5
1,10,,26392.0,9,,193131,0,11,10,148275,69.0,17,0,13,8,10,89152,45363,176,13,0
1,17,39842.0,12843.0,14,1311517.0,140292,4,5,16,67388,58.0,7,2,7,10,15,57418,2276,166,9,1
3,19,56666.0,18975.0,0,32176.0,133024,3,8,2,70590,58.0,11,13,3,19,0,65132,20147,172,11,9
1,11,55710.0,21145.0,12,20655.0,132339,11,10,7,86863,70.0,14,15,4,6,13,71405,16687,185,6,7
