SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistDescription,MemoireDuCyclismeCyclistId,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
4,1,47885.0,18123.0,48,21399.0,139801.0,14,20,50,68832.0,71.0,30,32,15,41,33,58401.0,6309.0,179.0,1,5
4,20,65688.0,24926.0,30,465450.0,198937.0,10,34,49,95844.0,60.0,46,12,28,4,15,100412.0,58275.0,175.0,43,3
4,6,,,17,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,10,,,7,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,35,43345.0,15281.0,42,3825.0,140722.0,5,13,37,64941.0,72.0,27,14,28,15,28,32784.0,6246.0,178.0,37,1
4,39,61866.0,23334.0,50,160840.0,185156.0,10,34,31,97634.0,65.0,38,3,16,21,35,100717.0,35077.0,170.0,5,3
4,41,,,64,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,3,,,8,,,30,34,30,,,53,24,28,27,38,,,,43,13
1,41,,,53,,115140.0,29,34,30,26245.0,,6,24,28,27,6,10521.0,,,43,13
2,26,47965.0,17988.0,69,,138125.0,6,34,47,70962.0,74.0,35,25,28,23,49,64279.0,8377.0,1.85,43,13
4,5,,,67,975574.0,,39,34,30,,,53,24,28,27,38,,,,43,13
4,11,8760.0,4179.0,15,42225.0,140749.0,31,29,38,32691.0,78.0,18,7,9,18,4,19407.0,406.0,181.0,20,13
6,48,41076.0,13362.0,61,56034.0,139405.0,24,19,46,65995.0,70.0,26,6,28,3,46,51551.0,3277.0,177.0,19,14
4,15,22663.0,5789.0,24,1529344.0,140869.0,7,2,28,43936.0,69.0,14,13,14,10,11,22017.0,713.0,186.0,16,11
3,44,39004.0,,54,47028.0,138497.0,20,25,35,66298.0,,31,18,11,8,39,60878.0,89540.0,,36,13
4,41,19402.0,2694.0,53,,138138.0,32,30,10,33670.0,,10,0,28,24,44,15658.0,6595.0,,39,13
4,16,,19953.0,25,9081.0,137740.0,20,22,20,81980.0,76.0,36,1,28,20,10,77405.0,14737.0,189.0,2,6
4,59,6263.0,45.0,57,247878.0,140855.0,6,3,43,24166.0,70.0,8,7,1,13,42,4177.0,174.0,179.0,24,13
4,14,,29474.0,23,,215760.0,19,34,1,638202.0,,51,10,27,14,9,149604.0,92666.0,184.0,43,13
4,38,14372.0,56.0,49,,140610.0,27,6,16,14262.0,63.0,3,34,28,34,34,5274.0,27.0,174.0,11,8
6,53,56666.0,18975.0,11,32176.0,133024.0,9,24,5,70590.0,58.0,33,29,18,46,0,65132.0,20147.0,172.0,40,17
