GENE_TYPE,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,23,1786847,66,0,0,1785821,1
0,24,2175621,227,0,9,2174909,0
0,12,154819,176,0,6,154022,1
1,2,2005679,75,1,0,2004696,1
0,23,545737,18,0,0,544797,1
0,23,727451,27,0,0,726416,0
0,11,1764239,163,0,4,1763508,0
0,24,2196287,229,0,9,2195330,0
0,17,2659219,246,0,12,2658195,0
1,2,1528688,55,1,0,1527763,1
0,5,13907,142,0,2,12933,1
0,23,3185796,109,0,0,3184809,0
0,20,1211877,137,0,1,1210906,1
1,14,2741232,210,1,7,2740189,0
0,23,3350446,112,0,0,3349469,0
0,12,69437,173,0,6,68407,1
0,23,2236648,80,0,0,2235660,0
1,10,2958958,256,1,12,2958174,0
0,23,3374873,113,0,0,3373889,0
1,2,2126124,78,1,0,2125348,0
0,23,845231,33,0,0,844259,0
0,9,130190,234,0,10,129258,1
0,1,148899,264,0,13,147857,1
0,5,1287410,149,0,2,1286397,0
1,2,914773,35,1,0,913902,0
0,23,3087645,107,0,0,3086711,0
0,20,1317363,140,0,1,1316438,0
0,23,1775441,65,0,0,1774454,1
1,10,2604343,243,1,12,2603401,0
0,23,434763,14,0,0,433749,0
0,23,240684,6,0,0,239723,0
0,9,117913,233,0,10,116867,1
0,3,2663503,208,0,7,2662569,0
0,23,2708277,92,0,0,2707301,1
0,23,841681,32,0,0,840713,0
0,23,694956,25,0,0,693924,0
1,2,2960312,101,1,0,2959559,1
1,21,292637,160,1,4,291670,1
0,23,1701321,62,0,0,1700384,1
0,12,42295,172,0,6,41246,1
0,23,312759,8,0,0,311723,0
0,24,69433,220,0,9,68481,1
0,9,61311,231,0,10,60333,1
0,23,2269235,82,0,0,2268255,0
0,11,1771461,164,0,4,1770454,0
0,23,1123510,44,0,0,1122552,1
0,17,2579902,242,0,12,2578929,0
0,23,2987289,103,0,0,2986294,1
1,2,407514,12,1,0,406664,0
