Languages,ProfileImage,WeightKg,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,SocialMediaFollowers,TeamAffiliation,ProCyclingStatsCyclistId,Birthplace,CyclistName,UciRiderId,CyclingArchivesCyclistId
6,9,,11,92920.0,31654.0,5,114659.0,183.0,5,20671.0,7,240140,1,5,415141,140379
6,5,56.0,6,73302.0,27024.0,3,77970.0,164.0,3,,10,209345,6,3,573361,140376
5,2,66.0,7,69634.0,26526.0,11,45992.0,176.0,11,5000.0,2,194619,7,11,149727,115790
6,7,,4,70041.0,27132.0,6,54660.0,170.0,6,,8,198315,8,6,153513,138346
2,1,62.0,0,46381.0,18610.0,7,12474.0,173.0,7,77168.0,4,137427,9,7,71557,63999
2,3,,10,,,1,112241.0,,1,,0,242423,5,1,667300,148733
0,10,68.0,2,61775.0,23299.0,9,25726.0,186.0,9,23252.0,3,164709,10,9,89223,72207
3,6,,5,,25165.0,4,38803.0,181.0,4,,5,189109,0,4,109668,104920
4,11,66.0,8,71935.0,28298.0,0,45987.0,176.0,0,,7,192457,3,0,98774,114071
2,8,,9,85961.0,31264.0,8,99667.0,176.0,8,,9,219158,2,8,672076,154492
1,0,58.0,1,49682.0,17893.0,10,6242.0,172.0,10,39580.0,6,134456,4,10,553301,65130
6,4,60.0,3,65688.0,24926.0,2,58275.0,175.0,2,465450.0,1,198937,11,2,95844,100412
