Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon,Pseudogene_Label
0,691121,77,1,0,47,690219,0,7,77
0,13686177,101,1,0,6,13681198,0,8,101
1,243279,50,3,1,29,239581,1,7,50
0,68272,3,1,0,7,58754,0,3,3
1,429433,59,3,1,17,427442,0,7,59
1,350186,26,3,1,12,346785,1,7,26
0,66842,1,1,0,4,57327,0,1,1
1,335949,41,3,1,41,332707,0,7,41
0,691157,94,1,0,49,690288,0,7,94
1,12430,55,3,1,25,10808,0,7,55
1,788786,11,3,1,16,784983,1,7,11
1,515535,65,3,1,10,511714,0,7,65
1,1065895,85,3,1,9,1062773,0,7,85
1,213136,66,3,1,56,209912,0,7,66
1,523896,83,3,1,24,520486,1,7,83
0,682558,13,1,0,52,680154,0,7,13
1,11747,62,3,1,17,8811,1,7,62
0,13341943,99,2,0,41,13338355,0,6,99
1,75404,52,3,1,41,71586,1,7,52
1,142018,88,3,1,19,138758,0,7,88
0,5300473,98,1,0,7,5299394,0,6,98
0,15212101,100,2,0,27,15211018,0,6,100
0,683957,10,2,0,0,682659,0,7,10
1,259348,93,3,1,11,255518,0,7,93
1,49886,74,3,1,28,46212,1,7,74
1,605221,45,3,1,40,603080,0,7,45
1,4154,15,3,1,15,495,1,7,15
0,66669,0,1,0,2,58960,0,0,0
1,608315,33,3,1,47,604602,1,7,33
0,1167562,7,1,0,56,1158722,0,5,7
0,681513,78,2,0,25,680680,0,7,78
1,1109524,76,3,1,51,1105571,1,7,76
1,300213,43,3,1,12,298375,0,7,43
1,337613,96,3,1,22,336009,1,7,96
1,45188,12,3,1,26,41949,1,7,12
1,581064,64,3,1,10,577246,0,7,64
1,44223,89,3,1,32,37483,0,7,89
1,602157,20,3,1,13,598276,0,7,20
1,1379419,39,3,1,36,1376159,1,7,39
1,469174,17,3,1,23,465341,0,7,17
1,458499,82,3,1,12,454699,1,7,82
1,506172,35,3,1,24,503089,1,7,35
1,5940,31,3,1,36,2119,1,7,31
1,11129,47,3,1,5,7485,1,7,47
1,469188,90,3,1,50,465982,0,7,90
1,430849,58,3,1,17,429539,0,7,58
1,1515,27,3,1,57,1,1,7,27
0,3249490,5,1,0,5,3247895,1,4,5
1,605437,63,3,1,17,602729,1,7,63
1,250445,44,3,1,15,248646,0,7,44
1,956510,84,3,1,53,952710,1,7,84
1,22025,18,3,1,18,18780,1,7,18
1,89728,25,3,1,46,86798,1,7,25
1,1287934,38,3,1,32,1284098,1,7,38
1,2438,53,3,1,33,6,1,7,53
1,1560,56,3,1,42,1,0,7,56
1,1219117,102,3,1,14,1216267,0,8,102
1,377243,97,3,1,47,373542,1,7,97
1,8619,79,3,1,30,6454,1,7,79
1,24589,81,3,1,47,20873,1,7,81
1,7843,42,3,1,35,4586,1,7,42
1,1054897,57,3,1,46,1051832,0,7,57
0,8248,8,1,0,1,38,1,7,8
1,1056376,80,3,1,8,1052489,0,7,80
1,26933,86,3,1,39,23172,1,7,86
1,3051,9,3,1,45,1,0,7,9
1,337509,70,3,1,12,335044,0,7,70
1,233680,60,3,1,14,230456,1,7,60
1,65270,54,3,1,28,61929,1,7,54
1,296568,95,3,1,47,292768,1,7,95
1,66045,92,3,1,48,62704,1,7,92
1,37473,48,3,1,9,33883,1,7,48
1,80768,61,3,1,14,77490,1,7,61
1,31420,91,3,1,9,29030,1,7,91
1,507690,37,3,1,38,504439,0,7,37
1,74860,87,3,1,39,71606,1,7,87
1,280505,29,3,1,14,278556,1,7,29
1,81642,30,3,1,43,72760,1,7,30
1,22348,46,3,1,44,18539,1,7,46
1,248545,71,3,1,12,245762,0,7,71
1,643039,72,3,1,37,641519,0,7,72
1,2692,73,3,1,33,2,0,7,73
0,1413533,6,1,0,3,1404693,0,4,6
1,587652,32,3,1,47,583996,1,7,32
1,43248,36,3,1,25,39526,1,7,36
0,3247776,4,1,0,3,3246661,1,4,4
1,247107,67,3,1,41,243913,0,7,67
1,7274,21,3,1,10,4287,1,7,21
1,4357,16,3,1,31,527,1,7,16
1,1671383,24,3,1,32,1667499,1,7,24
1,10865,75,3,1,22,9594,1,7,75
1,1372594,34,3,1,51,1368890,0,7,34
1,1529406,69,3,1,32,1525576,1,7,69
1,1217402,68,3,1,21,1214406,0,7,68
0,68055,2,1,0,3,58540,0,2,2
0,6687,14,0,0,55,6370,1,7,14
1,250771,49,3,1,53,246869,1,7,49
1,654188,51,3,1,51,650496,0,7,51
1,19296,40,3,1,20,16819,0,7,40
1,444498,23,3,1,10,440737,1,7,23
1,1690,22,3,1,34,2,0,7,22
1,446032,28,3,1,47,442286,1,7,28
1,8539,19,3,1,54,4712,0,7,19
