Gender,PosthumousTitle,GoogleKnowledgeGraphId,FirstName,MiddleName,MotherName,DeathDate,SiblingName,FamilySurname,FullName,BirthDate
0,59,85,5,0,0,27,0,1,7,67
0,61,66,7,1,16,37,0,0,67,86
1,1,30,4,1,24,73,0,0,54,59
1,28,3,4,1,10,32,0,0,27,35
0,37,85,5,0,16,84,0,1,6,70
0,47,51,5,0,14,81,0,1,70,29
0,47,65,5,0,16,86,0,1,60,77
1,69,19,5,0,10,78,0,1,14,81
1,64,32,4,1,24,22,0,0,22,69
1,47,8,4,1,14,87,0,0,20,34
1,80,49,3,1,10,85,1,0,28,85
1,72,20,4,1,14,54,0,0,25,80
1,13,15,4,1,24,56,0,0,18,46
1,10,33,4,1,14,46,0,0,32,52
1,9,5,4,1,13,71,0,0,53,60
0,47,50,5,0,10,80,0,1,61,66
0,35,81,5,0,7,79,0,1,78,37
0,67,73,5,0,13,0,0,1,83,3
0,31,53,5,0,14,34,0,1,75,84
1,75,23,4,1,13,31,0,0,37,44
1,7,18,6,1,14,57,0,0,35,7
0,26,1,5,0,5,2,0,1,69,4
0,58,60,5,0,1,11,0,1,84,16
1,74,6,4,1,6,23,0,0,43,11
0,43,75,5,0,9,48,0,1,82,42
1,0,84,4,1,20,42,1,0,48,23
1,79,9,4,1,14,63,0,0,50,63
0,51,45,5,0,14,9,0,0,63,18
0,55,59,5,0,23,35,0,1,64,43
1,27,2,5,0,12,44,0,1,44,58
1,6,0,4,1,11,51,0,0,41,6
0,30,56,5,0,16,45,0,1,11,79
0,44,68,5,0,9,20,0,1,81,64
1,17,22,4,1,4,4,0,0,36,39
1,25,34,4,1,3,18,2,0,24,54
0,47,42,5,0,18,7,0,1,3,50
1,49,29,4,1,14,21,0,0,52,21
1,68,82,8,1,15,59,0,0,59,0
0,47,54,5,0,14,80,0,1,9,72
1,24,4,4,1,1,13,0,0,49,38
1,66,78,4,1,4,74,1,0,45,13
1,82,14,4,1,13,36,0,0,56,5
1,15,28,4,1,21,64,0,0,46,15
0,22,44,5,0,4,5,0,1,74,31
0,32,83,9,1,6,66,0,0,13,8
0,60,39,5,0,19,30,0,1,85,27
0,71,43,5,0,14,29,0,1,66,56
0,41,52,5,0,1,70,0,1,8,10
1,78,17,4,1,10,69,0,0,23,45
1,29,35,5,0,14,10,0,1,55,20
0,81,64,5,0,10,77,0,1,77,41
1,23,7,4,1,3,6,0,0,33,62
0,38,41,5,0,14,76,0,1,76,83
1,2,31,4,1,14,55,0,0,40,71
0,40,46,5,0,11,75,0,1,87,17
0,36,85,5,0,22,58,0,1,4,24
1,20,25,4,1,16,12,0,0,31,47
1,5,27,4,1,8,72,0,0,57,61
1,12,10,4,1,3,50,0,0,39,48
0,53,70,5,0,16,15,0,1,62,57
1,19,13,4,1,12,40,0,0,38,51
0,39,63,5,0,12,60,0,1,68,67
1,3,38,4,1,0,67,0,0,58,75
0,48,72,5,0,5,41,0,1,86,19
1,14,11,4,1,10,62,0,0,16,78
1,77,77,4,1,8,39,0,0,29,55
0,70,57,5,0,12,28,0,1,65,73
1,73,24,4,1,20,47,0,0,30,1
1,54,48,4,1,9,17,0,0,15,68
0,45,71,5,0,23,24,0,1,5,53
1,63,79,4,1,7,43,0,0,42,12
1,11,36,4,1,14,53,0,0,26,30
1,57,37,4,1,25,26,0,0,34,28
1,16,80,4,1,2,14,1,0,15,14
1,8,21,4,1,11,49,0,0,19,36
0,46,40,5,0,3,19,0,1,71,31
0,56,74,5,0,19,25,0,1,1,33
0,42,85,5,0,16,52,0,1,72,65
0,33,67,5,0,0,83,0,1,79,82
0,47,55,5,0,8,68,0,1,73,32
0,34,47,2,1,24,65,0,0,12,49
1,18,16,4,1,2,3,0,0,51,22
1,4,76,5,0,24,61,0,1,21,76
0,52,62,1,1,13,38,0,0,10,2
0,50,58,5,0,17,33,0,1,80,9
1,65,12,5,0,2,82,0,1,47,40
0,62,69,5,0,9,16,0,1,0,74
1,76,26,0,1,11,8,0,0,17,26
0,21,61,5,0,24,1,0,1,2,25
