Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,TwitterHandle,Birthplace,UciRiderId,WeightKg,Birthdate,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId
1,13,69190.0,25740.0,12,11,,196424.0,4,16,8,112082.0,,21,13,12,115868.0,38195.0,175.0,14
1,19,58116.0,22910.0,27,22,15237.0,170625.0,5,23,6,99713.0,78.0,15,10,27,81488.0,27111.0,186.0,14
1,0,43410.0,17901.0,4,6,33516.0,139783.0,10,3,18,66795.0,70.0,10,13,4,42590.0,6413.0,189.0,6
1,7,56436.0,20917.0,21,1,5649.0,156570.0,6,0,9,77380.0,78.0,12,13,21,71706.0,9746.0,180.0,14
1,1,46381.0,18610.0,13,3,77168.0,137427.0,5,17,20,71557.0,62.0,8,3,13,63999.0,12474.0,173.0,0
1,21,83295.0,28377.0,25,21,84000.0,212377.0,1,6,0,587366.0,62.0,27,7,25,141854.0,84019.0,171.0,14
1,17,43388.0,14319.0,17,12,67673.0,140293.0,14,10,13,68367.0,63.0,6,13,18,58588.0,2278.0,173.0,9
1,18,53778.0,21261.0,18,16,2006.0,174179.0,0,11,3,78098.0,74.0,13,13,19,70986.0,21855.0,189.0,1
1,26,6263.0,45.0,22,19,247878.0,140855.0,1,14,26,24166.0,70.0,0,0,22,4177.0,174.0,179.0,7
1,2,,26409.0,26,23,,193912.0,11,13,23,148777.0,,24,13,26,96575.0,44537.0,179.0,14
1,22,39842.0,12843.0,19,17,1311517.0,140292.0,3,12,25,67388.0,58.0,7,9,20,57418.0,2276.0,166.0,10
0,15,48143.0,21971.0,16,14,205449.0,168754.0,9,21,10,79462.0,,14,11,16,64280.0,16672.0,184.0,13
2,10,19255.0,3891.0,8,0,508772.0,140196.0,15,7,4,32532.0,71.0,1,1,8,11292.0,716.0,183.0,3
1,9,69332.0,25704.0,7,8,,181190.0,5,5,27,112353.0,73.0,20,13,7,105160.0,37717.0,190.0,14
1,4,,23403.0,11,0,6736.0,182517.0,15,9,11,99665.0,58.0,16,13,11,95077.0,27295.0,173.0,14
1,5,11009.0,5139.0,3,5,188233.0,140904.0,9,2,7,55131.0,65.0,3,5,3,27924.0,581.0,183.0,4
1,16,104375.0,,20,15,,273882.0,2,13,15,,,28,13,17,185469.0,181011.0,,14
1,27,,27715.0,14,0,,194388.0,1,13,14,149501.0,,25,13,14,88265.0,5515.0,,14
1,8,19630.0,10023.0,6,0,28543.0,140233.0,7,4,5,54679.0,61.0,4,13,6,22431.0,794.0,175.0,5
1,24,71935.0,28298.0,2,4,,192457.0,7,13,1,98774.0,66.0,26,13,2,114071.0,45987.0,176.0,14
1,12,66232.0,23948.0,10,10,,176305.0,0,8,17,109829.0,,19,13,10,81941.0,37446.0,175.0,14
1,3,,24316.0,1,0,,181239.0,12,18,28,97280.0,67.0,17,12,1,104872.0,37281.0,186.0,14
1,20,56041.0,20719.0,24,20,127549.0,174582.0,13,24,24,88889.0,65.0,5,6,24,72449.0,18655.0,177.0,12
1,14,65469.0,24924.0,15,13,,186507.0,8,20,21,109737.0,,22,13,15,120486.0,38481.0,202.0,14
1,28,54848.0,20156.0,23,18,12312.0,132359.0,5,22,19,86812.0,64.0,11,13,23,67163.0,15752.0,180.0,2
1,6,62573.0,23503.0,5,7,54522.0,181270.0,3,19,22,92264.0,63.0,18,8,5,91205.0,27124.0,174.0,14
1,25,3083.0,3366.0,28,0,24074.0,140270.0,0,15,12,30329.0,63.0,2,2,28,15181.0,568.0,175.0,8
1,23,56666.0,18975.0,0,2,32176.0,133024.0,15,1,2,70590.0,58.0,9,4,0,65132.0,20147.0,172.0,11
1,11,69878.0,26378.0,9,9,,206876.0,3,13,16,162777.0,,23,13,9,118440.0,61639.0,168.0,14
