StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
1,373963,26,21,372953
1,257891,48,20,256881
1,235050,54,21,234100
0,213667,37,16,212129
1,587198,70,14,585768
1,2377,104,10,1157
1,1381990,68,3,1381346
1,318674,65,21,317781
0,340298,28,21,339360
1,3259,102,2,2075
0,2882,67,2,2106
1,441837,113,2,440959
0,426250,88,21,425120
1,575815,95,21,574721
1,14514,80,21,13402
0,762518,22,3,761364
0,217615,120,2,216422
0,553985,23,16,552546
0,2612,2,1,1824
1,669822,43,2,668569
0,220225,38,2,218687
1,86161,13,0,85631
1,539819,17,2,538632
1,1253659,44,3,1252076
0,705562,21,3,704282
1,272650,49,21,271751
0,117411,119,2,116032
0,283947,39,2,282400
0,319749,111,3,318496
1,368482,27,21,367493
1,502004,91,21,500910
1,549818,100,14,548385
1,523271,16,6,522144
0,626457,19,3,625132
0,307709,76,21,306750
1,267266,50,2,266289
1,747400,62,3,746270
1,496221,90,21,495283
0,29669,79,20,28731
1,20974,81,2,19538
1,617521,98,21,616619
1,1080003,106,7,1078741
0,1798125,75,3,1796725
0,427442,58,2,425919
0,431585,89,21,430644
0,2899,109,2,1952
1,1905561,47,2,1904098
1,64367,66,2,62844
0,263994,7,10,262717
0,924009,56,2,922486
1,288343,117,21,287549
0,514203,114,1,514066
1,722553,61,3,721447
1,1706820,4,23,1705558
1,212824,55,21,211883
1,444750,87,21,443839
0,493306,84,16,491759
0,245389,40,1,244757
0,437122,86,20,436220
1,1855873,25,21,1854422
0,518865,115,11,517981
1,544003,97,21,543026
0,286679,57,2,285567
1,28060,82,20,27086
1,714,41,2,1
1,456889,101,5,455630
1,14110,51,2,13145
0,21643,52,21,20600
1,1556126,73,14,1554660
0,622717,36,12,621833
1,496985,116,8,495984
1,16755,12,4,15559
0,17420,32,4,16842
0,284733,112,22,283762
0,218013,31,10,216889
1,489099,94,21,488107
0,400752,59,2,399232
1,1562,18,20,393
0,514924,64,0,514307
1,19265,77,21,18156
1,1056372,105,9,1055425
0,67859,14,3,66546
1,514925,15,6,513729
1,315559,118,0,315128
0,2003523,74,21,2002453
1,229688,53,20,228501
1,1862763,24,3,1861267
1,604409,96,2,603339
1,2058209,6,24,2056686
1,541977,108,10,540886
0,25674,103,1,24613
0,449733,1,1,448939
1,579257,42,20,578298
0,1593162,45,13,1591861
1,507159,92,21,506107
1,437723,34,21,436782
1,1564652,0,1,1564452
1,625575,99,21,624448
0,1263503,72,17,1262121
1,220328,29,0,219990
0,418436,33,21,417618
0,3154,83,21,2129
1,48657,10,5,47974
1,481887,93,16,480445
0,24337,78,19,23213
1,546194,71,2,544968
1,273888,85,21,272725
0,9331,11,15,7841
0,1679690,5,3,1678407
0,976612,63,4,975470
0,1505678,20,21,1504257
0,190441,9,21,189542
0,463276,60,2,461756
1,381686,69,2,380409
0,8433,110,21,7429
1,212508,30,21,211570
0,347997,35,2,346477
1,1973004,46,21,1972075
1,197165,8,7,196203
1,1698039,3,16,1696570
1,1127958,107,18,1127086
