Gene_Classification,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,313057,145,312338,0
1,76658,39,76494,0
0,36547,223,35690,0
0,2151652,66,2150759,1
0,749937,93,749176,1
0,1088191,237,1087412,1
1,432941,203,432381,1
1,497744,121,496932,1
0,33929,166,32910,1
0,1227756,106,1227118,1
1,652441,52,651695,1
0,402463,85,401243,0
1,2521,109,1283,1
0,394684,23,394031,1
0,1098996,238,1097833,1
0,663709,104,662936,1
0,738,2,1,0
1,41030,151,39978,0
0,2162466,65,2161639,0
1,937169,156,936387,1
1,269718,147,269074,1
0,946792,5,945539,1
0,15525,110,14710,1
1,563168,89,561921,1
1,477748,120,476525,1
0,731234,56,730422,0
0,11189,50,10047,1
0,217780,244,216641,0
0,1034038,239,1032938,1
1,779639,94,778437,0
0,5309,218,4047,1
0,41608,191,40412,1
1,667923,92,666610,1
1,497406,34,496306,0
0,365512,36,364310,1
0,3650,148,2478,1
1,13702,26,12743,0
0,1057942,132,1056725,0
0,589228,206,588062,0
0,10217,29,9084,1
1,182780,42,181743,1
0,196658,242,195561,0
0,387281,11,386064,0
1,1887968,128,1886823,0
0,12258,153,11053,1
0,581117,205,580287,0
0,386514,171,385279,0
0,599280,204,598465,1
1,745129,159,744176,0
0,1422032,55,1421220,0
1,1921338,126,1920505,1
0,28969,25,28568,0
0,1173402,231,1172566,0
0,210588,243,209491,0
1,9998,76,9753,0
0,1049347,133,1048619,0
0,358168,102,357524,0
1,1247221,176,1246121,0
0,878597,141,877761,0
0,2004,95,790,1
0,1778534,130,1777443,0
0,1193619,232,1192936,0
0,18090,96,17131,0
0,2202990,64,2202343,1
0,65754,234,64810,1
1,29439,216,28678,0
0,975187,117,974237,1
0,1745136,190,1744339,0
0,19523,47,18321,1
1,25842,199,24370,0
0,1147481,173,1146423,1
0,226729,43,226322,1
0,10011,38,9199,1
0,983808,115,982858,1
0,914563,155,913814,0
0,400728,172,399566,0
0,979496,116,978543,1
1,493669,122,492404,1
1,41773,164,40529,1
0,1860,160,1114,1
0,19594,30,18863,1
0,1447013,54,1446237,1
0,31870,222,31118,0
0,531335,169,530982,1
0,462427,170,461594,0
0,1905082,67,1904309,1
0,1474427,53,1473666,0
0,1098330,233,1097515,0
1,41345,78,40839,0
0,18040,108,16886,0
0,1062126,197,1060936,0
0,705599,91,704769,0
0,77581,7,76523,1
0,837722,210,837087,0
0,39296,62,38151,0
0,272963,214,272211,0
1,12126,195,10861,1
0,2187940,182,2187290,1
0,1471918,179,1470884,0
1,11872,131,11348,0
0,1675,215,854,1
1,551759,87,550737,1
0,9906,4,8728,1
0,863354,140,862533,0
1,2556,167,1318,0
1,2049687,185,2048413,1
0,384191,37,383100,0
0,323886,158,323095,1
0,571633,48,570836,0
1,663114,17,662260,0
0,826530,13,825718,1
0,14090,63,12945,0
0,1229889,175,1228786,0
0,1218003,107,1217665,0
1,290434,80,289571,0
0,1022329,213,1021526,1
1,27009,45,25858,1
0,987733,114,987176,1
0,11743,225,10985,1
1,295086,100,293887,1
0,941707,6,940901,1
0,12102,221,11231,0
0,1588977,123,1588012,0
0,644758,119,643769,0
0,25566,226,24859,1
0,750678,154,750031,1
1,1790,8,1116,1
1,7239,180,5971,1
0,13009,152,11804,0
1,3587,161,2544,0
1,1152958,193,1151783,1
0,1694274,68,1693627,0
0,1863,103,1015,0
0,247509,144,246700,0
0,684782,57,683826,0
0,1070767,194,1069991,0
1,137805,157,136807,0
0,461022,201,460051,1
0,1577124,187,1576114,0
0,614,51,222,1
0,5008,9,4142,0
0,31139,61,29922,0
0,375903,35,374896,1
0,153559,235,152606,0
0,2029082,21,2027874,1
0,13418,150,12669,0
0,550504,49,549704,0
0,7162,224,6368,1
1,556235,168,555144,0
0,1148502,229,1147669,0
1,381597,15,380962,0
0,36628,46,35402,1
0,2155792,183,2155145,0
0,9178,74,8375,1
1,26635,162,25832,0
0,1648331,124,1647294,0
0,492438,202,491209,0
1,23852,33,23046,0
0,1522877,178,1521903,1
0,178084,111,176870,1
1,10709,219,9531,0
0,77977,41,77144,0
0,617253,207,616495,0
0,12388,136,11468,0
0,537352,88,536177,1
1,35179,44,34406,1
0,81801,40,80905,1
0,1912694,127,1911738,1
1,287088,99,285889,1
0,1165493,230,1164663,0
1,29968,163,28721,0
0,37518,31,36670,0
0,1783506,129,1782673,1
0,432927,247,431740,0
1,2102,112,1101,1
0,320234,146,319014,0
1,827468,209,826311,1
1,4723,24,4340,1
0,3769,1,3023,1
0,335,10,3,0
0,227094,20,226831,1
0,23810,60,22572,1
0,15379,220,14528,0
1,13592,101,12324,1
0,1989097,189,1988282,1
1,445921,19,445157,0
0,247162,12,246347,0
0,1018268,212,1017216,1
0,2879,134,2091,1
0,1338,196,835,1
0,19059,165,18244,0
0,2097143,188,2096334,1
0,2142542,184,2141583,0
0,392050,86,391007,0
1,55904,32,55386,1
0,1679298,71,1678525,0
1,17599,77,16553,0
0,255296,142,254511,0
0,305564,84,304740,0
0,486743,58,485586,0
0,277578,82,276769,0
0,822069,208,821287,0
1,177073,105,175745,0
0,265814,200,265029,1
1,5205,97,4201,1
0,992655,211,991897,1
0,297062,79,295851,0
0,18784,98,18002,0
0,26139,27,25351,1
0,422034,18,420934,0
0,907521,139,906301,0
0,23025,135,22318,0
0,2202884,181,2202237,1
0,17814,236,16873,1
0,1487286,177,1486264,1
0,16073,217,15330,1
0,61556,28,60249,0
0,313431,83,312547,0
0,285745,81,284939,0
0,970864,118,969914,1
0,1631767,70,1631120,0
1,6002,241,5043,0
0,1564778,72,1564014,1
0,643595,16,642765,1
0,407549,137,406749,1
0,251858,22,251211,0
1,15410,227,14340,1
0,18582,59,17713,0
0,231201,246,230431,0
0,2089274,125,2088630,1
0,9985,149,9303,0
0,1687805,69,1687044,0
1,11639,198,10170,0
0,1677,75,712,1
0,1153229,240,1151997,0
0,1221966,174,1220947,0
0,1604402,186,1603254,0
0,1075329,3,1075195,1
1,884301,138,883339,1
1,13960,14,13361,1
0,1106541,228,1105297,0
1,655,0,2,1
1,223492,245,222386,0
1,1592913,73,1591840,1
0,658646,90,657867,0
0,266241,143,265438,0
0,13082,113,12327,1
0,1207750,192,1206605,0
