Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,7608,41,41,1,6745,5,1
1,326018,102,102,1,323649,5,0
1,476915,37,37,1,476025,5,0
0,346408,205,205,0,346178,4,1
1,216862,124,124,1,214952,5,0
1,80177,230,230,1,78453,5,1
1,8014,84,84,1,5234,5,1
1,557,91,91,1,3,5,1
1,74182,14,14,1,73355,5,1
0,346850,204,204,0,346512,2,1
1,921959,64,64,1,919047,5,0
1,1129891,146,146,1,1128836,5,0
1,2216,40,40,1,1884,5,0
1,56787,222,222,1,55507,5,1
1,612,71,71,1,103,5,1
1,929,175,175,1,3,5,0
1,9109,153,153,1,6119,5,1
1,35665,151,151,1,33647,5,1
1,223303,156,156,1,221369,5,0
1,30441,196,196,1,27628,5,1
1,1839347,130,130,1,1836461,5,0
0,71748,32,32,0,71398,0,1
1,122795,35,35,1,121053,5,0
1,1121147,213,213,1,1120731,5,0
1,216652,229,229,1,216302,5,1
1,53404,239,239,1,53066,5,1
1,20561,119,119,1,20007,5,1
1,215357,61,61,1,214062,5,1
1,543960,136,136,1,542011,5,0
1,23503,234,234,1,21764,5,1
1,57738,223,223,1,56893,5,1
1,857583,109,109,1,854629,5,0
1,615828,187,187,1,612868,5,0
1,3521,176,176,1,564,5,0
1,640889,122,122,1,638082,5,0
1,119855,182,182,1,118959,5,1
1,351059,63,63,1,348930,5,0
1,4441,70,70,1,1115,5,1
0,218,155,155,0,3,1,0
1,578507,188,188,1,577500,5,0
1,835,4,4,1,1,5,0
1,12423,126,126,1,10753,5,1
1,100170,26,26,1,98553,5,1
1,76293,27,27,1,74227,5,1
1,17384,123,123,1,15111,5,1
1,395,201,201,1,3,5,1
0,1415811,19,19,0,1415230,1,0
1,229154,238,238,1,227562,5,0
1,64517,121,121,1,64071,5,1
1,10942,200,200,1,10619,5,1
1,45868,112,112,1,44981,5,1
1,10805,106,106,1,10074,5,0
1,706956,36,36,1,704473,5,0
0,4265,65,65,0,3411,2,0
1,8105,58,58,1,5802,5,1
1,1034156,74,74,1,1031220,5,0
0,157631,185,185,0,157230,2,0
1,7838,214,214,1,7741,5,1
1,794,8,8,1,3,5,0
0,1231,13,13,0,899,1,1
1,51751,107,107,1,49106,5,0
1,2332647,199,199,1,2330257,5,0
1,114401,62,62,1,112584,5,1
1,41471,157,157,1,39177,5,1
1,1399795,23,23,1,1397420,5,0
1,6985,82,82,1,4031,5,1
1,46358,92,92,1,44298,5,1
1,1122061,145,145,1,1121249,5,0
1,535,6,6,1,1,5,0
1,11717,177,177,1,11061,5,0
1,629366,208,208,1,627348,5,0
1,34648,29,29,1,31775,5,1
1,56420,158,158,1,55923,5,1
1,42976,227,227,1,42014,5,1
1,2400,167,167,1,211,5,0
1,3058,138,138,1,647,5,0
1,33980,165,165,1,31590,5,1
1,358301,173,173,1,355485,5,0
0,202126,77,77,0,201683,2,0
1,83691,197,197,1,83233,5,1
1,33312,80,80,1,32212,5,1
1,1050263,159,159,1,1049748,5,0
