Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,13580138,100,2,0,13578653,1
0,10815148,84,2,0,10814110,1
0,6955492,54,1,0,6953756,0
0,8380600,65,2,0,8379902,1
0,9240256,75,5,0,9238329,1
0,9377132,78,5,0,9376461,0
0,3221626,27,5,0,3220494,0
0,2102690,15,11,0,2100093,1
0,20867515,143,1,0,20866022,0
0,12246771,92,2,0,12245099,0
0,2680808,19,16,0,2679423,0
0,1401408,10,1,0,1400647,0
0,20915947,144,1,0,20914958,1
0,9200825,74,5,0,9199485,1
1,6638754,53,4,1,6637225,0
0,6441604,52,2,0,6440312,0
0,15741,0,18,0,14537,1
0,18735986,133,15,0,18734498,0
0,5430215,43,23,0,5429553,0
0,9310089,76,2,0,9309220,0
1,17401205,123,13,1,17399302,1
0,23649517,155,2,0,23648664,1
0,6362947,51,5,0,6361372,1
0,12849258,96,2,0,12848426,1
1,20479303,141,6,1,20477665,0
0,2737107,20,5,0,2736457,1
0,981427,6,5,0,980799,0
1,3054496,24,4,1,3053067,0
0,2642795,18,16,0,2641014,0
0,3511059,31,5,0,3509868,0
0,14451589,108,1,0,14449142,0
0,23514561,154,1,0,23513521,1
0,15398283,113,1,0,15396637,1
0,4838125,39,9,0,4836803,0
0,12488986,93,2,0,12486822,1
0,18766836,134,2,0,18765534,1
0,7567593,59,1,0,7566580,1
0,3453161,30,1,0,3451287,0
0,18932862,135,2,0,18931125,0
0,7857029,61,1,0,7856016,1
0,13391838,99,5,0,13390600,1
0,2579015,16,11,0,2576673,0
0,14931220,111,1,0,14928527,0
0,11473094,86,1,0,11472201,1
0,13980614,105,2,0,13979644,1
0,34835,165,19,0,33567,1
0,7776355,60,1,0,7775540,1
1,4299137,34,4,1,4297472,1
0,13813861,101,1,0,13812362,0
0,11600931,88,2,0,11599714,1
0,8750931,70,1,0,8750116,0
1,8422594,66,3,1,8420066,0
0,14939089,112,5,0,14937890,0
0,3097194,25,1,0,3096508,0
0,12567288,94,2,0,12566661,1
0,6016720,47,2,0,6015477,1
0,1662089,13,5,0,1659698,1
0,14766244,110,20,0,14765282,0
0,11497432,87,2,0,11496159,0
0,2912105,22,1,0,2911437,1
0,938369,5,2,0,937674,0
0,24218799,160,1,0,24217882,0
0,18449802,131,2,0,18448896,0
0,421354,1,11,0,418907,0
0,2597044,17,14,0,2596686,1
0,22586503,151,8,0,22583996,1
0,23902858,158,2,0,23901544,1
0,15431493,114,10,0,15429022,1
0,42748,167,14,0,41047,1
0,2862968,21,5,0,2861630,1
0,12160930,91,8,0,12160046,1
0,16835079,119,22,0,16833925,1
0,23866829,157,2,0,23865703,1
0,16416071,118,21,0,16413631,1
0,11654127,89,8,0,11653435,1
1,563875,4,6,1,561461,0
0,6088421,48,1,0,6085950,0
0,13282465,98,25,0,13280789,0
0,16920482,120,18,0,16919435,1
0,19133424,137,1,0,19132048,1
0,6835,163,14,0,4667,1
0,21703774,148,2,0,21701900,0
0,17627223,126,2,0,17625592,1
0,6956172,55,2,0,6955569,0
0,18038313,128,2,0,18037247,1
0,6283351,50,2,0,6282458,0
0,4102721,33,12,0,4101290,1
0,14479105,109,2,0,14478302,0
0,3312359,29,1,0,3311109,1
0,13013122,97,1,0,13011857,0
0,2003214,14,5,0,2002366,0
0,17542792,124,2,0,17541345,0
0,17122877,121,5,0,17120601,1
0,8297673,63,2,0,8296462,1
0,3235158,28,2,0,3233849,1
0,20286216,139,5,0,20285100,1
0,4365383,35,23,0,4363173,1
1,9136441,73,13,1,9134295,0
0,17643761,127,2,0,17642746,0
1,3802426,32,13,1,3800009,0
1,15463044,115,0,1,15461240,1
1,40361,166,17,1,37650,1
0,10601584,81,2,0,10600723,1
0,5210452,41,24,0,5209340,1
0,14201412,106,22,0,14200354,1
0,21840929,149,1,0,21839502,1
0,18150907,129,5,0,18149782,1
0,23311866,153,2,0,23310921,0
0,4622430,37,23,0,4620634,1
0,8068432,62,2,0,8066724,0
0,3049161,23,24,0,3048399,0
0,424362,2,22,0,423166,0
0,11412405,85,2,0,11411355,0
1,8836279,71,7,1,8834339,1
0,8377941,64,2,0,8377093,1
0,21107478,146,2,0,21106076,0
0,22342311,150,1,0,22341328,1
1,8706530,69,3,1,8704372,0
0,448516,3,16,0,445739,0
0,1005104,7,2,0,1003707,1
0,5764705,46,2,0,5763288,1
0,20600592,142,1,0,20599396,0
