Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,12909,144,144,10807
0,6110,100,101,3849
0,457048,90,91,454787
0,478833,231,231,476677
0,16869,154,154,14662
1,4025,165,165,1761
1,20192,203,203,18165
1,3770,51,52,732
1,828777,109,110,827212
1,9061,56,57,6806
0,2776,157,157,509
1,211189,118,118,209180
1,7765,29,30,5519
1,3747,24,25,1363
0,555948,171,171,553549
0,487264,95,96,485114
0,763294,176,176,761027
0,1178466,117,117,1176085
1,53359,116,116,52601
1,96434,222,222,94266
1,45480,197,197,43330
0,609383,79,80,607077
0,5633,12,13,4134
0,813661,182,182,811541
0,243718,97,98,243449
0,480713,37,38,478230
1,114439,8,9,112868
0,14957,64,65,12933
0,356577,107,108,354673
0,371476,172,172,369323
1,50723,122,122,48507
0,562476,173,173,560179
1,56175,85,86,53914
1,1621,65,66,2
1,4679,115,115,2307
1,11646,125,125,9286
0,45278,101,102,42840
1,47037,178,178,44773
0,487691,30,31,485538
0,477337,10,11,476408
1,828692,195,195,827244
0,909033,32,33,906619
0,1062,3,4,1
1,15153,209,209,12949
1,81519,11,12,79698
1,65232,218,218,62692
0,710857,49,50,709519
1,76316,28,29,74154
0,799420,225,225,796943
1,7491,128,128,5182
1,2056,50,51,2
0,4947,45,46,2638
1,441740,93,94,439797
0,2326647,17,18,2325364
0,777368,224,224,775140
1,51771,234,234,49540
1,59089,40,41,56687
0,552888,219,219,550654
1,79561,119,119,77369
0,1451239,130,130,1449053
0,1009290,44,45,1006993
1,170211,124,124,168412
1,4516,54,55,3179
0,611448,112,112,610807
1,5046,159,159,2860
0,1375691,121,121,1373202
1,27070,142,142,24536
1,224206,202,202,222371
0,689616,82,83,687517
1,372955,230,230,370655
0,1204656,198,198,1202680
1,11060,143,143,8994
1,2096,147,147,747
0,1138,5,6,2
1,8253,103,104,6340
0,1189025,189,189,1186812
0,496899,102,103,495853
1,1474,16,17,101
0,1039862,77,78,1037046
1,20107,69,70,17801
1,14203,58,59,11819
1,391932,7,8,389746
0,3932,162,162,1401
0,915393,63,64,914149
0,682195,70,71,679628
0,394758,20,21,393970
0,580782,169,169,579763
1,4883,41,42,2628
1,519612,205,205,517492
0,2976,164,164,781
0,1159648,145,145,1157084
1,7454,53,54,5259
1,654471,76,77,652312
0,2907,35,36,667
1,27924,6,7,26149
1,1705791,89,90,1703299
1,3230,129,129,921
0,2152,9,10,38
0,507624,192,192,505363
0,459000,174,174,456733
0,123424,232,232,121439
0,805063,180,180,803291
1,3147,42,43,535
0,7548,55,56,5362
0,11573,110,111,9210
1,369509,62,63,367296
0,707127,48,49,704929
1,351915,201,201,350539
1,6111,23,24,4843
1,299939,227,227,297915
1,464804,166,166,462621
1,1036,14,15,2
0,763015,83,84,760970
0,547726,136,136,545198
0,19404,200,200,17227
1,53099,223,223,50910
1,2191081,88,89,2188577
0,52834,184,184,50840
1,13918,123,123,11750
1,18062,135,135,16122
0,436942,177,177,434816
1,34512,91,92,32440
0,5683,57,58,3845
0,1835456,208,208,1833030
0,731499,31,32,729406
0,482055,113,113,479794
0,560608,181,181,558551
1,92121,141,141,90979
1,7735,186,186,5258
0,2352753,132,132,2351474
0,5117,217,217,2943
1,120751,187,187,119534
0,9642,214,214,7252
0,28514,111,0,26043
1,1699,86,87,101
0,3774,18,19,1570
0,468090,39,40,465892
1,3637,163,163,1680
0,619207,206,206,617003
0,369971,61,62,367785
1,10067,27,28,8418
0,1108,161,161,1
0,3468,71,72,1171
0,1009265,78,79,1006986
0,609450,134,134,607396
1,28523,81,82,26538
1,2650,25,26,386
1,6868,185,185,4559
1,50074,190,190,47909
0,669243,188,188,667156
1,17178,108,109,14941
1,4593,1,2,2230
1,2335,170,170,101
1,798,167,167,1
0,1167843,146,146,1165567
1,140815,228,228,140096
1,18493,46,47,16673
1,5471,139,139,3207
1,5333,21,22,3093
1,59387,94,95,57738
0,477141,199,199,476586
0,5583,99,100,3223
1,40877,204,204,40377
0,175988,212,212,173664
0,180595,120,120,178343
0,827,13,14,3
1,122003,229,229,119982
1,16433,194,194,14709
1,35613,196,196,33460
0,16106,74,75,14127
0,194620,126,126,192110
1,85349,66,67,84366
1,303473,216,216,301437
0,703891,73,74,701787
0,7225,106,107,4853
1,3201,60,61,2560
1,17152,138,138,14774
1,43304,158,158,40902
1,52112,104,105,49749
1,316113,226,226,313945
1,3704,22,23,1446
1,12933,114,114,10912
1,60946,148,148,58898
0,1287,19,20,1
1,3133,52,53,824
0,23314,236,236,21104
1,18709,34,35,16532
0,399311,92,93,397290
1,66424,233,233,64094
0,469090,33,34,466913
1,4184,235,235,1923
0,754574,175,175,752403
0,646569,183,183,644707
0,480279,207,207,478171
0,636865,80,81,634829
0,377705,98,99,375522
0,400277,26,27,398004
0,703107,150,150,702547
0,411395,36,37,410220
1,5540,43,44,3963
0,526037,38,39,525222
1,115059,160,160,112891
1,28472,221,221,26358
1,3258,211,211,754
0,961848,156,156,959689
1,16197,179,179,13717
1,1669,47,48,2
1,113111,168,168,111105
1,81116,4,5,80040
1,27218,68,69,24993
0,2152465,191,191,2150273
0,5726,0,1,3723
1,1909430,131,131,1907460
0,1835184,67,68,1832923
1,67187,210,210,64983
1,315631,215,215,313523
1,6765,193,193,4204
1,1518,59,60,1
0,477984,153,153,475453
1,19107,105,106,16912
1,2336,151,151,3
0,468765,84,85,466540
1,4334,96,97,1968
1,71096,140,140,68619
0,909502,75,76,907241
0,1116077,155,155,1113876
1,62927,152,152,60651
1,57522,127,127,55348
0,1333,15,16,3
0,811009,213,213,808763
0,1475,2,3,3
0,471716,220,220,470270
0,2123600,87,88,2121408
1,4215,72,73,1969
0,252998,133,133,250869
1,6479,137,137,5838
1,68193,149,149,66007
