Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,3818,117,117,2061
0,497232,49,49,497002
0,1220025,97,97,1218841
0,2356,7,7,188
1,553680,111,111,551527
0,17469,86,86,15220
0,551749,31,31,551012
1,160581,125,125,159610
1,2942,33,33,882
0,802663,58,58,801878
1,501852,59,59,499696
1,1105132,106,106,1103840
1,590889,95,95,588715
0,2355697,99,99,2354525
1,5081,19,19,2874
0,2356776,6,6,2355799
0,1431,21,21,1
0,1193345,105,105,1191366
0,195717,5,5,194815
1,395040,110,110,392911
0,1058918,108,108,1056777
1,114991,84,84,114542
1,161676,77,77,160684
0,2832,52,52,619
1,26356,41,41,24182
1,603844,96,96,602780
1,18169,8,8,16115
0,508321,32,32,506186
1,29015,27,27,27780
0,646319,102,102,643902
1,346367,40,40,344166
0,2001346,64,64,1998842
0,705460,50,50,703286
0,203063,80,80,200871
1,9199,104,104,7001
1,80858,14,14,80019
0,53186,22,22,51024
1,18788,25,25,16752
1,5374,107,107,4073
0,305003,100,100,302736
0,194168,88,88,192141
1,605835,113,113,604711
1,302402,43,43,301785
1,628874,56,56,628374
1,1560715,16,16,1558235
1,141673,126,126,140918
1,38921,60,60,36609
1,352533,109,109,352018
0,879776,20,20,877512
1,229342,92,92,227192
1,6731,34,34,4560
1,628270,36,36,627785
0,875271,70,70,874933
1,53693,57,57,52560
1,1092022,122,122,1090076
0,122127,119,119,120202
1,32651,26,26,31587
0,573072,93,93,571858
0,10034,9,9,9492
1,64228,74,74,62066
1,238993,66,66,236726
0,479217,78,78,477172
0,606833,35,35,604902
1,356850,23,23,356083
0,6331,18,18,3935
1,69895,4,4,67685
1,27802,123,123,25553
1,521,0,0,3
0,149082,120,120,147823
0,551317,82,82,549344
1,85717,38,38,84713
0,12912,3,3,12295
1,116089,75,75,115388
0,5373,103,103,3175
0,399746,91,91,397836
0,551038,37,37,548948
1,258202,87,87,255983
1,7513,2,2,7115
0,522056,129,129,520707
0,560632,53,53,560198
1,8796,42,42,6766
0,242101,44,44,241769
0,742170,79,79,739927
0,13846,12,12,12761
1,886828,76,76,884852
0,656983,69,69,654773
1,29812,132,132,28472
0,24063,89,89,21859
1,569,73,73,3
0,510087,17,17,508918
1,20468,94,94,18309
0,47761,116,116,45575
1,2179419,98,98,2176948
0,143770,130,130,141896
0,395811,47,47,393328
1,17708,29,29,16425
1,107570,30,30,105642
1,216636,67,67,214564
1,5239,48,48,3059
1,2117,24,24,3
1,45873,85,85,43711
0,843337,63,63,841178
0,630544,13,13,630077
1,61722,124,124,61057
0,414917,90,90,412986
1,9794,121,121,7884
0,630340,39,39,629867
0,576256,1,1,575726
1,8315,11,11,7779
0,640806,112,112,638620
0,808511,72,72,806334
1,45587,118,118,43530
1,7341,15,15,5542
1,591642,55,55,591283
0,28251,115,115,27310
1,15656,46,46,13635
0,495949,81,81,493973
0,2323,65,65,1850
0,12118,51,51,9896
0,2747,83,83,2046
0,1428134,62,62,1426182
0,2001160,71,71,1999253
1,967593,54,54,965515
0,1157244,28,28,1157023
1,292285,128,128,290090
1,131468,101,101,129252
0,429,127,127,1
0,461012,68,68,460530
0,804175,45,45,801998
0,1718373,10,10,1716442
0,111044,131,131,109113
0,853635,114,114,852247
1,1375094,61,61,1372983
