EventsParticipated,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
24,16,,29474.0,7,20,,215760.0,10,3,638202.0,,48,8,29,16,7,149604.0,92666.0,184.0
6,26,46958.0,13863.0,0,31,,140739.0,19,26,58761.0,72.0,17,16,30,26,17,38022.0,2982.0,184.0
5,38,,,0,2,,,19,31,,,50,21,30,27,32,,,
31,37,62142.0,22703.0,26,46,5158.0,164943.0,18,14,88833.0,72.0,36,7,30,29,31,77956.0,20448.0,177.0
18,6,,,0,7,,,19,31,,,50,21,30,27,32,,,
30,52,30398.0,9794.0,0,17,37720.0,140493.0,30,30,62315.0,63.0,16,9,30,36,5,43241.0,2277.0,175.0
18,6,,,0,7,,,19,31,,,50,21,30,27,32,,,
20,48,52044.0,20798.0,22,41,9184.0,132438.0,14,4,86938.0,70.0,34,15,26,34,27,71789.0,16643.0,183.0
7,13,8760.0,4179.0,21,14,42225.0,140749.0,12,38,32691.0,78.0,15,5,9,20,4,19407.0,406.0,181.0
25,9,,,0,16,,,19,31,,,50,21,30,27,32,,,
30,1,7764.0,1237.0,11,24,41367.0,140800.0,34,19,29164.0,70.0,8,28,8,19,11,10911.0,706.0,183.0
25,38,,,0,0,,,19,31,,,50,21,30,27,32,,,
25,15,92428.0,32221.0,12,19,,238711.0,2,21,490235.0,,49,19,30,46,6,130986.0,113439.0,182.0
24,27,47965.0,17988.0,23,65,,138125.0,19,46,70962.0,74.0,33,22,30,23,44,64279.0,8377.0,1.85
14,44,56041.0,20719.0,32,52,127549.0,174582.0,41,40,88889.0,65.0,19,30,22,32,37,72449.0,18655.0,177.0
1,56,6263.0,45.0,31,51,247878.0,140855.0,21,43,24166.0,70.0,4,5,1,15,36,4177.0,174.0,179.0
19,8,,,0,63,975574.0,,24,31,,,50,21,30,27,32,,,
11,22,65688.0,24926.0,14,27,465450.0,198937.0,5,48,95844.0,60.0,42,10,30,3,13,100412.0,58275.0,175.0
24,33,58428.0,21992.0,28,38,23650.0,168776.0,13,41,86895.0,,39,23,30,28,24,77835.0,16793.0,179.0
