host_country,pro_cycling_stats_race_id,start_location,official_website,end_location,general_classification_winner,edition_number
1,210024.0,1,8,4,1,106.0
1,247301.0,6,0,4,4,107.0
1,171088.0,2,4,4,0,104.0
4,173152.0,4,1,1,6,30.0
1,124228.0,5,3,4,5,101.0
1,171088.0,2,4,4,0,104.0
2,164399.0,9,6,0,3,40.0
0,,7,0,3,3,
4,173152.0,4,1,1,6,30.0
3,164129.0,3,5,2,3,21.0
2,139069.0,0,7,5,2,97.0
1,210024.0,1,8,4,1,106.0
4,171127.0,8,2,1,0,72.0
1,,7,8,3,3,
1,247301.0,6,0,4,4,107.0
2,139069.0,0,7,5,2,97.0
1,210024.0,1,8,4,1,106.0
0,,7,0,3,3,
4,171127.0,8,2,1,0,72.0
0,,7,0,3,3,
4,171127.0,8,2,1,0,72.0
