Sport_Type,Host_Country,Previous_Event,Official_Website,Edition_Number,Next_Event
1,3,5,0,65.0,5
1,4,0,0,,32
1,1,32,0,,34
1,1,8,0,111.0,35
1,4,32,0,,0
1,3,6,10,22.0,33
1,1,26,22,115.0,26
1,0,28,20,77.0,29
1,1,29,21,119.0,30
1,0,11,5,58.0,13
1,1,13,1,60.0,15
1,2,12,6,57.0,14
1,0,9,3,31.0,11
1,3,20,7,68.0,21
1,3,31,9,24.0,34
0,3,1,0,61.0,1
1,1,24,11,19.0,24
1,6,19,0,,10
1,5,17,0,11.0,34
1,0,7,13,7.0,6
1,4,18,23,79.0,20
1,7,32,0,,9
1,7,21,2,29.0,22
1,3,2,0,64.0,2
1,1,10,4,61.0,12
1,8,3,0,53.0,3
1,5,27,14,58.0,27
1,7,22,2,29.0,28
1,9,32,0,,8
1,2,23,17,60.0,23
1,1,32,15,,7
1,8,15,18,55.0,16
1,4,33,0,,36
1,0,30,16,77.0,31
1,4,34,0,,34
1,0,4,0,30.0,4
1,0,25,12,53.0,25
1,1,14,19,53.0,17
1,1,16,8,43.0,18
1,3,32,0,,19
