SportType,CommonsCategory,FirstName,FirstCyclingRiderId,CqRankingMaleCyclistId,ProfileImage,HeightCm,Languages,ProCyclingStatsCyclistId,BirthDate,UciRiderId,Nationality,CycleBaseCyclistId,EventsParticipated,WeightKg,CyclingArchivesCyclistId,SocialMediaFollowers,OlympediaPeopleId,BirthPlace
0,8,8,45992,26526.0,1,176.0,4,194619,7,149727,5,69634.0,5,66.0,115790,5000.0,6,6
0,0,0,58275,24926.0,2,175.0,5,198937,6,95844,2,65688.0,0,60.0,100412,465450.0,7,9
1,7,7,6242,17893.0,0,172.0,1,134456,1,553301,7,49682.0,8,58.0,65130,39580.0,5,3
0,2,2,10303,16707.0,3,183.0,2,134924,0,62712,4,46909.0,9,65.0,56765,57772.0,1,8
0,3,3,159196,,9,167.0,3,262660,9,736811,3,,7,,171102,,7,4
0,5,5,35077,23334.0,4,170.0,5,185156,2,97634,2,61866.0,1,65.0,100717,160840.0,0,7
0,4,4,37445,25289.0,5,,3,176318,5,94975,0,66386.0,3,,98891,1326.0,2,1
0,6,6,84019,28377.0,6,171.0,3,212377,8,587366,1,83295.0,6,62.0,141854,84000.0,3,0
0,9,9,16786,21244.0,8,190.0,3,153344,3,77502,1,57346.0,2,72.0,59352,17154.0,4,5
0,1,1,1527,22794.0,7,177.0,0,168760,4,86857,6,60759.0,4,61.0,81087,37069.0,7,2
