SportType,CommonsCategory,FirstName,FirstCyclingRiderId,CqRankingMaleCyclistId,ProfileImage,HeightCm,Languages,ProCyclingStatsCyclistId,BirthDate,UciRiderId,Nationality,CycleBaseCyclistId,EventsParticipated,WeightKg,CyclingArchivesCyclistId,SocialMediaFollowers,OlympediaPeopleId,BirthPlace
2,30,15,,,19,,6,,19,,7,,20,,,,10,12
0,8,1,2337.0,16653.0,9,181.0,4,140818.0,10,64670.0,3,43344.0,0,78.0,52068.0,63128.0,2,2
2,2,15,,,17,,6,,19,,7,,5,,,,10,12
0,24,14,2278.0,14319.0,16,173.0,0,140293.0,7,68367.0,9,43388.0,22,63.0,58588.0,67673.0,10,10
1,20,11,12474.0,18610.0,0,173.0,4,137427.0,11,71557.0,3,46381.0,8,62.0,63999.0,77168.0,6,16
2,28,15,,,17,,6,,19,,7,,14,,,212924.0,10,12
2,13,15,,,17,,6,,19,,7,,17,,,364692.0,10,12
2,17,8,2982.0,13863.0,14,184.0,5,140739.0,6,58761.0,4,46958.0,1,72.0,38022.0,,10,8
3,19,10,10916.0,24720.0,15,1.71,6,185273.0,15,90375.0,2,57262.0,10,69.0,67001.0,21652.0,10,14
2,1,15,,,17,,6,,19,,7,,3,,,,10,12
2,26,17,147.0,2437.0,24,176.0,7,140630.0,3,30369.0,8,15225.0,21,68.0,13510.0,,1,17
2,5,15,,,17,,6,,19,,7,,17,,,120359.0,10,12
2,27,18,730.0,4443.0,20,178.0,6,140517.0,4,44439.0,6,8783.0,4,64.0,19060.0,77385.0,8,13
0,29,19,2324.0,16677.0,11,185.0,6,140118.0,9,73892.0,6,44733.0,6,69.0,64982.0,213342.0,9,7
2,6,0,38.0,5.0,2,177.0,6,140924.0,0,14575.0,9,16289.0,21,61.0,7005.0,470645.0,0,9
2,7,15,,,17,,6,,19,,7,,12,,,,10,12
2,14,5,58275.0,24926.0,12,175.0,8,198937.0,18,95844.0,2,65688.0,7,60.0,100412.0,465450.0,10,19
2,12,4,713.0,5789.0,10,186.0,5,140869.0,2,43936.0,5,22663.0,2,69.0,22017.0,1529344.0,4,11
2,4,15,,,23,,6,,19,,7,,16,,,120333.0,10,12
2,10,15,,,5,,6,,19,,7,,18,,,,10,12
2,18,9,150.0,3333.0,13,181.0,2,140752.0,1,44513.0,1,16313.0,22,74.0,18746.0,134950.0,3,6
2,0,15,,,17,,6,,19,,7,,18,,,,10,12
2,9,2,27301.0,24110.0,8,184.0,4,181212.0,17,250807.0,3,62259.0,17,,94988.0,1447.0,10,0
2,21,15,,,4,,6,,19,,7,,16,,,180582.0,10,12
0,11,3,3224.0,7530.0,6,170.0,5,140231.0,5,46940.0,4,22932.0,21,63.0,37173.0,6335.0,10,15
2,15,6,1527.0,22794.0,22,177.0,1,168760.0,16,86857.0,9,60759.0,15,61.0,81087.0,37069.0,10,1
3,16,7,18575.0,20777.0,3,180.0,8,179769.0,14,86568.0,2,56070.0,9,71.0,79781.0,203494.0,5,5
2,22,12,25726.0,23299.0,21,186.0,1,164709.0,13,89223.0,9,61775.0,11,68.0,72207.0,23252.0,10,18
2,23,13,2211.0,13066.0,18,178.0,3,140384.0,8,62919.0,0,38259.0,19,72.0,39964.0,26443.0,10,3
3,25,16,,20678.0,7,1.81,3,132382.0,12,72234.0,10,56664.0,23,73.0,66001.0,20194.0,7,4
2,3,15,,,1,,6,,19,,7,,13,,,,10,12
2,0,15,,,17,,6,,19,,7,,20,,,,10,12
