Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Gene_Category,Strand_Orientation
1,0,1160395,346,3,1159709,1,0
1,0,18293,403,3,17649,1,0
0,0,7200,132,4,6637,0,0
0,0,55025,358,4,54438,0,0
0,0,1464254,86,4,1463646,0,0
0,0,494817,200,4,494134,0,1
0,0,2016292,328,4,2015537,0,0
0,0,9057,387,4,8128,0,0
0,0,4555,130,4,3962,0,0
0,0,683253,96,4,682675,0,0
1,0,844685,367,3,844098,1,0
1,0,112468,400,1,111971,1,0
0,0,4870,339,4,4217,0,0
0,0,2682,262,4,1954,0,0
0,0,163066,7,4,162521,0,1
0,0,1955674,331,4,1955171,0,0
0,0,756041,97,4,755460,0,1
0,0,1368555,308,4,1367977,0,1
0,0,1487064,90,4,1486369,0,1
1,0,44362,299,3,43754,1,1
0,0,265007,256,4,264339,0,0
0,0,128464,415,2,128075,0,0
0,0,1921473,106,4,1920904,0,1
0,0,458814,351,4,458125,0,0
0,0,316703,370,4,316059,0,0
0,0,548591,223,2,548190,0,0
0,0,1604078,114,4,1603452,0,0
0,0,85370,59,4,84681,0,0
0,0,17407,259,4,16820,0,0
0,0,1033564,296,4,1032920,0,0
1,0,1738968,26,3,1738420,1,0
0,0,6677,378,4,6162,0,1
0,0,278070,219,4,277438,0,1
0,0,1731530,335,4,1730895,0,0
0,0,477620,203,4,476973,0,0
0,0,567879,380,2,567310,0,0
0,0,10321,124,4,9749,0,0
0,0,1686468,110,4,1685914,0,0
0,0,7629,227,4,6979,0,0
0,0,1645,355,4,1004,0,0
0,0,376974,53,4,376393,0,1
1,0,807869,23,3,807330,1,1
0,0,426818,134,4,426186,0,1
0,0,39701,50,4,39237,0,1
0,0,307213,257,4,306524,0,0
0,0,782,44,4,129,0,1
0,0,1132814,316,4,1132212,0,1
0,0,36247,70,4,35642,0,1
0,0,170789,66,4,170208,0,1
0,0,717564,268,4,716974,0,1
0,0,1637787,112,4,1637185,0,1
0,0,487905,167,4,487330,0,0
1,0,628319,181,3,627354,1,1
0,0,1932015,105,4,1931470,0,0
0,0,2027,38,4,1341,0,0
0,0,1743790,334,4,1743146,0,0
0,0,515441,204,4,514617,0,0
0,0,1118634,318,4,1117975,0,1
1,0,347837,17,3,347313,1,0
0,0,250738,322,4,250097,0,0
0,0,1579,2,4,1004,0,1
0,0,570400,74,4,569783,0,0
0,0,552848,142,4,552180,0,1
0,0,52129,263,4,51491,0,0
1,0,19103,379,3,18480,1,1
0,0,4829,255,4,4128,0,0
0,0,603114,236,4,602248,0,1
0,0,436400,11,4,435816,0,0
0,0,1148872,409,4,1148204,0,0
0,0,339516,222,4,338926,0,0
0,0,1581481,212,4,1580900,0,1
0,0,1081012,405,4,1080440,0,1
0,0,15668,343,4,15015,0,0
0,0,6518,302,4,5874,0,1
0,0,33001,18,4,32291,0,1
1,0,504309,427,3,503911,1,1
0,0,668902,146,4,668282,0,1
0,0,1995197,214,4,1994529,0,0
