SportType,HostCountry,RaceDescription,EditionNumber,StartLocation,RaceName,EndLocation,RaceWinner,UciTour
1,3,1,46,6,8,6,2,2
1,0,1,75,17,15,16,14,4
1,4,1,6,10,13,10,5,6
0,0,1,36,10,1,10,14,6
1,0,1,66,11,20,7,4,5
1,2,1,73,4,3,3,13,0
1,0,1,93,1,7,0,1,2
1,2,1,59,10,2,10,12,0
1,3,1,22,15,25,15,15,1
1,2,1,79,4,19,3,6,5
1,4,3,1,10,5,10,11,6
1,0,2,61,5,10,5,17,6
1,0,4,90,0,0,13,13,6
1,2,1,58,10,24,10,16,6
1,0,1,85,0,18,10,0,4
1,0,2,67,9,9,9,8,6
1,0,1,82,10,6,10,8,1
1,0,1,66,7,16,8,14,4
1,0,0,47,8,21,14,0,5
1,2,1,90,14,17,1,3,4
1,2,4,85,14,4,1,13,0
1,0,2,83,3,22,2,14,6
1,1,1,1,16,23,10,10,6
1,0,1,44,13,14,4,7,4
1,2,1,30,2,11,12,9,3
1,0,2,54,12,12,11,14,6
