Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,674303,17,3,1,673725,0
1,947466,43,6,1,947014,1
1,587573,71,3,1,586902,0
1,478865,38,3,1,478194,1
1,1661430,19,1,1,1660327,1
1,9043,55,3,1,8369,0
1,430900,26,3,1,430274,0
1,1573901,39,1,1,1573260,1
1,37689,22,3,1,37021,0
1,4852,24,3,1,4175,1
0,546401,87,4,0,545733,1
1,1104782,82,3,1,1104102,0
1,670988,34,3,1,670362,1
0,1346554,52,4,0,1345826,1
1,1154177,66,1,1,1153497,1
1,1507852,60,1,1,1507205,1
0,226568,59,4,0,225903,0
1,1732531,56,3,1,1731896,0
1,2154696,62,3,1,2154196,0
1,1153891,11,3,1,1153361,0
1,1164151,79,3,1,1163459,0
1,136301,83,3,1,135930,0
1,23414,74,3,1,22770,1
1,1142124,78,3,1,1141357,0
1,1170502,53,3,1,1169873,0
0,388745,85,4,0,388080,1
1,1565614,1,3,1,1565111,1
1,743660,16,3,1,742947,1
1,40393,25,3,1,39713,0
1,1064488,67,3,1,1063814,0
1,475933,69,1,1,475256,0
1,17347,20,3,1,16595,0
1,16318,35,3,1,15653,0
1,905931,42,3,1,905182,0
1,509037,86,3,1,508240,0
1,28212,64,3,1,27637,0
1,1702393,5,3,1,1701380,1
1,472195,49,3,1,471323,1
1,10697,76,3,1,10023,0
1,829209,72,1,1,828511,0
1,590414,57,3,1,589821,1
1,211568,30,3,1,210975,0
1,179239,37,3,1,178622,1
1,17274,13,1,1,16765,1
0,487905,32,4,0,487330,0
1,18257,75,1,1,17595,1
1,7133,45,1,1,6462,0
1,17466,31,3,1,16792,0
1,624606,15,3,1,623983,0
0,1721960,41,4,0,1721430,0
1,7796,50,3,1,7137,0
1,1654501,40,1,1,1653854,1
1,1832,12,1,1,1149,1
1,2105453,23,3,1,2104848,1
1,11162,77,3,1,10509,0
1,20358,63,3,1,19783,1
1,1548861,61,3,1,1548016,1
1,974933,46,3,1,974307,0
1,1690792,4,3,1,1690151,1
1,9429,44,3,1,8836,0
1,840636,6,3,1,840031,1
1,755,54,3,1,93,0
1,1091842,80,3,1,1091081,0
1,4297,73,3,1,3704,1
1,989314,47,1,1,988862,0
1,381646,9,3,1,381053,0
1,5579,84,3,1,4953,1
1,1192387,81,3,1,1191707,0
1,405260,3,3,1,404595,0
1,25270,48,3,1,24593,0
1,468982,18,3,1,468374,0
0,1728460,2,2,0,1728161,0
1,570089,27,3,1,569511,0
1,524975,58,3,1,524382,1
1,738855,28,3,1,738181,0
1,4340,21,3,1,3579,0
1,5600,51,0,1,4947,1
1,2529,29,5,1,1873,1
1,3403,14,1,1,2810,0
1,71817,10,1,1,71311,0
1,1266,0,3,1,595,0
1,490761,70,3,1,490084,0
1,1682099,8,3,1,1681482,0
1,7594,7,3,1,6935,1
1,605502,68,3,1,604933,1
1,4574,33,1,1,3870,0
1,1728056,36,1,1,1727928,0
1,68829,65,3,1,68515,1
