profession,commons_category,first_name,first_cycling_rider_id,representing_country,freebase_id,cq_ranking_male_cyclist_id,profile_image,cycling_discipline,height_cm,memoire_du_cyclisme_cyclist_id,pro_cycling_stats_cyclist_id,birth_date,uci_rider_id,nationality,cycle_base_cyclist_id,biography,weight_kg,last_name,cycling_archives_cyclist_id,social_media_followers,olympedia_people_id,birthplace
1,19,19,2530.0,3,19,16881.0,10,3,175.0,47478.0,140633.0,15,59614.0,3,47066.0,28,,4,32178.0,41605.0,,32
2,8,8,716.0,13,4,3891.0,12,5,183.0,19127.0,140196.0,8,32532.0,15,19255.0,27,71.0,29,11292.0,508772.0,113194.0,6
1,13,12,50303.0,8,25,26482.0,32,3,178.0,,196333.0,28,107840.0,9,70304.0,17,63.0,1,108403.0,,146032.0,3
1,9,9,264.0,2,7,3828.0,15,2,182.0,5609.0,140870.0,6,34012.0,6,19558.0,7,69.0,10,21215.0,65423.0,113255.0,11
1,5,5,713.0,5,6,5789.0,8,3,186.0,12014.0,140869.0,7,43936.0,5,22663.0,3,69.0,9,22017.0,1529344.0,126950.0,25
1,4,4,581.0,6,5,5139.0,7,0,183.0,15722.0,140904.0,9,55131.0,7,11009.0,9,65.0,20,27924.0,188233.0,135241.0,12
1,2,2,3.0,11,16,387.0,1,3,176.0,2513.0,137456.0,2,518429.0,13,3262.0,24,62.0,5,1567.0,1397142.0,111578.0,20
1,33,33,121.0,7,11,620.0,13,3,175.0,,131895.0,0,,13,3505.0,29,64.0,6,1804.0,,,31
1,24,24,18655.0,7,23,20719.0,23,4,177.0,66232.0,174582.0,13,88889.0,11,56041.0,21,65.0,27,72449.0,127549.0,135863.0,29
1,21,20,1008.0,7,15,13274.0,33,3,180.0,54534.0,140884.0,12,54576.0,9,,18,67.0,28,15712.0,11887.0,125029.0,30
1,26,26,563.0,7,12,7147.0,25,3,172.0,42655.0,140611.0,5,57601.0,0,30026.0,0,62.0,26,32008.0,140921.0,132499.0,18
1,10,23,2325.0,7,21,17534.0,5,0,183.0,45660.0,140333.0,16,59773.0,13,47686.0,23,72.0,13,37589.0,8603.0,142502.0,23
1,27,27,27111.0,7,25,22910.0,21,3,186.0,,170625.0,26,99713.0,3,58116.0,10,78.0,23,81488.0,15237.0,142862.0,9
1,15,15,46163.0,12,25,26509.0,17,3,173.0,,194909.0,29,111440.0,14,65227.0,26,57.0,14,99609.0,,146670.0,1
1,20,14,20581.0,7,25,21800.0,11,3,,,161334.0,22,89154.0,4,58052.0,14,,3,,,,7
1,2,2,3.0,11,16,387.0,1,3,176.0,2513.0,137456.0,2,518429.0,13,3262.0,24,62.0,5,1567.0,1397142.0,111578.0,20
2,8,8,716.0,13,4,3891.0,12,5,183.0,19127.0,140196.0,8,32532.0,15,19255.0,27,71.0,29,11292.0,508772.0,113194.0,6
1,29,29,16639.0,13,1,22018.0,28,5,183.0,,168758.0,25,86735.0,15,56672.0,5,,12,74063.0,52940.0,143136.0,14
1,12,11,38195.0,2,25,25740.0,16,3,175.0,,196424.0,27,112082.0,2,69190.0,6,,31,115868.0,,,13
1,6,6,706.0,10,10,1237.0,0,3,183.0,6404.0,140800.0,4,29164.0,12,7764.0,22,70.0,15,10911.0,41367.0,120395.0,15
1,7,7,26504.0,4,3,22020.0,9,0,183.0,,164213.0,23,86617.0,4,55719.0,13,,2,77514.0,2473.0,,5
1,31,31,918.0,7,8,7838.0,30,3,180.0,5661.0,140805.0,10,44337.0,3,19478.0,12,69.0,11,19062.0,63706.0,125021.0,10
1,30,30,65025.0,13,25,27708.0,29,1,170.0,,202331.0,31,109775.0,15,66570.0,2,58.0,24,119805.0,,143137.0,19
1,3,3,38.0,11,9,5.0,3,3,177.0,19443.0,140924.0,1,14575.0,13,16289.0,23,61.0,30,7005.0,470645.0,103634.0,24
1,14,13,12474.0,7,0,18610.0,2,1,173.0,56596.0,137427.0,19,71557.0,3,46381.0,11,62.0,0,63999.0,77168.0,133837.0,28
1,32,32,133.0,4,18,1994.0,31,3,181.0,16105.0,140778.0,3,28378.0,4,11585.0,15,65.0,22,13069.0,569371.0,111576.0,21
1,5,5,713.0,5,6,5789.0,8,3,186.0,12014.0,140869.0,7,43936.0,5,22663.0,3,69.0,9,22017.0,1529344.0,126950.0,25
1,28,28,45992.0,9,25,26526.0,4,3,176.0,,194619.0,30,149727.0,11,69634.0,20,66.0,25,115790.0,5000.0,146565.0,17
1,23,22,,13,13,20678.0,6,5,1.81,,132382.0,21,72234.0,15,56664.0,5,73.0,7,66001.0,20194.0,134003.0,6
1,0,0,64479.0,7,25,,27,3,174.0,,213282.0,33,564239.0,10,,19,,19,159824.0,,,22
1,17,17,2211.0,0,14,13066.0,22,3,178.0,45665.0,140384.0,18,62919.0,0,38259.0,0,72.0,18,39964.0,26443.0,,4
1,1,1,20147.0,13,22,18975.0,26,5,172.0,64111.0,133024.0,20,70590.0,15,56666.0,4,58.0,32,65132.0,32176.0,133999.0,2
1,24,24,18655.0,7,23,20719.0,23,4,177.0,66232.0,174582.0,13,88889.0,11,56041.0,21,65.0,27,72449.0,127549.0,135863.0,29
1,28,28,45992.0,9,25,26526.0,4,3,176.0,,194619.0,30,149727.0,11,69634.0,20,66.0,25,115790.0,5000.0,146565.0,17
0,16,16,16672.0,6,24,21971.0,18,1,184.0,,168754.0,24,79462.0,7,48143.0,8,,33,64280.0,205449.0,145562.0,16
1,11,10,2977.0,11,20,14321.0,14,3,173.0,54516.0,140505.0,11,422366.0,13,43387.0,25,60.0,16,24864.0,,133661.0,26
1,32,32,133.0,4,18,1994.0,31,3,181.0,16105.0,140778.0,3,28378.0,4,11585.0,15,65.0,22,13069.0,569371.0,111576.0,21
1,18,18,2961.0,7,17,12923.0,19,3,176.0,28843.0,140821.0,14,58528.0,8,27794.0,16,65.0,17,36053.0,156620.0,120895.0,8
1,22,21,22682.0,1,2,21392.0,20,3,184.0,,135315.0,17,93654.0,1,54668.0,1,71.0,21,77634.0,18425.0,,27
1,25,25,84019.0,1,25,28377.0,24,3,171.0,,212377.0,32,587366.0,1,83295.0,1,62.0,8,141854.0,84000.0,141007.0,0
