profession,commons_category,first_name,first_cycling_rider_id,representing_country,freebase_id,cq_ranking_male_cyclist_id,profile_image,cycling_discipline,height_cm,memoire_du_cyclisme_cyclist_id,pro_cycling_stats_cyclist_id,birth_date,uci_rider_id,nationality,cycle_base_cyclist_id,biography,weight_kg,last_name,cycling_archives_cyclist_id,social_media_followers,olympedia_people_id,birthplace
0,3,6,88703,3,9,29568.0,11,1,184.0,,235390,10,148689,0,86654.0,0,,9,154976,,,10
0,5,4,12474,3,0,18610.0,0,0,173.0,56596.0,137427,7,71557,2,46381.0,3,62.0,0,63999,77168.0,133837.0,8
0,11,11,6104,0,8,17627.0,10,1,183.0,56613.0,135523,6,78566,2,51513.0,4,60.0,2,60103,69964.0,133843.0,5
0,10,10,6222,0,7,11818.0,7,1,178.0,,137745,2,77534,2,51170.0,6,62.0,8,66567,9793.0,,4
0,2,2,790,5,4,2440.0,6,1,178.0,1272.0,140780,0,28331,6,1661.0,11,74.0,3,10109,,125750.0,6
0,4,3,96298,3,9,,4,1,,,217198,11,404547,7,,10,,9,155171,,,3
0,9,9,2275,3,5,13566.0,8,1,184.0,46784.0,140495,3,64917,2,41886.0,5,65.0,1,53957,128269.0,133840.0,1
0,8,8,6245,3,2,16058.0,2,1,180.0,49006.0,135188,5,71677,1,45428.0,1,65.0,7,55337,4397.0,140887.0,7
0,7,7,17252,4,3,21405.0,9,1,180.0,,170313,8,86710,5,57500.0,9,65.0,5,82089,,,9
0,1,1,34011,3,9,24189.0,1,1,176.0,,187231,9,79522,2,62255.0,2,64.0,4,82930,5751.0,142857.0,2
1,0,0,17940,2,6,13153.0,3,2,181.0,45454.0,137531,4,44055,4,46326.0,8,71.0,6,25006,2084.0,126206.0,0
0,6,5,7573,1,1,14209.0,5,1,180.0,1857.0,140507,1,53972,3,42492.0,7,66.0,9,28487,,,11
