Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
1,0,12909,146,146,3,10807
0,0,6110,102,103,124,3849
0,0,457048,92,93,40,454787
0,0,478833,231,231,137,476677
0,0,16869,155,155,93,14662
0,0,552888,220,220,51,550654
0,0,835809,99,100,100,833647
1,0,3770,52,53,124,732
1,0,828777,111,112,22,827212
1,0,9061,57,58,42,6806
0,0,2776,158,158,41,509
1,0,211189,120,120,30,209180
1,0,7765,30,31,48,5519
1,0,3747,24,25,1,1363
0,1,692573,71,72,91,690150
1,0,27924,6,7,90,26149
0,0,754574,178,178,0,752403
0,0,1178466,119,119,38,1176085
1,0,53359,118,118,36,52601
1,0,96434,223,223,25,94266
1,0,45480,199,199,24,43330
0,0,604953,82,83,67,602554
0,0,5633,12,13,2,4134
0,0,813661,184,184,113,811541
1,0,4215,73,74,50,1969
0,0,480713,39,40,88,478230
1,0,114439,8,9,68,112868
0,0,14957,65,66,62,12933
0,0,356577,109,110,29,354673
0,0,45278,103,104,21,42840
1,0,50723,124,124,56,48507
0,0,562476,176,176,69,560179
1,0,56175,87,88,31,53914
1,0,1621,66,67,86,2
1,0,4679,117,117,130,2307
1,0,11646,127,127,124,9286
0,0,487264,97,98,71,485114
1,0,47037,180,180,1,44773
0,0,371476,175,175,21,369323
0,0,477337,10,11,132,476408
1,0,828692,197,197,52,827244
0,0,909033,34,35,89,906619
0,0,1062,3,4,92,1
1,0,15153,209,209,61,12949
1,0,81519,11,12,7,79698
1,0,65232,219,219,60,62692
0,0,707127,50,51,119,704929
1,0,76316,29,30,102,74154
0,0,799420,226,226,66,796943
1,0,3230,131,131,55,921
1,0,2056,51,52,124,2
0,0,4947,47,48,124,2638
1,0,441740,95,96,12,439797
0,0,2326647,17,18,112,2325364
0,0,777368,225,225,114,775140
1,0,51771,234,234,131,49540
1,0,59089,42,43,87,56687
1,0,113111,171,171,51,111105
1,0,79561,121,121,87,77369
0,0,1451239,132,132,72,1449053
0,0,1009290,46,47,117,1006993
1,0,170211,126,126,93,168412
1,0,4516,55,56,124,3179
0,0,611448,114,114,98,610807
1,0,5046,163,163,110,2860
0,0,1375691,123,123,16,1373202
1,0,4025,169,169,16,1761
1,0,224206,204,204,38,222371
0,0,689616,84,85,10,687517
1,0,335828,159,159,9,333633
0,0,1204656,200,200,16,1202680
1,0,11060,145,145,66,8994
1,0,2096,149,149,118,747
0,0,1138,5,6,124,2
1,0,8253,105,106,31,6340
0,0,1189025,191,191,74,1186812
0,0,496899,104,105,126,495853
1,0,1474,16,17,101,101
0,0,1039862,78,79,132,1037046
1,0,20107,70,71,50,17801
1,0,14203,59,60,46,11819
1,0,391932,7,8,3,389746
0,0,3932,166,166,78,1401
0,0,915393,64,65,69,914149
0,0,244454,162,162,125,243822
0,0,394758,20,21,132,393970
0,0,574603,173,173,34,572120
1,0,4883,43,44,11,2628
0,0,252998,135,135,122,250869
0,0,2976,168,168,75,781
0,0,1159648,147,147,133,1157084
1,0,7454,54,55,124,5259
1,0,654471,77,78,29,652312
0,0,2907,37,38,97,667
1,0,4593,1,2,44,2230
1,0,1705791,91,92,112,1703299
0,0,598394,172,172,9,596190
0,0,2152,9,10,53,38
0,0,507624,194,194,31,505363
0,0,459000,177,177,69,456733
0,0,123424,232,232,58,121439
0,0,805063,182,182,43,803291
1,0,3147,44,45,77,535
0,0,7548,56,57,124,5362
0,0,11573,112,113,124,9210
1,0,81116,4,5,60,80040
0,0,703891,74,75,21,701787
1,0,351915,203,203,4,350539
1,0,6111,23,24,8,4843
