Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
0,0,301826,243,243,86,299487
1,0,125132,82,82,46,122370
0,0,387675,28,28,101,385183
0,0,736453,80,80,70,733583
1,1,190552,81,81,50,188093
1,0,1516533,43,43,60,1514173
0,0,476728,161,161,104,474101
1,0,54199,31,31,45,51578
1,0,988200,209,209,34,985546
1,0,1062895,234,234,82,1060310
0,0,246580,88,88,6,243767
0,0,758419,46,46,21,756089
0,0,488327,205,205,22,485541
0,0,322020,237,237,90,319249
0,0,33755,25,25,54,30969
1,0,423886,68,68,115,421607
1,0,993191,44,44,60,990858
1,0,1150558,195,195,85,1147775
0,0,1152306,223,223,114,1149583
0,0,1161129,168,168,110,1158613
1,0,32977,217,217,113,30248
1,0,33431,24,24,95,30843
1,0,504459,248,248,109,501763
1,0,1757922,191,191,33,1755496
0,0,553480,176,176,64,550610
0,0,16153,29,29,45,13502
0,0,355891,245,245,115,353552
0,0,309384,109,109,120,306937
0,0,25495,52,52,95,22811
1,0,8691,198,198,29,6085
0,0,200907,151,151,48,198367
1,0,15222,214,214,8,12538
0,0,867065,115,115,70,864531
1,0,1966199,102,102,39,1963551
0,0,557682,143,143,104,555076
0,0,1024944,233,233,82,1022305
0,0,556640,255,255,94,553878
0,0,1176004,167,167,102,1173581
1,0,156435,33,33,82,153649
1,0,447956,179,179,63,445458
0,0,735391,127,127,71,733043
0,0,1102343,227,227,75,1099539
0,0,1314205,91,91,110,1311887
1,0,1034195,211,211,5,1031508
1,0,650434,39,39,37,647633
1,0,1800605,107,107,71,1797939
0,0,187941,232,232,36,185287
0,0,17633,20,20,63,14982
0,0,4209,120,120,66,1423
0,0,198843,126,126,76,196225
0,0,1065877,201,201,108,1063010
0,0,432191,134,134,17,429708
0,0,536061,258,258,84,533287
1,0,568671,175,175,2,566338
0,0,1123469,222,222,91,1120611
0,0,443238,159,159,103,440629
0,0,422008,203,203,32,419294
1,0,125047,38,38,43,122324
1,0,50888,153,153,51,48174
0,0,119436,257,257,14,116878
0,0,622377,41,41,10,620053
0,0,404953,163,163,84,402317
1,0,352788,252,252,108,350182
0,0,185153,22,22,129,182502
0,0,389747,166,166,127,387120
1,0,373899,27,27,26,371611
0,0,475012,141,141,112,472298
0,0,7162,18,18,45,4697
0,0,378614,165,165,84,375975
1,0,23290,219,219,71,20606
0,0,9867,62,62,95,7462
0,0,473501,204,204,121,470631
0,0,1713823,7,7,83,1711409
0,0,381075,238,238,17,378301
0,0,14845,49,49,50,11996
0,0,8092,215,215,43,5759
1,0,13979,200,200,0,11352
0,0,1053239,111,111,3,1050549
0,0,15062,87,87,45,12438
1,0,1100880,197,197,38,1098211
1,0,8115,174,174,44,5269
1,0,379418,172,172,51,376740
1,0,2047179,187,187,78,2044399
1,0,665447,75,75,22,662586
0,0,519004,254,254,72,516413
0,0,1324430,90,90,60,1322082
0,0,1156973,236,236,30,1154469
1,0,9580,199,199,37,6749
0,0,428427,89,89,81,425755
1,0,1096585,235,235,98,1093946
0,0,810651,171,171,123,808318
0,0,12594,152,152,45,9967
1,0,9089,218,218,23,6579
0,0,45075,123,123,25,42286
1,0,1611964,99,99,80,1609262
0,0,1828534,106,106,82,1825916
1,0,483376,96,96,105,480707
0,0,1865809,104,104,71,1862957
0,0,139709,256,256,87,138117
0,0,404584,117,117,89,402206
0,0,1731005,193,193,9,1728183
1,0,2060220,186,186,98,2057611
0,0,255561,16,16,38,253126
1,0,12158,10,10,53,9363
0,0,21771,85,85,45,19363
0,0,506933,17,17,70,504105
