Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,15535592,26,26,0,4,15533634
1,13088041,23,23,1,0,13087050
1,2887522,5,5,0,4,2884196
0,8100373,12,12,0,4,8099708
1,2385948,3,3,0,4,2384263
0,1224915,2,2,1,0,1223366
1,18569916,32,32,0,2,18567811
1,9660409,20,20,4,0,9659774
0,20691680,37,37,0,2,20687577
0,20084058,36,36,0,2,20081842
0,22917396,41,41,0,3,22916293
0,7442496,10,10,3,0,7441054
0,3388596,6,6,0,0,3386035
1,7460551,11,11,0,4,7459967
0,8892434,18,18,0,0,8890575
0,14601803,24,24,0,0,14599311
0,22919345,42,42,1,2,22917489
0,21160683,38,38,1,2,21158294
1,9243759,19,19,3,0,9241420
1,5683900,8,8,0,4,5682041
0,14876341,25,25,0,0,14873024
0,21202044,39,39,3,3,21201277
1,16883348,28,28,1,2,16882523
1,12513680,22,22,1,4,12512236
1,17428676,31,31,3,3,17427897
0,767777,0,0,2,1,765565
1,8719393,15,15,1,4,8718089
1,996955,1,1,0,4,994757
1,19407046,34,34,0,2,19403750
1,17427877,30,30,0,3,17426891
0,16636077,27,27,3,2,16633784
1,8721067,17,17,1,4,8720480
1,19880381,35,35,0,2,19879143
0,4764197,7,7,0,4,4763523
1,8720335,16,16,1,0,8719457
0,8230637,13,13,3,4,8228810
1,24181479,43,43,1,2,24178167
1,8493706,14,14,1,0,8492307
0,2743380,4,4,3,4,2741554
0,18876950,33,33,1,3,18876013
1,7156671,9,9,0,4,7153471
1,9862316,21,21,3,4,9860879
1,21851320,40,40,0,3,21850049
1,17031788,29,29,3,2,17030570
