Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,5471,136,136,123,3207,1
0,0,5583,97,98,123,3223,0
1,0,457048,88,89,41,454787,0
0,0,478833,231,231,138,476677,0
1,0,2336,147,147,137,3,1
1,0,552888,219,219,50,550654,0
0,0,835809,95,96,97,833647,0
0,0,4603,49,50,123,2336,0
1,0,1069200,209,209,11,1067095,0
0,0,2907,36,37,95,667,0
0,0,6046,152,152,79,3683,0
1,0,76342,177,177,30,73994,1
1,0,1167843,143,143,110,1165567,0
0,0,1026,4,5,30,22,1
0,1,692573,69,70,90,690150,0
0,0,27924,7,8,89,26149,1
0,0,754574,173,173,0,752403,0
1,0,1157625,116,116,51,1155433,0
1,0,12933,112,112,37,10912,1
1,0,96434,222,222,25,94266,1
1,0,45480,195,195,24,43330,1
0,0,604953,80,81,66,602554,0
0,0,2152,10,11,53,38,0
1,0,763015,83,84,111,760970,0
0,0,4215,71,72,49,1969,1
0,0,480713,38,39,87,478230,0
1,0,114439,9,10,67,112868,1
0,0,3201,59,60,38,2560,1
1,0,61722,221,221,127,61057,1
0,0,45278,100,101,21,42840,0
1,0,13918,121,121,7,11750,1
1,0,562476,171,171,69,560179,0
0,0,56175,84,85,31,53914,1
0,2,1518,58,59,123,1,1
0,0,1009290,45,46,116,1006993,0
1,0,50723,120,120,56,48507,1
0,0,487264,93,94,71,485114,0
0,0,47037,175,175,1,44773,1
0,0,371476,170,170,21,369323,0
0,0,477337,11,12,133,476408,0
0,0,1835184,67,68,105,1832923,0
1,0,53359,114,114,37,52601,1
1,0,1287,19,20,5,1,0
1,0,441740,91,92,12,439797,1
1,0,81519,12,13,7,79698,1
0,0,71686,213,213,113,69566,1
0,0,707127,48,49,118,704929,0
0,0,65232,218,218,59,62692,1
1,0,777368,224,224,112,775140,0
0,0,3230,127,127,55,921,1
0,0,1669,47,48,123,2,1
0,0,5540,44,45,101,3963,1
1,0,372955,230,230,12,370655,1
0,0,2191081,87,88,130,2188577,1
1,0,11060,140,140,65,8994,1
0,0,4184,235,235,122,1923,1
0,0,43304,156,156,94,40902,1
1,0,113111,165,165,50,111105,1
0,0,59089,41,42,86,56687,1
1,0,1189025,188,188,74,1186812,0
1,0,805063,178,178,44,803291,0
1,0,1835456,204,204,23,1833030,0
0,0,7454,52,53,123,5259,1
0,0,611448,110,110,96,610807,0
0,0,2776,153,153,42,509,0
1,0,1204656,196,196,16,1202680,0
0,0,4025,163,163,16,1761,1
0,0,2650,24,25,42,386,1
1,0,560447,98,99,19,558669,1
1,0,335828,154,154,9,333633,1
1,0,480279,203,203,64,478171,0
1,0,7012,6,7,65,5501,1
0,0,12909,141,141,2,10807,1
0,0,11646,123,123,123,9286,1
1,0,1116077,150,150,39,1113876,0
0,0,76316,29,30,99,74154,1
1,0,496899,101,102,126,495853,0
0,0,15153,205,205,60,12949,1
0,0,1027491,76,77,97,1024990,0
1,0,170211,122,122,91,168412,1
1,0,799420,225,225,65,796943,0
0,0,377705,96,97,119,375522,0
0,0,5046,158,158,107,2860,1
0,0,914046,63,64,13,913312,0
0,0,244454,157,157,125,243822,0
0,0,394758,20,21,133,393970,0
0,0,574603,168,168,35,572120,0
1,0,5117,217,217,100,2943,0
1,0,252998,130,130,121,250869,0
1,0,1108,160,160,102,1,0
1,0,92964,92,93,110,90784,1
0,0,3133,51,52,123,824,1
1,0,470842,187,187,68,468923,0
1,0,4059,30,31,4,1852,0
0,0,4593,1,2,45,2230,1
1,0,689616,82,83,10,687517,0
1,0,598394,167,167,9,596190,0
1,0,185005,118,118,84,182789,0
0,0,507624,191,191,31,505363,0
1,0,459000,172,172,69,456733,0
1,0,123424,232,232,57,121439,0
0,0,53099,223,223,120,50910,1
1,0,4883,42,43,11,2628,1
0,0,4516,53,54,123,3179,1
1,0,17178,106,107,129,14941,1
0,0,81116,3,4,59,80040,1
0,0,703891,72,73,21,701787,0
0,0,79561,117,117,86,77369,1
0,0,3704,22,23,136,1446,1
1,0,299939,227,227,78,297915,1
0,0,115059,159,159,114,112891,1
0,0,827,13,14,116,3,0
0,0,28523,81,82,133,26538,1
1,0,547726,133,133,20,545198,0
0,0,19404,198,198,116,17227,0
0,0,1039862,77,78,133,1037046,0
1,0,1937904,25,26,19,1935421,0
1,0,52834,182,182,27,50840,0
0,0,28514,108,0,123,26043,0
0,0,1138,5,6,123,2,0
1,0,62927,148,148,103,60651,1
1,0,16106,73,74,134,14127,0
0,0,7548,54,55,123,5362,0
0,0,828692,193,193,52,827244,1
0,0,711734,32,33,21,710958,0
0,0,482055,111,111,30,479794,0
1,0,89110,206,206,93,86993,1
0,0,71096,137,137,45,68619,1
0,0,798,164,164,92,1,1
0,0,2326647,17,18,110,2325364,0
0,0,9859,208,208,124,7598,1
0,0,120751,185,185,80,119534,1
0,0,9642,211,211,17,7252,0
1,0,7125,109,109,88,5011,0
0,0,1699,85,86,58,101,1
0,0,1333,16,17,116,3,0
1,0,468090,40,41,133,465892,0
1,0,811009,210,210,76,808763,0
1,0,619207,202,202,41,617003,0
0,0,194620,124,124,40,192110,0
0,0,52112,103,104,36,49749,1
0,0,14957,64,65,61,12933,0
1,0,1621,65,66,85,2,1
1,0,813661,180,180,111,811541,0
0,0,560608,179,179,84,558551,0
1,0,961848,151,151,18,959689,0
0,0,915393,62,63,69,914149,0
0,0,6868,183,183,112,4559,1
0,0,50074,189,189,135,47909,1
0,0,487691,31,32,121,485538,0
0,0,7225,105,106,123,4853,0
0,0,669010,131,131,13,666635,0
0,0,2335,169,169,15,101,1
0,0,2976,162,162,75,781,0
0,0,1159648,142,142,134,1157084,0
0,0,140815,228,228,66,140096,1
0,0,3637,161,161,60,1680,1
0,0,17152,135,135,123,14774,1
1,0,3774,18,19,17,1570,0
1,0,8253,102,103,31,6340,1
0,0,477141,197,197,42,476586,0
0,0,4334,94,95,123,1968,1
1,0,20192,201,201,12,18165,1
1,0,636865,79,80,48,634829,0
0,0,391932,8,9,2,389746,1
0,0,1152,14,15,8,1,0
1,0,122003,229,229,93,119982,1
0,0,6765,192,192,109,4204,1
1,0,35613,194,194,24,33460,1
0,0,3468,70,71,123,1171,0
0,0,2352753,129,129,27,2351474,0
0,0,85349,66,67,43,84366,1
0,0,303473,216,216,139,301437,1
0,0,49973,26,27,14,48072,1
0,0,6110,99,100,123,3849,0
1,0,9061,55,56,43,6806,1
0,0,6479,134,134,123,5838,1
0,0,369971,60,61,34,367785,0
1,0,19107,104,105,72,16912,1
0,0,316113,226,226,62,313945,1
0,0,5333,21,22,49,3093,1
0,0,4679,113,113,131,2307,1
0,0,2152465,190,190,16,2150273,0
0,0,1347,23,24,32,4,0
0,0,3770,50,51,123,732,1
0,0,23314,236,236,82,21104,0
0,0,763294,174,174,6,761027,0
1,0,411395,37,38,81,410220,0
1,0,51771,234,234,132,49540,1
1,0,469090,34,35,126,466913,0
0,0,909502,74,75,128,907241,0
0,0,68193,146,146,83,66007,1
0,0,315631,215,215,104,313523,1
1,0,10067,28,29,64,8418,1
1,0,609383,78,79,42,607077,0
0,0,351915,199,199,3,350539,1
0,0,400277,27,28,106,398004,0
0,0,702444,212,212,26,701878,0
1,0,369509,61,62,28,367296,1
0,0,3147,43,44,77,535,1
0,0,526037,39,40,42,525222,0
0,0,57522,125,125,26,55348,1
1,0,1375691,119,119,16,1373202,0
1,0,3258,207,207,20,754,1
0,0,66424,233,233,122,64094,1
1,0,16197,176,176,65,13717,1
0,0,4947,46,47,123,2638,0
1,0,399311,90,91,0,397290,0
0,0,646569,181,181,46,644707,0
0,0,20107,68,69,49,17801,1
0,0,2123600,86,87,70,2121408,0
1,0,5726,0,1,37,3723,0
1,0,654471,75,76,29,652312,1
1,0,828777,107,108,22,827212,1
0,0,27070,139,139,84,24536,1
0,0,311650,214,214,104,309482,1
0,0,16283,184,184,108,15441,1
0,0,5683,56,57,123,3845,0
1,0,477984,149,149,25,475453,0
0,0,1178466,115,115,39,1176085,0
1,0,22657,144,144,117,20729,0
1,0,60946,145,145,102,58898,1
1,0,34512,89,90,115,32440,1
1,0,1028709,166,166,37,1026565,0
1,0,224206,200,200,39,222371,1
0,0,92121,138,138,27,90979,1
1,0,731499,33,34,20,729406,0
0,0,7491,126,126,123,5182,1
0,0,1036,15,16,54,2,1
0,0,14203,57,58,47,11819,1
0,0,1475,2,3,78,3,0
0,0,471716,220,220,73,470270,0
1,0,1909430,128,128,29,1907460,1
1,0,669243,186,186,63,667156,0
0,0,18709,35,36,133,16532,1
1,0,18062,132,132,33,16122,1
0,0,668634,155,155,98,666520,0
