Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1037760,370,370,170,1037092,1
1,0,18293,404,404,158,17649,0
0,0,1236,126,126,0,691,0
0,0,55025,360,360,100,54438,0
0,0,1457890,90,90,96,1457246,0
0,0,487260,205,205,125,486679,1
0,0,1995197,222,222,151,1994529,0
0,0,9057,388,388,90,8128,0
0,0,4555,134,134,131,3962,0
0,0,622513,28,28,96,621803,0
0,0,807166,155,155,117,806492,1
1,0,112468,401,401,36,111971,0
0,0,4870,342,342,140,4217,0
0,0,2682,269,269,131,1954,0
0,0,163066,9,9,143,162521,1
0,0,1943209,10,10,57,1942577,0
0,0,735451,96,96,96,734867,0
0,0,1357417,313,313,148,1356881,1
0,0,1481322,93,93,74,1480762,1
0,0,36247,73,73,62,35642,1
0,0,1187163,348,348,170,1186465,0
0,0,120884,36,36,107,120498,0
0,1,1894275,111,111,28,1893637,1
0,0,438865,353,353,21,438233,0
0,0,308712,371,371,26,308044,0
0,0,1033564,302,302,169,1032920,0
0,0,1578872,120,120,17,1578312,0
0,0,85370,62,62,75,84681,0
0,0,17407,266,266,41,16820,0
0,0,497483,127,127,114,496893,0
0,0,1707996,30,30,68,1707370,1
0,0,6677,380,380,89,6162,1
0,0,278070,227,227,159,277438,1
0,0,1686468,112,112,96,1685914,0
0,0,477620,210,210,113,476973,0
0,0,565167,383,383,79,564760,0
0,0,10321,128,128,41,9749,0
0,0,1685667,117,117,162,1685527,0
0,0,7629,235,235,41,6979,0
0,0,1645,357,357,104,1004,0
0,0,376974,56,56,152,376393,1
0,0,767988,276,276,48,767290,0
0,0,426818,140,140,129,426186,1
0,0,7249,54,54,41,6641,0
0,0,265007,264,264,5,264339,0
0,0,28027,46,46,127,27344,0
0,0,1118634,322,322,154,1117975,1
0,0,30799,74,74,65,30158,1
0,0,159847,68,68,98,159101,1
0,0,694973,310,310,68,694383,0
0,0,1610144,115,115,74,1609563,0
0,0,487905,172,172,152,487330,0
1,0,356421,430,430,138,355831,1
0,0,1921473,108,108,57,1920904,1
0,0,10499,40,40,93,10110,1
0,1,1739252,338,338,96,1738602,0
0,0,515441,211,211,63,514617,0
0,0,1109679,319,319,96,1109041,1
1,0,347837,19,19,9,347313,0
0,0,250738,326,326,159,250097,0
0,0,4939,8,8,1,4241,1
0,0,570400,76,76,115,569783,0
1,0,544317,149,149,113,543658,0
0,0,52129,270,270,131,51491,0
1,0,19103,381,381,31,18480,1
