Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1037760,369,369,170,1037092,1
1,18293,404,404,158,17649,0
0,7200,137,137,24,6637,0
0,55025,359,359,101,54438,0
0,1464254,89,89,97,1463646,0
0,487260,204,204,126,486679,1
0,1995197,221,221,151,1994529,0
0,9057,388,388,91,8128,0
0,4555,134,134,132,3962,0
0,622513,27,27,97,621803,0
0,807166,155,155,118,806492,1
1,112468,401,401,37,111971,0
0,4870,341,341,141,4217,0
0,2682,268,268,132,1954,0
0,163066,8,8,144,162521,1
0,1955674,333,333,162,1955171,0
0,735451,97,97,97,734867,0
0,1368555,311,311,76,1367977,1
0,1487064,93,93,28,1486369,1
0,36247,73,73,63,35642,1
0,1187163,347,347,170,1186465,0
0,120884,35,35,108,120498,0
0,1921473,109,109,58,1920904,1
0,438865,352,352,21,438233,0
0,308712,370,370,26,308044,0
0,1033564,301,301,169,1032920,0
0,1604078,117,117,76,1603452,0
0,85370,62,62,77,84681,0
0,17407,265,265,42,16820,0
0,497483,127,127,115,496893,0
0,1707996,29,29,70,1707370,1
0,6677,379,379,90,6162,1
0,278070,226,226,159,277438,1
0,1731530,337,337,58,1730895,0
0,477620,209,209,114,476973,0
0,565167,382,382,81,564760,0
0,10321,128,128,42,9749,0
0,1686468,113,113,97,1685914,0
0,7629,234,234,42,6979,0
0,1645,356,356,105,1004,0
0,376974,56,56,152,376393,1
0,767988,275,275,49,767290,0
0,426818,140,140,130,426186,1
0,39701,53,53,42,39237,1
0,265007,263,263,5,264339,0
0,782,47,47,128,129,1
0,1118634,321,321,154,1117975,1
0,30799,74,74,67,30158,1
0,159847,68,68,99,159101,1
0,694973,309,309,70,694383,0
0,1637787,115,115,58,1637185,1
0,487905,172,172,152,487330,0
1,356421,430,430,139,355831,1
0,1932015,108,108,97,1931470,0
0,2027,40,40,71,1341,0
0,1743790,336,336,58,1743146,0
0,515441,210,210,65,514617,0
0,1109679,318,318,97,1109041,1
1,347837,18,18,9,347313,0
0,250738,325,325,159,250097,0
0,1579,3,3,168,1004,1
0,570400,77,77,116,569783,0
1,544317,149,149,114,543658,0
0,52129,269,269,132,51491,0
1,19103,380,380,31,18480,1
0,4829,262,262,38,4128,0
0,599763,237,237,6,598996,1
0,430625,12,12,135,430509,0
0,1142859,409,409,49,1142287,1
0,339516,229,229,83,338926,0
0,1413348,213,213,13,1412725,1
0,1066542,405,405,69,1065931,1
0,15668,345,345,20,15015,0
0,6518,306,306,152,5874,1
0,26110,308,308,31,25487,1
1,504309,428,428,147,503911,1
0,610947,367,367,170,610288,1
0,1935320,220,220,124,1934724,0
0,216763,324,324,145,216122,0
1,588625,160,160,110,587969,1
0,416038,383,383,64,415541,0
1,463493,102,102,80,462885,1
0,14001,394,394,155,13402,1
0,276224,139,139,82,275592,0
0,602338,322,322,93,601643,1
0,1845,389,389,88,1489,1
0,314714,124,124,25,314181,0
0,1473130,88,88,27,1472456,0
0,1100102,407,407,102,1099440,1
0,444695,32,32,112,444042,0
0,42175,386,386,151,41594,0
0,9261,130,130,42,8539,0
0,382637,58,58,159,382086,0
0,35038,305,305,122,34388,1
0,410050,252,252,23,409331,0
1,13194,350,350,106,12661,1
0,641578,84,84,55,640880,1
0,320021,423,423,98,319437,1
0,70385,302,302,160,69732,0
0,2893,384,384,149,2228,0
0,36160,20,20,54,35462,1
1,628319,187,187,65,627354,1
1,978860,280,280,119,978390,0
0,288480,177,177,100,287506,0
0,331967,156,156,135,331098,0
0,467996,365,365,165,467418,0
0,1344856,201,201,125,1344239,0
0,340144,413,413,99,339536,0
0,218124,169,169,21,217234,0
0,17055,49,49,42,16375,0
0,1049,288,288,68,204,1
0,789660,154,154,59,789061,1
0,855201,24,24,171,854569,1
0,281,10,10,73,3,1
0,16035,343,343,53,15472,0
0,301818,283,283,31,301183,1
0,6125,11,11,73,5631,1
0,578960,78,78,116,578253,0
0,1665163,30,30,152,1664528,0
0,538452,148,148,119,537880,1
0,278450,248,248,46,277617,0
0,473006,258,258,135,472107,0
0,16573,168,168,128,15977,0
0,1236,126,126,0,691,0
0,2152710,107,107,162,2152117,1
0,750998,203,203,133,750414,0
0,497850,298,298,42,497083,1
0,653543,85,85,55,652923,1
0,698962,98,98,97,698387,1
0,350824,414,414,99,350453,1
0,584282,135,135,6,583626,1
0,425782,144,144,47,425384,0
0,1183104,327,327,39,1182499,0
0,160801,403,403,50,160181,0
1,10872,105,105,103,10210,0
0,412598,285,285,45,411981,1
0,514088,297,297,42,513441,1
0,667099,4,4,6,666332,1
0,244449,292,292,121,243556,0
0,223254,293,293,23,222562,0
0,260483,179,179,100,259935,0
0,1069989,196,196,58,1069351,0
0,198335,43,43,6,197730,1
0,1243238,190,190,162,1242540,1
0,1109266,398,398,140,1108595,0
0,6197,387,387,156,5628,0
0,38888,80,80,57,38181,1
0,2159962,328,328,70,2159390,0
0,1420673,92,92,162,1420101,0
0,388432,197,197,74,388043,1
0,70633,60,60,128,70109,0
0,11230,374,374,127,10535,0
0,673589,188,188,12,672981,1
0,1677970,119,119,138,1677395,0
0,5761,375,375,22,5141,0
0,1875155,223,223,49,1874526,0
0,311313,422,422,137,310645,1
0,274287,175,175,99,273715,1
0,433446,208,208,5,432955,0
0,36542,385,385,151,35961,1
0,541203,104,104,65,540331,0
0,375081,123,123,25,374536,1
0,1134002,408,408,49,1133424,1
0,1481322,94,94,76,1480762,1
1,1261581,326,326,131,1260970,0
0,1739,6,6,34,1236,1
0,405277,143,143,31,404699,0
0,1581481,218,218,85,1580900,1
0,2442,289,289,29,1612,1
0,327963,424,424,98,327337,1
0,1411596,22,22,17,1410949,0
0,253089,180,180,21,252442,0
0,897457,277,277,61,896894,0
0,358436,282,282,57,358038,1
0,11470,48,48,128,11081,1
0,371048,281,281,99,370350,1
0,1943209,9,9,58,1942577,0
0,7470,273,273,128,6853,1
0,76266,284,284,47,75574,1
0,21243,14,14,16,20602,1
0,605996,243,243,6,605367,1
0,332148,411,411,99,331510,0
1,844685,368,368,114,844098,0
0,1790185,224,224,34,1789544,1
0,617680,238,238,15,617066,1
0,59685,50,50,77,58891,0
0,1591262,332,332,70,1590720,0
0,31626,357,357,22,31012,0
0,67780,415,415,31,67067,0
0,425359,253,253,23,424565,0
0,281837,181,181,100,281250,0
0,1169771,348,348,75,1169145,0
0,1192370,317,317,162,1191744,1
0,18926,390,390,153,18276,0
0,2115566,26,26,97,2114982,1
0,1094415,320,320,58,1093786,1
0,1559,52,52,42,987,1
0,395098,42,42,162,394403,1
0,128464,416,416,7,128075,0
0,1132814,319,319,58,1132212,1
1,385637,21,21,56,384969,0
0,1348,170,170,42,512,1
0,567879,381,381,89,567310,0
0,190891,67,67,99,190256,1
0,3660,198,198,42,3085,1
0,756041,100,100,97,755460,1
1,1671935,120,120,122,1671336,0
0,3008,166,166,145,2760,1
0,17644,349,349,157,17072,0
0,393310,286,286,10,392783,0
0,1001979,96,96,167,1001410,0
0,1611491,331,331,124,1610868,0
0,11006,13,13,141,10434,1
0,1840810,111,111,58,1840178,0
0,1150552,316,316,17,1149983,1
0,377041,363,363,25,376496,1
0,389569,254,254,111,388676,0
0,1212108,313,313,17,1211533,0
0,1806636,338,338,148,1806064,0
0,7249,54,54,42,6641,0
0,421453,417,417,162,420860,0
0,410649,145,145,31,410251,0
0,1121,2,2,164,531,0
1,690105,151,151,56,689434,0
0,7534,344,344,150,7151,0
0,14571,377,377,102,14272,0
0,237931,290,290,23,237338,0
0,615493,17,17,48,614912,0
0,253619,173,173,31,252897,0
0,244194,183,183,21,243160,0
0,1176204,399,399,5,1175530,0
0,668902,152,152,78,668282,1
0,22995,307,307,57,22609,1
0,47042,81,81,31,46335,1
0,6670,232,232,42,6140,1
0,462219,364,364,117,461563,1
0,1079,129,129,77,750,0
0,1784731,334,334,148,1784156,1
0,1392058,310,310,167,1391459,0
0,170789,69,69,31,170208,1
1,44727,395,395,66,44119,1
0,917604,278,278,102,916954,0
0,7294,266,266,42,6638,0
0,9111,133,133,77,8734,0
0,633393,83,83,60,632488,1
0,2852,16,16,36,2211,0
0,1610144,116,116,76,1609563,0
0,219644,72,72,54,218985,1
0,873,5,5,32,262,1
0,462632,142,142,98,462006,0
0,1707,378,378,88,1054,0
0,555039,79,79,79,554104,0
1,891600,276,276,41,891058,1
0,522983,296,296,6,522417,1
0,897652,245,245,165,897068,0
0,445439,136,136,111,444747,0
0,8892,376,376,4,8245,0
0,407298,186,186,86,406639,0
0,95645,65,65,113,95094,1
0,296809,421,421,98,296102,1
0,438791,33,33,145,438168,1
0,296422,249,249,135,295724,0
0,311595,412,412,99,311224,1
0,22912,59,59,132,22523,0
0,20624,75,75,67,19953,1
0,262228,38,38,170,261515,0
0,603114,242,242,15,602248,1
0,610905,159,159,137,610333,0
1,862102,246,246,1,861431,0
0,9993,34,34,129,9376,1
0,1448091,90,90,17,1447573,1
0,12594,200,200,95,11959,1
0,367683,157,157,26,367096,0
0,28027,45,45,128,27344,0
0,406686,141,141,98,406078,0
0,32545,267,267,128,31979,0
1,11424,41,41,109,10828,0
0,465000,354,354,2,464038,0
1,874302,279,279,119,873739,1
0,1570983,122,122,97,1570405,1
0,456160,323,323,120,455483,0
1,28680,131,131,166,27985,0
0,478938,103,103,3,478315,0
0,494817,205,205,14,494134,1
0,21792,346,346,40,21193,0
0,649380,241,241,6,648745,1
1,499409,366,366,56,498789,0
0,21840,235,235,132,21079,0
0,551183,231,231,163,550740,0
0,53116,397,397,37,52718,0
0,302673,250,250,46,302005,0
0,633183,239,239,96,632827,1
0,1148872,410,410,34,1148204,0
0,548259,146,146,72,547909,0
0,627298,101,101,84,626603,1
0,555039,429,429,98,554545,1
0,269583,420,420,137,268954,0
0,1587490,215,215,92,1586741,0
0,1038285,193,193,97,1037734,1
0,266589,178,178,21,265723,0
0,21892,340,340,53,21179,0
0,400683,57,57,159,400036,1
0,11825,46,46,128,11139,0
0,564291,150,150,117,563632,1
0,1722444,339,339,21,1721857,1
0,1871216,110,110,17,1870641,0
0,1081012,406,406,171,1080440,1
0,217404,23,23,23,216745,0
0,2130876,106,106,97,2130250,1
0,5418,236,236,77,4696,1
0,266951,176,176,99,266226,0
0,643220,202,202,65,642618,0
0,238595,174,174,31,237978,1
0,174019,66,66,47,173294,1
0,33533,391,391,149,32910,1
0,66227,304,304,122,65685,0
0,1032696,194,194,58,1032121,1
0,1299223,189,189,97,1298663,0
0,549268,76,76,161,548651,0
1,1738968,28,28,41,1738420,0
0,110877,158,158,163,110344,1
1,44362,303,303,123,43754,1
0,375323,426,426,130,374682,1
0,1894275,112,112,28,1893637,1
0,48963,358,358,105,48349,0
0,63431,64,64,128,62859,0
0,559332,147,147,81,558976,0
1,1947,15,15,142,1330,1
1,807869,25,25,119,807330,1
0,17246,271,271,42,16593,0
0,11667,264,264,42,10975,1
0,1182146,315,315,58,1181541,1
