Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,7608,43,43,100,6745,1
1,326018,104,104,117,323649,0
1,476915,38,38,15,476025,0
0,346408,206,206,52,346178,1
1,216862,126,126,144,214952,0
1,80177,231,231,144,78453,1
1,8014,86,86,94,5234,1
1,557,93,93,64,3,1
1,74182,14,14,75,73355,1
0,346850,205,205,87,346512,1
1,890682,192,192,101,889150,0
0,1130987,148,148,95,1130442,0
1,2216,42,42,11,1884,0
1,56787,223,223,78,55507,1
0,45867,21,21,57,45670,1
1,929,176,176,139,3,0
1,9109,154,154,122,6119,1
1,35665,152,152,122,33647,1
1,223303,157,157,35,221369,0
1,30441,197,197,89,27628,1
1,1839347,132,132,77,1836461,0
0,71748,33,33,26,71398,1
1,122795,36,36,67,121053,0
1,1122061,146,146,111,1121249,0
1,216652,230,230,133,216302,1
1,33312,81,81,129,32212,1
1,17807,29,29,7,16818,1
1,215357,64,64,7,214062,1
1,543960,138,138,107,542011,0
1,23503,235,235,90,21764,1
1,57738,224,224,59,56893,1
0,870832,54,54,30,869711,0
1,615828,188,188,35,612868,0
1,3521,177,177,23,564,0
1,640889,124,124,116,638082,0
1,119855,183,183,12,118959,1
1,351059,66,66,105,348930,0
1,4441,71,71,140,1115,1
0,218,156,156,47,3,0
1,578507,189,189,65,577500,0
1,835,4,4,104,1,0
1,12423,128,128,61,10753,1
1,100170,26,26,144,98553,1
1,76293,27,27,20,74227,1
1,17384,125,125,63,15111,1
1,395,202,202,15,3,1
1,1444050,22,22,110,1442287,0
1,229154,239,239,136,227562,0
1,64517,123,123,24,64071,1
0,747484,169,169,134,746714,0
1,58454,115,115,108,55821,1
1,10805,108,108,141,10074,0
1,706956,37,37,122,704473,0
0,4265,68,68,130,3411,0
1,8105,61,61,100,5802,1
1,42976,228,228,137,42014,1
0,157631,186,186,37,157230,0
1,7838,216,216,21,7741,1
1,794,8,8,46,3,0
0,1231,13,13,102,899,1
1,51751,109,109,75,49106,0
1,2332647,200,200,93,2330257,0
1,114401,65,65,74,112584,1
1,41471,158,158,93,39177,1
0,1415811,19,19,97,1415230,0
1,6985,84,84,61,4031,1
1,46358,94,94,30,44298,1
1,1129891,147,147,8,1128836,0
1,535,6,6,15,1,0
1,11717,178,178,124,11061,0
1,1338938,195,195,110,1337487,0
0,36096,30,30,135,35452,1
1,56420,159,159,1,55923,1
1,20561,121,121,15,20007,1
1,2400,168,168,33,211,0
1,3058,140,140,42,647,0
1,33980,166,166,77,31590,1
1,358301,174,174,56,355485,0
0,202126,78,78,112,201683,0
1,83691,198,198,59,83233,1
1,1034156,75,75,18,1031220,0
1,393196,83,83,127,390821,1
1,368350,51,51,86,367493,0
1,66037,96,96,123,63011,1
1,877,16,16,38,2,0
1,1381,105,105,40,2,0
1,1153652,149,149,123,1152030,0
1,33975,35,35,133,32362,1
1,47107,232,232,85,46339,1
1,25397,153,153,121,23602,1
1,2035,130,130,6,1445,0
1,921959,67,67,80,919047,0
0,282,119,119,50,1,1
1,903359,162,162,77,902475,0
1,3364,172,172,46,1112,0
1,8634,62,62,3,6310,0
1,6051,112,112,45,3256,0
1,88109,220,220,65,87465,0
1,147,10,10,10,1,0
1,36817,151,151,121,35931,1
1,15156,24,24,27,14362,1
1,944659,163,163,77,941918,1
1,513917,237,237,3,513297,0
1,24472,190,190,53,23342,1
1,46075,233,233,144,44094,1
1,1050263,160,160,91,1049748,0
1,1991,180,180,118,321,1
1,7580,89,89,26,6150,1
1,317768,194,194,1,315381,0
0,581031,238,238,55,580762,0
1,10942,201,201,9,10619,1
1,929,17,17,41,492,0
1,6341,63,63,143,3546,0
1,28634,143,143,138,28311,1
1,392192,107,107,125,389835,0
0,2270,60,60,60,1968,1
1,629366,209,209,110,627348,0
1,609376,208,208,74,606950,0
1,2735,217,217,14,1362,1
1,4117,225,225,32,1346,1
1,6226,11,11,36,4295,0
1,481120,110,110,82,478592,0
1,215,5,5,39,3,0
1,2208,145,145,69,1,1
1,857583,111,111,88,854629,0
1,4959,102,102,2,2632,0
1,38673,92,92,38,38134,1
1,2184398,88,88,1,2181870,1
1,821170,101,101,6,818471,0
1,46181,185,185,53,45609,1
1,703894,116,116,18,701207,0
0,2029693,141,141,83,2028950,0
1,4564,46,46,0,2810,1
1,1582,12,12,13,692,1
1,3052,58,58,66,605,0
1,498493,236,236,3,497942,0
1,6017,221,221,76,3066,0
1,4965,127,127,132,2173,1
1,585603,191,191,92,583600,0
1,2706,90,90,84,1,1
1,89160,184,184,15,86623,1
1,475584,98,98,123,473026,0
1,101201,25,25,85,100433,1
1,6087,15,15,120,4936,1
1,1639600,199,199,77,1637255,0
1,1686,2,2,131,1,1
1,10351,179,179,22,7736,1
1,1399795,23,23,21,1397420,0
1,699100,73,73,142,696140,0
0,17833,31,31,22,17345,1
1,612,72,72,124,103,1
1,32383,203,203,43,29822,0
1,69602,85,85,86,68706,1
1,71222,129,129,7,69540,1
1,18217,120,120,12,15659,0
1,57820,34,34,65,56951,0
1,73875,212,212,78,71692,1
1,5666,171,171,128,3972,0
1,267665,226,226,4,267153,0
1,578251,165,165,29,576644,0
1,1121147,215,215,8,1120731,0
1,583,161,161,108,2,0
1,2783,39,39,99,909,1
1,67398,222,222,6,66466,1
1,453362,133,133,16,452610,0
1,11981,106,106,28,9216,0
1,935665,193,193,62,933350,0
1,772241,49,49,133,769332,0
1,228,18,18,49,1,0
0,2248,20,20,34,1520,1
1,74451,229,229,30,72187,1
1,3080,56,56,129,735,1
1,45115,204,204,98,42281,0
1,2190,100,100,57,1,1
1,922,9,9,19,412,0
1,521339,136,136,128,518895,0
1,612431,134,134,138,611934,0
1,783875,69,69,58,783721,0
1,24991,117,117,81,22313,0
0,1238,214,214,76,288,1
1,4197,150,150,13,3526,1
0,1066,0,0,103,947,1
1,1161359,95,95,77,1159086,0
1,63967,211,211,138,63425,1
1,8168,50,50,15,5343,0
1,1842055,210,210,71,1840004,0
1,40883,52,52,109,38052,1
1,9729,91,91,25,7402,1
1,17064,79,79,2,15238,0
1,521580,40,40,59,519241,0
1,207218,122,122,80,204852,1
1,34273,7,7,68,33176,1
1,957,170,170,21,103,1
1,504842,74,74,29,502038,0
1,45868,114,114,73,44981,1
1,18211,55,55,106,15392,1
1,112160,87,87,146,109194,0
1,752571,48,48,133,750136,0
0,1411,1,1,119,1097,0
1,630925,173,173,85,630173,0
1,35958,41,41,1,35374,1
0,587282,70,70,73,586959,0
1,617,57,57,5,1,0
1,478396,137,137,128,477242,0
1,822273,213,213,122,821002,0
1,28437,219,219,115,25624,1
1,4194,218,218,124,3232,0
1,16367,32,32,21,13620,1
1,13228,196,196,89,10472,1
1,1874,59,59,48,3,1
1,640440,118,118,96,637990,0
1,963,77,77,114,103,1
1,184333,76,76,48,183608,0
1,382722,103,103,51,380155,0
1,9773,227,227,31,7086,0
1,10829,82,82,51,8487,1
1,281858,155,155,1,279111,0
1,23155,187,187,18,22973,1
1,663276,135,135,138,662509,0
1,563,45,45,145,3,1
1,8610,80,80,138,7165,0
1,250640,175,175,79,247890,0
1,1020701,164,164,4,1018377,0
1,23344,167,167,113,21104,0
1,57748,53,53,44,55331,1
1,7904,99,99,126,5580,1
0,2011553,3,3,95,2010699,0
1,26773,113,113,108,26201,1
1,2033316,142,142,54,2030554,0
1,15743,207,207,94,15195,1
1,805101,144,144,121,802591,0
1,16756,28,28,72,15296,0
1,88412,97,97,8,86619,1
1,7310,234,234,76,4494,0
0,586872,181,181,70,586129,0
1,360854,47,47,51,358083,1
1,182518,44,44,7,180932,1
1,254233,182,182,80,251879,1
1,26957,139,139,77,26184,0
1,856711,131,131,17,855554,0
