Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterHandle,BirthPlace,UciRiderId,RepresentingCountry,NativeName,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
1,4,10573,1849.0,3,0,,140695,6,11,28865,5,5,63.0,3,13,3,5845,856.0,177
0,10,3104,2357.0,13,0,,140190,6,12,25085,4,5,65.0,1,4,13,1447,81.0,181
0,14,49154,16941.0,1,2,300070.0,140071,2,3,75873,5,1,54.0,6,3,1,39969,3213.0,164
0,13,6263,45.0,10,6,247878.0,140855,7,14,24166,5,7,70.0,0,8,10,4177,174.0,179
0,9,83295,28377.0,11,7,84000.0,212377,3,0,587366,1,8,62.0,14,7,11,141854,84019.0,171
0,5,55639,20535.0,2,3,,160352,4,2,89125,3,5,,12,12,2,73388,14791.0,181
0,1,46381,18610.0,5,1,77168.0,137427,11,8,71557,5,2,62.0,11,0,5,63999,12474.0,173
0,6,1661,2440.0,4,0,,140780,6,5,28331,7,5,74.0,2,1,4,10109,790.0,178
0,3,47066,16881.0,7,0,41605.0,140633,0,15,59614,2,4,,9,2,8,32178,2530.0,175
0,8,88231,20406.0,8,5,,219536,5,6,175824,7,5,,15,9,6,137465,82552.0,180
0,2,6978,4377.0,0,0,7658.0,140865,1,7,198213,6,0,76.0,4,10,0,18964,31.0,181
0,12,47214,16722.0,14,9,34792.0,140674,9,9,64531,1,5,71.0,10,15,14,52973,6228.0,183
0,15,12832,7751.0,15,10,75813.0,140343,10,13,862522,4,5,65.0,5,14,15,25301,929.0,183
0,7,27794,12923.0,6,4,156620.0,140821,12,4,58528,5,3,65.0,8,11,7,36053,2961.0,176
0,11,57500,21405.0,9,0,,170313,6,10,86710,6,6,65.0,13,6,9,82089,17252.0,180
1,0,28095,12823.0,12,8,,137337,8,1,58891,0,9,71.0,7,5,12,34412,2322.0,182
