Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterHandle,BirthPlace,UciRiderId,RepresentingCountry,NativeName,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
1,6,71992.0,26637,6,4,,201838,1,4,111683,4,4,76.0,10,5,6,125323,61988,176.0
1,10,61547.0,23429,1,9,,176731,1,0,736192,1,0,74.0,5,7,1,64800,37219,186.0
1,2,,15946,0,0,,131652,1,11,71536,4,6,,2,3,0,64236,4784,
1,4,,4555,2,2,2192.0,138681,3,2,44976,0,6,77.0,1,0,2,17995,2146,189.0
1,3,20041.0,6807,11,0,61270.0,140781,2,8,32596,5,7,67.0,0,1,11,21225,114,182.0
1,0,,31598,8,5,,240123,1,7,361433,4,6,,11,9,8,148738,102733,183.0
1,7,58428.0,21992,7,8,23650.0,168776,0,9,86895,1,6,,4,7,7,77835,16793,179.0
1,1,61538.0,24057,4,0,,177672,1,10,91640,2,2,82.0,6,4,4,79184,27099,193.0
1,9,53950.0,24932,10,7,3384.0,185581,6,1,93345,3,6,70.0,8,2,10,84264,37308,185.0
1,5,,26392,5,3,,193131,1,6,148275,0,3,69.0,9,8,5,89152,45363,176.0
0,8,48143.0,21971,9,6,205449.0,168754,5,5,79462,3,5,,3,10,9,64280,16672,184.0
1,11,49495.0,23426,3,1,29588.0,177246,4,3,87061,3,1,,7,6,3,88470,37748,181.0
