Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,1713823,10,2,1711409,0
1,32772,101,1,29866,1
0,373899,32,2,371611,1
0,721934,79,2,719244,1
0,428427,92,3,425755,0
0,1324430,93,2,1322082,0
0,465591,162,2,462814,0
0,54199,35,2,51578,1
1,952113,118,1,949273,1
0,1024944,233,2,1022305,0
1,199898,39,1,197364,1
0,404584,120,2,402206,0
0,473501,202,3,470631,0
0,246580,91,2,243767,0
0,33755,30,2,30969,0
0,355891,244,2,353552,0
0,602339,48,2,600009,0
1,1100880,194,1,1098211,1
1,1123469,221,1,1120611,0
0,1147282,168,2,1144757,1
1,32977,216,1,30248,1
0,33431,29,2,30843,1
0,184674,7,2,182293,0
0,1516533,47,2,1514173,1
0,553480,173,3,550610,0
0,16153,33,2,13502,0
0,292921,245,2,290183,1
0,256062,178,2,253732,0
0,25495,54,2,22811,0
0,8691,195,2,6085,1
0,180436,213,2,177890,1
0,15222,212,2,12538,1
0,849988,205,2,847319,0
0,1919214,107,2,1916677,1
0,546874,143,2,544250,0
1,1014233,136,1,1011738,0
0,519004,251,2,516413,0
0,1161129,167,2,1158613,0
0,82609,139,3,79808,1
1,316755,121,1,314314,0
0,622377,45,2,620053,0
0,483376,100,2,480707,1
0,1176004,166,2,1173581,0
0,1015945,209,2,1013150,1
0,204433,67,2,201761,1
0,1745786,15,2,1743231,0
0,125132,85,2,122370,1
1,17633,25,1,14982,0
0,4209,123,2,1423,0
0,187941,232,2,185287,0
0,1035713,62,2,1032837,0
0,425184,137,2,422410,0
0,513629,257,3,510834,0
0,565358,87,2,563163,1
0,1115182,220,2,1112378,0
1,432436,159,1,429818,0
0,218715,59,2,215884,1
1,86749,153,1,84020,1
1,396102,74,1,393418,0
1,107074,254,1,104540,0
0,602587,46,2,600077,0
1,389747,164,1,387120,0
0,422008,200,2,419294,0
0,1065877,198,2,1063010,0
0,378614,163,2,375975,0
0,309384,112,2,306937,0
0,585607,86,2,583331,1
0,7162,23,2,4697,0
0,650434,43,3,647633,1
0,23290,218,2,20606,1
0,9867,65,2,7462,0
1,442799,201,1,439932,1
0,1695278,9,2,1692543,1
0,700388,17,2,697620,0
0,14845,51,3,11996,0
0,8092,214,2,5759,0
1,13979,197,1,11352,1
0,1045611,208,3,1042786,0
0,15062,90,2,12438,0
0,1061168,114,4,1059124,0
0,8115,172,3,5269,1
0,10893,95,2,8359,1
0,1966199,106,2,1963551,1
0,585177,204,3,582301,0
0,475012,142,2,472298,0
0,1314205,94,2,1311887,0
0,1096585,235,2,1093946,1
1,9580,196,1,6749,1
0,50888,152,2,48174,1
0,1062895,234,2,1060310,1
0,758419,49,2,756089,0
0,12594,151,2,9967,0
0,9089,217,2,6579,1
1,45075,126,1,42286,0
1,1578209,103,1,1575672,1
0,1818146,111,2,1815771,0
0,466038,176,2,463714,0
0,1851640,109,2,1848668,0
0,139709,253,2,138117,0
1,290907,119,1,288478,0
0,1171520,42,2,1169280,1
0,2047179,184,2,2044399,1
0,800723,165,2,798375,0
0,12158,13,2,9363,1
0,21771,88,2,19363,0
0,488327,203,3,485541,0
0,454333,158,2,451748,0
0,262330,243,2,259847,0
0,568854,259,2,566233,0
0,16377,145,2,13513,1
0,180486,38,2,177754,1
0,1596686,185,2,1594209,0
0,301826,242,2,299487,0
0,736453,83,3,733583,0
0,1006971,2,5,1005142,0
0,20976,61,2,18310,0
0,5331,150,2,2932,0
0,629809,115,3,627020,1
0,1816759,189,2,1814429,0
1,590672,258,1,588504,0
0,6553,122,2,4166,1
0,1152306,222,2,1149583,0
0,13678,156,2,10931,1
0,468388,72,3,465485,0
1,476059,149,1,473501,0
1,1152001,179,1,1149578,1
0,1007699,206,2,1005114,1
0,1129346,169,2,1126764,1
0,696919,77,2,694046,0
0,1156973,236,2,1154469,0
0,221070,141,2,218443,1
0,463778,84,2,460986,0
0,11062,6,2,8450,0
0,1553361,181,2,1550629,1
0,280853,68,2,278046,0
0,546370,50,2,543824,0
0,399549,238,2,396772,0
0,57145,60,3,54284,0
0,817323,82,2,814468,0
1,408107,19,1,405750,0
0,60414,227,2,57859,1
0,988200,207,2,985546,1
0,7898,12,2,5274,1
0,245264,52,2,242583,0
0,4732,125,2,2051,0
0,21506,63,2,18858,0
0,23129,128,3,20358,1
0,428401,73,2,425663,0
0,950785,134,2,948302,1
0,34218,64,2,31414,0
1,2065088,104,1,2062416,0
0,15093,157,3,12226,0
0,1251196,180,2,1248512,0
0,352788,249,2,350182,1
0,565683,140,2,563344,1
0,10603,8,3,7772,1
0,212927,0,5,211077,1
0,1200167,193,2,1197396,0
0,652210,99,2,649424,0
0,2201057,58,2,2198634,1
0,4709,34,2,2067,1
0,119436,255,2,116878,0
