GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,0,124,5471,135,135,110,3207,1,1
0,0,124,5583,97,96,99,3223,1,0
1,0,42,457048,88,87,9,454787,0,0
0,0,140,478833,231,231,6,476677,1,0
1,0,139,2336,146,146,113,3,0,1
1,0,51,552888,218,218,15,550654,0,0
0,0,98,835809,95,94,28,833647,1,0
0,0,124,4603,49,48,87,2336,1,0
1,0,11,1069200,208,208,45,1067095,0,0
0,0,96,2907,36,35,71,667,1,0
0,0,80,6046,151,151,114,3683,1,0
1,0,31,76342,177,177,33,73994,0,1
1,0,111,1167843,142,142,41,1165567,0,0
0,0,31,1026,4,3,69,22,3,1
0,1,91,692573,69,68,19,690150,1,0
0,0,90,27924,7,6,17,26149,3,1
0,0,0,754574,173,173,26,752403,1,0
1,0,52,1157625,115,115,42,1155433,0,0
1,0,38,12933,111,111,39,10912,0,1
1,0,26,96434,222,222,5,94266,0,1
1,0,25,35613,194,194,120,33460,0,1
0,0,67,604953,80,79,20,602554,1,0
0,0,54,2152,10,9,59,38,1,0
1,0,112,763015,83,82,37,760970,0,0
0,0,50,4215,71,70,19,1969,1,1
0,0,88,480713,38,37,4,478230,1,0
1,0,68,114439,9,8,3,112868,0,1
0,0,39,3201,59,58,73,2560,2,1
1,0,128,61722,220,220,51,61057,0,1
0,0,22,45278,100,99,18,42840,1,0
1,0,7,13918,120,120,104,11750,0,1
1,0,70,562476,171,171,10,560179,0,0
0,0,32,56175,84,83,5,53914,1,1
0,2,124,1518,58,57,93,1,3,1
0,0,117,1009290,45,44,38,1006993,1,0
1,0,57,50723,119,119,104,48507,0,1
0,0,72,487264,93,92,17,485114,1,0
0,0,1,35005,175,175,118,32786,1,1
0,0,22,371476,170,170,18,369323,1,0
0,0,134,477337,11,10,9,476408,3,0
0,0,106,1835184,67,66,46,1832923,1,0
1,0,38,53359,113,113,39,52601,0,1
1,0,5,1287,19,18,68,1,0,0
1,0,12,441740,91,90,29,439797,0,1
1,0,7,81519,12,11,5,79698,0,1
0,0,114,71686,212,212,49,69566,1,1
0,0,119,707127,48,47,23,704929,1,0
0,0,60,65232,217,217,50,62692,1,1
1,0,113,777368,224,224,31,775140,0,0
0,0,56,3230,126,126,22,921,1,1
0,0,124,1669,47,46,86,2,3,1
0,0,102,5540,44,43,84,3963,2,1
1,0,12,372955,230,230,29,370655,0,1
0,0,131,2191081,87,86,52,2188577,1,1
1,0,66,11060,139,139,31,8994,0,1
0,0,123,4184,235,235,35,1923,1,1
0,0,95,43304,155,155,55,40902,1,1
1,0,51,113111,165,165,15,111105,0,1
0,0,87,59089,41,40,55,56687,1,1
1,0,75,1189025,188,188,50,1186812,0,0
1,0,45,805063,178,178,38,803291,0,0
1,0,24,1835456,204,204,47,1833030,0,0
0,0,124,7454,52,51,89,5259,1,1
0,0,97,611448,109,109,10,610807,2,0
0,0,43,2776,152,152,115,509,1,0
1,0,16,1204656,196,196,44,1202680,0,0
0,0,16,4025,162,162,16,1761,1,1
0,0,43,2650,24,23,34,386,1,1
1,0,20,560447,98,97,52,558669,0,1
1,0,9,335828,153,153,29,333633,0,1
1,0,65,480279,203,203,44,478171,0,0
1,0,66,7012,6,5,31,5501,0,1
0,0,2,12909,140,140,111,10807,1,1
0,0,124,11646,122,122,105,9286,1,1
1,0,40,1116077,149,149,40,1113876,0,0
0,0,100,76316,29,28,50,74154,1,1
1,0,127,496899,101,100,1,495853,0,0
0,0,61,15153,205,205,30,12949,1,1
0,0,98,1027491,76,75,37,1024990,1,0
1,0,92,170211,121,121,48,168412,0,1
1,0,66,799420,225,225,31,796943,0,0
0,0,120,377705,96,95,57,375522,1,0
0,0,108,5046,157,157,116,2860,1,1
0,0,13,914046,63,62,33,913312,3,0
0,0,126,244454,156,156,19,243822,2,0
0,0,134,394758,20,19,9,393970,2,0
0,0,36,574603,168,168,21,572120,1,0
1,0,101,5117,216,216,81,2943,0,0
1,0,122,252998,129,129,28,250869,0,0
1,0,103,1108,159,159,75,1,0,0
1,0,111,92964,92,91,41,90784,0,1
0,0,124,3133,51,50,89,824,1,1
1,0,69,470842,187,187,51,468923,0,0
1,0,4,4059,30,29,70,1852,0,0
0,0,46,4593,1,0,17,2230,1,1
1,0,10,689616,82,81,52,687517,0,0
1,0,9,598394,167,167,21,596190,0,0
1,0,85,185005,117,117,58,182789,0,0
0,0,32,507624,191,191,3,505363,1,0
1,0,70,459000,172,172,10,456733,0,0
1,0,58,123424,232,232,8,121439,0,0
0,0,121,53099,223,223,38,50910,1,1
1,0,11,4883,42,41,82,2628,0,1
0,0,124,4516,53,52,90,3179,3,1
1,0,130,17178,106,105,102,14941,0,1
0,0,60,81116,3,2,13,80040,2,1
0,0,22,703891,72,71,23,701787,2,0
0,0,87,79561,116,116,55,77369,1,1
0,0,138,3704,22,21,66,1446,1,1
1,0,79,299939,227,227,11,297915,0,1
0,0,115,115059,158,158,22,112891,1,1
0,0,117,827,13,12,61,3,2,0
0,0,134,28523,81,80,37,26538,1,1
1,0,21,547726,132,132,7,545198,0,0
1,0,25,45480,195,195,120,43330,0,1
0,0,134,1039862,77,76,37,1037046,1,0
1,0,20,1937904,25,24,52,1935421,0,0
1,0,28,52834,182,182,0,50840,0,0
0,0,124,28514,0,107,103,26043,1,0
0,0,124,1138,5,4,106,2,3,0
1,0,104,62927,147,147,24,60651,0,1
1,0,136,16106,73,72,96,14127,0,0
0,0,124,7548,54,53,91,5362,1,0
0,0,53,828692,193,193,47,827244,1,1
0,0,22,711734,32,31,23,710958,2,0
0,0,31,482055,110,110,10,479794,1,0
1,0,94,89110,206,206,16,86993,0,1
0,0,46,71096,136,136,40,68619,1,1
0,0,93,798,163,163,77,1,3,1
0,0,111,2326647,17,16,52,2325364,3,0
0,0,125,9859,207,207,80,7598,1,1
0,0,81,120751,185,185,3,119534,3,1
1,0,135,70436,209,209,122,69252,0,1
1,0,89,7125,108,108,103,5011,0,0
0,0,59,1699,85,84,8,101,3,1
0,0,117,1333,16,15,63,3,2,0
1,0,134,468090,40,39,2,465892,0,0
1,0,77,811009,210,210,32,808763,0,0
1,0,42,619207,202,202,9,617003,0,0
0,0,41,194620,123,123,53,192110,1,0
0,0,37,52112,103,102,43,49749,1,1
0,0,62,14957,64,63,74,12933,1,0
1,0,86,1621,65,64,94,2,0,1
1,0,112,813661,180,180,37,811541,0,0
0,0,85,560608,179,179,16,558551,1,0
1,0,19,961848,150,150,36,959689,0,0
0,0,70,915393,62,61,33,914149,2,0
0,0,1,47037,176,176,118,44773,1,1
0,0,137,50074,189,189,3,47909,1,1
0,0,122,487691,31,30,18,485538,1,0
0,0,124,7225,105,104,101,4853,1,0
0,0,13,669010,130,130,16,666635,1,0
0,0,15,2335,169,169,12,101,3,1
0,0,76,2976,161,161,76,781,1,0
0,0,136,1159648,141,141,41,1157084,1,0
0,0,67,140815,228,228,11,140096,2,1
0,0,61,3637,160,160,33,1680,2,1
0,0,124,17152,134,134,109,14774,1,1
1,0,17,3774,18,17,64,1570,0,0
1,0,32,8253,102,101,41,6340,0,1
0,0,43,477141,197,197,7,476586,2,0
0,0,124,4334,94,93,98,1968,1,1
1,0,12,20192,201,201,29,18165,0,1
1,0,49,636865,79,78,20,634829,0,0
0,0,2,391932,8,7,57,389746,1,1
0,0,8,1152,14,13,60,1,3,0
1,0,94,122003,229,229,11,119982,0,1
0,0,110,6765,192,192,79,4204,1,1
0,0,113,6868,183,183,119,4559,1,1
0,0,124,3468,70,69,95,1171,1,0
0,0,28,2352753,128,128,52,2351474,2,0
