PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,CYCLIST_DESCRIPTION,BIRTH_PLACE,UCI_RIDER_ID,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,OLYMPEDIA_PEOPLE_ID,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,CYCLING_DISCIPLINE
1,4,51602.0,20770.0,8,,138672,8,6,18,86539,5,60.0,6,9,,8,1,81864,18564,8,178,2
1,5,16313.0,3333.0,6,134950.0,140752,6,3,13,44513,3,74.0,0,3,126409.0,6,13,18746,150,8,181,2
1,13,,,12,,217126,12,10,1,361755,9,,18,13,,12,10,150617,96135,5,185,2
1,11,56041.0,20719.0,14,127549.0,174582,14,14,17,88889,10,65.0,2,14,135863.0,14,13,72449,18655,2,177,3
1,3,41890.0,17794.0,4,16190.0,139904,4,8,19,68844,1,64.0,5,5,145561.0,4,13,52412,7724,0,187,4
1,15,57346.0,21244.0,18,17154.0,153344,18,1,7,77502,13,72.0,7,1,141008.0,18,0,59352,16786,2,190,2
1,2,62255.0,24189.0,3,5751.0,187231,3,9,3,79522,9,64.0,10,4,142857.0,3,4,82930,34011,4,176,2
1,7,43345.0,15281.0,9,3825.0,140722,9,0,16,64941,9,72.0,4,6,,9,13,32784,6246,2,178,2
1,9,27794.0,12923.0,13,156620.0,140821,13,13,4,58528,8,65.0,3,11,120895.0,13,13,36053,2961,7,176,2
1,14,71935.0,28298.0,0,,192457,0,12,2,98774,9,66.0,14,12,,0,9,114071,45987,5,176,2
1,17,66570.0,27708.0,17,,202331,17,5,10,109775,9,58.0,16,16,143137.0,17,3,119805,65025,5,170,1
1,1,,27923.0,2,,206705,2,4,6,109470,0,,15,0,,2,7,132446,71217,6,194,0
1,6,,26392.0,7,,193131,7,3,15,148275,4,69.0,13,2,,7,5,89152,45363,4,176,2
1,0,92428.0,32221.0,1,,238711,1,3,11,490235,9,,19,8,,1,11,130986,113439,6,182,2
1,12,83295.0,28377.0,15,84000.0,212377,15,3,0,587366,11,62.0,17,11,141007.0,15,8,141854,84019,5,171,2
1,16,,16895.0,19,16372.0,140066,19,2,12,53352,14,78.0,1,1,,19,13,21913,1970,3,190,2
1,10,58116.0,22910.0,16,15237.0,170625,16,9,5,99713,12,78.0,9,7,142862.0,16,12,81488,27111,1,186,2
1,18,49495.0,23426.0,5,29588.0,177246,5,6,8,87061,2,,12,10,,5,2,88470,37748,5,181,2
1,19,73646.0,27126.0,11,1718.0,179562,11,11,14,91890,7,73.0,11,15,,11,6,109608,37719,5,179,2
0,8,48143.0,21971.0,10,205449.0,168754,10,7,9,79462,6,,8,0,145562.0,10,13,64280,16672,5,184,1
