PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,CYCLIST_DESCRIPTION,BIRTH_PLACE,UCI_RIDER_ID,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,OLYMPEDIA_PEOPLE_ID,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,HEIGHT_CM,CYCLING_DISCIPLINE
1,3,62259.0,24110.0,4,1447.0,181212.0,4,7,0,250807.0,4,,7,3,,4,3,94988.0,27301.0,5,184.0,1
1,4,,29474.0,5,,215760.0,5,5,1,638202.0,4,,11,4,2502935.0,5,6,149604.0,92666.0,5,184.0,1
1,2,52038.0,20697.0,1,9866.0,156131.0,1,10,10,86630.0,4,68.0,4,5,144169.0,1,7,68186.0,20584.0,2,180.0,1
1,10,71935.0,28298.0,2,,192457.0,2,9,3,98774.0,4,66.0,10,10,,2,5,114071.0,45987.0,5,176.0,0
1,5,43344.0,16653.0,3,63128.0,140818.0,3,6,2,64670.0,0,78.0,2,2,125020.0,3,7,52068.0,2337.0,0,181.0,0
1,6,51602.0,20770.0,7,,138672.0,7,3,11,86539.0,2,60.0,5,7,,7,0,81864.0,18564.0,7,178.0,1
1,0,82827.0,30643.0,9,,217465.0,9,3,9,227110.0,4,,12,11,,9,4,151350.0,97547.0,5,184.0,0
1,8,41076.0,13362.0,10,56034.0,139405.0,10,8,12,65995.0,5,70.0,1,1,,10,7,51551.0,3277.0,6,177.0,1
1,9,56666.0,18975.0,0,32176.0,133024.0,0,1,4,70590.0,4,58.0,3,9,133999.0,0,7,65132.0,20147.0,3,172.0,1
1,12,49495.0,23426.0,6,29588.0,177246.0,6,3,5,87061.0,1,,8,8,,6,1,88470.0,37748.0,5,181.0,0
1,1,,25026.0,11,31358.0,198985.0,11,2,7,109855.0,6,54.0,9,6,141956.0,11,2,109700.0,58639.0,4,163.0,1
1,11,3083.0,3366.0,12,24074.0,140270.0,12,0,8,30329.0,4,63.0,0,5,132502.0,12,7,15181.0,568.0,1,175.0,0
0,7,48143.0,21971.0,8,205449.0,168754.0,8,4,6,79462.0,3,,6,0,145562.0,8,7,64280.0,16672.0,5,184.0,1
