Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Current_Team,Memoire_Du_Cyclisme_Cyclist_Id,Nationality,Sport_Type,Birthplace,Uci_Rider_Id,Native_Name,Languages,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,13,38259.0,13066.0,7,26443.0,140384,12,45665.0,0,2,3,62919,4,1,72.0,10,,10,7,39964,2211,8,178.0,8
0,16,46998.0,16666.0,16,22458.0,140492,14,55148.0,5,2,5,64680,4,4,71.0,6,,0,16,48356,2338,2,176.0,11
0,18,6154.0,267.0,15,110646.0,140757,5,12313.0,0,2,9,25781,9,1,64.0,0,111595.0,5,15,3175,339,10,170.0,5
0,3,,24316.0,0,,181239,4,,7,0,15,97280,10,7,67.0,14,146238.0,17,0,104872,37281,7,186.0,13
1,0,28095.0,12823.0,13,,137337,1,45429.0,0,3,0,58891,7,1,71.0,7,123794.0,1,13,34412,2322,10,182.0,4
0,14,26009.0,12193.0,11,1940308.0,140797,2,9096.0,8,1,18,54603,4,8,78.0,5,125137.0,15,11,30229,784,0,184.0,6
0,11,27794.0,12923.0,8,156620.0,140821,10,28843.0,6,2,4,58528,3,6,65.0,8,120895.0,8,8,36053,2961,9,176.0,9
0,12,52670.0,19335.0,9,16028.0,137764,8,58542.0,9,2,11,79919,5,9,69.0,9,142504.0,3,9,61303,7640,6,184.0,0
0,6,16313.0,3333.0,4,134950.0,140752,1,19461.0,1,2,7,44513,1,0,74.0,3,126409.0,16,4,18746,150,10,181.0,1
0,9,6018.0,3940.0,10,17747.0,140369,13,12223.0,5,2,10,46935,4,4,69.0,1,,4,10,19428,1973,10,174.0,3
0,1,,19419.0,6,,176326,9,,10,0,17,79629,4,1,,13,,7,6,74314,7998,7,178.0,13
0,10,61536.0,23427.0,5,10153.0,177662,11,,4,2,16,97741,2,3,65.0,16,,12,5,95079,27289,4,181.0,13
0,2,,25026.0,14,31358.0,198985,7,,2,2,8,109855,8,9,54.0,17,141956.0,6,14,109700,58639,5,163.0,13
0,8,,,18,,217665,3,,3,2,1,675098,4,2,,18,,13,18,151104,97944,7,,13
0,4,43344.0,16653.0,1,63128.0,140818,0,45469.0,3,0,2,64670,0,2,78.0,12,125020.0,2,1,52068,2337,1,181.0,10
1,7,10573.0,1849.0,3,,140695,10,15403.0,1,2,14,28865,4,5,63.0,4,,11,3,5845,856,10,177.0,2
0,17,47214.0,16722.0,17,34792.0,140674,6,46202.0,1,0,12,64531,4,5,71.0,11,132670.0,18,17,52973,6228,11,183.0,12
0,5,62573.0,23503.0,2,54522.0,181270,15,,2,2,13,92264,4,9,63.0,15,141954.0,9,2,91205,27124,3,174.0,13
0,15,30026.0,7147.0,12,140921.0,140611,1,42655.0,0,2,6,57601,6,1,62.0,2,132499.0,14,12,32008,563,10,172.0,7
