Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,TwitterHandle,Birthplace,UciRiderId,WeightKg,Birthdate,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,0,47589.0,20960,19,11,12247.0,158017,8,14,19,74994.0,83.0,15,17,65329,16724.0,4,193.0,1
0,5,6679.0,2086,2,1,170534.0,140786,4,0,9,22143.0,82.0,5,1,9414,377.0,12,184.0,17
0,8,66256.0,25157,8,5,22666.0,189438,2,7,14,96372.0,65.0,22,7,97448,41249.0,11,174.0,18
0,22,,4184,22,0,,140324,5,8,11,500336.0,68.0,9,20,20130,1318.0,6,182.0,11
0,14,,9803,16,0,,139811,5,8,18,582454.0,66.0,13,14,30128,700.0,8,183.0,3
0,3,7299.0,4819,3,4,10959.0,140705,0,11,2,30859.0,73.0,8,2,17957,705.0,12,188.0,16
0,12,,1265,14,0,,139808,1,8,11,14103.0,,0,12,4373,2153.0,3,,4
0,6,6978.0,4377,6,0,7658.0,140865,6,1,10,198213.0,76.0,11,5,18964,31.0,9,181.0,10
0,17,729.0,344,10,0,4558.0,140848,5,5,11,349962.0,76.0,1,9,517,464.0,12,190.0,15
0,7,16313.0,3333,7,3,134950.0,140752,0,2,6,44513.0,74.0,7,6,18746,150.0,12,181.0,8
0,2,8760.0,4179,1,8,42225.0,140749,6,4,12,32691.0,78.0,12,0,19407,406.0,2,181.0,14
0,13,,24107,15,0,,176926,8,8,20,89262.0,,21,13,74368,37470.0,8,,18
0,16,22870.0,1646,18,12,,140614,3,8,15,32145.0,70.0,10,16,19086,346.0,12,186.0,12
0,1,52844.0,19391,0,7,2315.0,132228,1,10,5,75144.0,,16,0,61758,7572.0,8,,18
0,18,61547.0,23429,4,10,,176731,1,8,1,736192.0,74.0,20,3,64800,37219.0,10,186.0,18
0,15,,17011,17,0,,134430,6,8,7,75578.0,,2,15,65908,,0,,2
0,9,62729.0,23558,9,6,20811.0,181257,1,12,4,97437.0,75.0,18,8,101407,27121.0,7,192.0,18
0,19,55907.0,20793,21,0,2918.0,168755,5,13,13,461093.0,73.0,17,19,66627,16610.0,5,178.0,6
0,10,11713.0,1041,11,0,,140802,6,8,17,32155.0,63.0,6,9,15413,408.0,12,176.0,13
0,4,30223.0,9896,5,2,8676.0,140300,1,3,3,58401.0,,14,4,36780,1715.0,1,183.0,0
0,21,11313.0,587,13,0,,138674,7,8,8,20700.0,,4,11,11876,673.0,12,,9
0,11,58428.0,21992,12,9,23650.0,168776,5,6,16,86895.0,,19,10,77835,16793.0,11,179.0,5
1,20,3516.0,1303,20,0,31384.0,140584,9,9,0,,75.0,3,18,12756,271.0,12,190.0,7
