Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,TwitterHandle,Birthplace,UciRiderId,WeightKg,Birthdate,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,2,22932.0,7530.0,5,0,6335.0,140231.0,6,18,23,46940.0,63.0,4,5,37173.0,3224.0,15,170.0,16
2,12,23014.0,7606.0,2,0,95405.0,140501.0,14,29,22,45633.0,68.0,5,3,20340.0,828.0,16,179.0,9
1,30,41892.0,19165.0,24,0,16935.0,137797.0,8,8,35,66315.0,73.0,18,22,43238.0,11313.0,5,184.0,4
1,9,65955.0,26396.0,37,2,12337.0,189441.0,1,17,2,92304.0,,27,36,110201.0,41293.0,6,186.0,21
1,18,62729.0,23558.0,17,15,20811.0,181257.0,3,23,13,97437.0,75.0,24,16,101407.0,27121.0,9,192.0,21
1,27,56041.0,20719.0,29,22,127549.0,174582.0,12,28,28,88889.0,65.0,7,28,72449.0,18655.0,5,177.0,19
1,0,46381.0,18610.0,15,1,77168.0,137427.0,5,16,24,71557.0,62.0,17,14,63999.0,12474.0,3,173.0,0
1,6,,27923.0,3,5,,206705.0,14,19,6,109470.0,,33,2,132446.0,71217.0,13,194.0,21
1,16,43343.0,18233.0,11,11,25211.0,140123.0,0,5,16,68235.0,,16,11,52559.0,5059.0,2,186.0,1
1,24,27794.0,12923.0,23,16,156620.0,140821.0,10,25,5,58528.0,65.0,9,21,36053.0,2961.0,15,176.0,12
0,22,48143.0,21971.0,21,19,205449.0,168754.0,8,27,12,79462.0,,23,20,64280.0,16672.0,12,184.0,20
1,34,57346.0,21244.0,34,24,17154.0,153344.0,0,13,7,77502.0,72.0,21,33,59352.0,16786.0,5,190.0,21
1,10,,22005.0,6,0,,135527.0,0,10,3,93662.0,,15,6,78283.0,28169.0,12,184.0,21
1,7,,29474.0,4,6,,215760.0,4,3,0,638202.0,,35,4,149604.0,92666.0,12,184.0,21
1,36,6263.0,45.0,28,21,247878.0,140855.0,0,11,31,24166.0,70.0,0,27,4177.0,174.0,0,179.0,11
1,20,,13661.0,18,0,,125431.0,9,6,14,81142.0,,6,17,36976.0,5018.0,8,,21
1,37,49495.0,23426.0,7,7,29588.0,177246.0,8,20,8,87061.0,,26,7,88470.0,37748.0,12,181.0,21
1,11,47066.0,16881.0,26,0,41605.0,140633.0,5,1,36,59614.0,,10,24,32178.0,2530.0,16,175.0,13
0,14,47965.0,17988.0,35,20,,138125.0,0,10,34,70962.0,74.0,19,34,64279.0,8377.0,12,1.85,21
1,21,65469.0,24924.0,20,18,,186507.0,7,26,26,109737.0,,29,19,120486.0,38481.0,11,202.0,21
1,4,37006.0,,0,3,94624.0,134509.0,8,0,32,60655.0,60.0,1,0,40699.0,89434.0,1,168.0,15
1,26,76174.0,29275.0,27,8,,207950.0,3,10,17,,,36,9,137549.0,75478.0,12,187.0,21
1,3,55192.0,19941.0,36,26,31137.0,135398.0,0,31,11,86228.0,75.0,14,35,59790.0,10971.0,7,180.0,3
2,13,19255.0,3891.0,8,0,508772.0,140196.0,14,2,4,32532.0,71.0,2,8,11292.0,716.0,14,183.0,8
1,17,69190.0,25740.0,13,13,,196424.0,3,15,9,112082.0,,28,12,115868.0,38195.0,12,175.0,21
1,5,74592.0,31263.0,1,4,,241011.0,5,10,20,101278.0,,32,1,122630.0,72919.0,12,173.0,21
1,8,55237.0,17078.0,9,9,1066.0,133707.0,2,4,29,64693.0,60.0,13,10,38480.0,6269.0,4,181.0,6
1,15,,26392.0,10,10,,193131.0,0,10,18,148275.0,69.0,31,11,89152.0,45363.0,10,176.0,21
1,1,47686.0,17534.0,12,12,8603.0,140333.0,13,21,19,59773.0,72.0,11,26,37589.0,2325.0,15,183.0,18
1,23,,20784.0,22,0,10912.0,172104.0,4,7,0,88551.0,58.0,20,25,83510.0,18117.0,16,173.0,2
1,19,49291.0,16898.0,16,0,,138803.0,5,10,25,499064.0,,3,15,58966.0,8094.0,11,,17
1,31,92920.0,31654.0,14,14,20671.0,240140.0,13,22,1,415141.0,,37,13,140379.0,114659.0,13,183.0,21
1,32,55907.0,20793.0,31,0,2918.0,168755.0,7,24,27,461093.0,73.0,22,30,66627.0,16610.0,7,178.0,7
1,25,43388.0,14319.0,25,17,67673.0,140293.0,13,9,21,68367.0,63.0,8,23,58588.0,2278.0,16,173.0,14
1,29,,,19,0,,198786.0,3,10,30,154133.0,,30,18,139565.0,65028.0,12,,21
1,28,41076.0,13362.0,30,23,56034.0,139405.0,11,12,33,65995.0,70.0,12,29,51551.0,3277.0,15,177.0,10
1,33,56672.0,22018.0,32,0,52940.0,168758.0,14,30,10,86735.0,,25,31,74063.0,16639.0,16,183.0,5
1,35,66570.0,27708.0,33,25,,202331.0,14,14,15,109775.0,58.0,34,32,119805.0,65025.0,12,170.0,21
