Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,1330,9,9,2,0
0,0,30308,48,7,27168,1
1,0,56857,120,2,54575,1
0,0,1097,10,8,1,0
1,0,5564,34,2,2433,1
1,0,2735,75,2,246,1
1,0,929052,122,2,925927,0
0,0,52289,82,7,48939,1
0,0,581462,110,6,578019,0
0,0,212280,147,9,211864,0
1,0,38881,130,2,36347,0
0,0,297517,76,7,294389,0
1,0,81368,19,2,80808,1
0,0,720,140,9,1,1
1,0,742903,100,2,741965,0
1,0,28960,0,2,27503,1
0,0,429068,81,7,425925,0
1,0,118859,95,2,115842,1
1,0,69438,35,2,67273,0
0,0,6138,37,8,5206,0
0,0,315827,124,7,312663,0
0,0,639,65,9,1,1
1,0,99546,108,2,97369,0
1,0,32123,55,2,29739,1
0,0,48514,137,7,47612,1
1,0,3506,77,2,2283,1
0,0,116617,51,7,113450,0
0,0,541,43,3,26,0
0,0,4229,136,7,1371,1
0,0,33235,5,9,30782,1
0,0,763,7,1,5,0
1,0,767496,93,2,766105,0
0,0,567659,24,1,567123,0
1,0,99066,111,2,97825,1
0,0,318588,152,7,315535,0
0,0,1011,6,9,1,0
0,0,546,142,9,1,1
1,0,4884,47,2,1753,1
1,0,213521,148,2,212382,0
1,0,11203,39,2,8075,1
1,0,74545,150,2,72053,1
0,0,2066,18,9,3,1
0,0,704,12,4,18,1
0,0,81855,145,7,78709,1
1,0,341238,26,2,338959,1
1,0,306062,91,2,305283,0
1,0,5181,103,2,4192,0
1,0,99079,49,2,97820,1
0,0,35758,4,8,35156,1
0,0,33620,83,7,30504,1
0,0,521345,22,7,518232,0
0,1,54155,54,7,50976,1
0,0,48145,1,5,47690,1
0,0,1005,15,9,1,1
0,0,9252,126,9,7177,0
0,0,1242,14,8,3,0
1,0,573456,41,2,572590,0
0,0,632799,45,7,629461,0
1,0,53098,125,2,49949,1
0,0,1771,17,9,5,0
0,0,55385,128,7,52233,1
1,0,6751,104,2,5450,0
1,0,3425,117,2,855,1
0,0,765509,31,7,762384,0
0,0,716461,42,7,713525,0
0,0,153763,101,6,151067,1
0,0,307836,151,9,304756,0
0,0,227216,74,9,225387,0
0,0,43791,67,7,40663,1
1,0,100486,50,2,98009,0
0,0,975350,133,6,972864,1
1,0,1651,92,2,830,1
0,0,4790,123,7,1644,1
0,0,30678,113,8,29548,1
0,0,642289,106,7,639173,0
0,0,40231,109,8,38468,1
0,0,1291,11,9,11,1
1,0,694715,132,2,691713,0
0,0,5115,52,6,2545,1
1,0,5807,129,2,3882,1
1,0,762911,102,2,760413,0
0,0,100844,29,8,99663,0
1,0,506465,68,2,504186,1
1,0,1242856,78,2,1242191,1
1,0,57661,38,2,55166,1
1,0,824374,60,2,822413,0
1,0,672501,85,2,670264,0
0,0,484,139,9,2,1
0,0,7732,62,7,4595,0
0,0,506906,98,0,503742,0
1,0,96937,119,2,96035,1
0,0,3141,88,8,982,1
0,0,302755,57,9,301802,0
0,0,1289,8,9,3,0
1,0,492209,21,2,489726,0
0,0,703218,16,9,701626,0
1,0,7840,64,2,6842,1
1,0,383983,3,2,383429,1
1,0,1482,105,2,1,0
0,0,304,127,8,2,0
0,0,40333,118,7,37199,1
0,0,6322,40,7,3197,1
1,0,673825,80,2,670661,0
1,0,201983,146,2,197949,0
1,0,232598,154,2,230508,0
1,0,46653,84,2,44743,1
1,0,789292,94,2,788021,0
1,0,714709,99,2,711560,0
0,0,11360,89,7,8184,1
0,0,11460,143,8,9091,1
0,0,772874,149,7,769737,0
1,0,341160,155,2,338881,1
0,0,135805,156,7,132644,0
0,0,326955,28,7,323962,0
1,0,4234,73,2,3116,1
1,0,371763,2,10,371065,1
0,0,562767,56,7,559651,0
1,0,676357,27,2,675068,0
0,0,4123,87,6,1628,1
0,0,24175,33,7,21059,1
1,0,8113,61,2,5945,0
0,0,696,114,8,1,0
1,0,552643,116,2,550361,1
0,0,225838,90,7,222980,0
0,0,46094,72,6,43491,1
0,0,296392,23,7,293633,0
1,0,36371,141,2,34218,1
0,0,220362,115,6,217744,0
1,0,532553,153,2,531252,0
0,0,34862,86,1,34431,1
1,0,638513,69,2,636579,0
1,0,685611,66,2,683131,0
0,0,9728,36,7,6585,0
0,0,5438,138,8,3198,1
0,0,13944,59,6,11467,1
0,0,37772,134,7,34755,1
0,0,7310,32,7,4179,1
1,0,8362,131,2,5834,0
0,0,96112,112,7,92984,1
1,0,6579,63,2,5257,1
1,0,8781,25,2,5653,0
0,0,8449,121,7,5315,1
0,0,34018,53,6,31541,0
0,0,1015710,30,7,1014604,0
1,0,93861,97,2,92599,1
0,0,905463,46,7,902746,0
1,0,673601,71,2,670680,0
1,0,741862,157,2,740972,0
0,0,559272,79,7,556483,0
1,0,12199,144,2,10430,0
1,0,631461,70,2,630235,0
0,0,2165,135,8,1,1
0,0,68231,96,7,65097,1
0,0,704396,13,9,703461,0
1,0,301337,20,2,298548,1
1,0,796646,58,2,794730,0
0,0,11508,107,6,8902,1
1,0,1017672,44,2,1015075,0
