Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,SportCountry
1,45,71935.0,28298.0,5,3,,192457.0,3,21,15,5,98774.0,66.0,48,29,7,3,114071.0,45987.0,15,176.0,38,8
1,10,,29474.0,6,6,,215760.0,7,15,8,3,638202.0,,50,8,16,7,149604.0,92666.0,15,184.0,38,12
1,25,62729.0,23558.0,19,22,20811.0,181257.0,24,11,31,20,97437.0,75.0,40,19,1,24,101407.0,27121.0,11,192.0,38,5
1,38,26009.0,12193.0,27,36,1940308.0,140797.0,37,27,34,50,54603.0,78.0,19,7,33,36,30229.0,784.0,0,184.0,24,12
1,12,,19953.0,7,8,9081.0,137740.0,9,16,9,21,81980.0,76.0,34,0,22,8,77405.0,14737.0,8,189.0,3,6
1,3,47885.0,18123.0,35,29,21399.0,139801.0,31,10,12,49,68832.0,71.0,27,31,40,30,58401.0,6309.0,21,179.0,2,5
1,4,46381.0,18610.0,3,21,77168.0,137427.0,23,17,23,37,71557.0,62.0,30,24,0,23,63999.0,12474.0,6,173.0,1,12
2,17,23014.0,7606.0,0,5,95405.0,140501.0,6,5,37,36,45633.0,68.0,16,12,36,6,20340.0,828.0,21,179.0,15,17
1,33,53778.0,21261.0,24,33,2006.0,174179.0,35,0,14,7,78098.0,74.0,35,11,35,34,70986.0,21855.0,15,189.0,8,0
1,41,41076.0,13362.0,32,42,56034.0,139405.0,43,20,18,45,65995.0,70.0,22,5,3,42,51551.0,3277.0,20,177.0,22,13
1,7,61538.0,24057.0,0,14,,177672.0,15,21,15,42,91640.0,82.0,42,32,15,15,79184.0,27099.0,22,193.0,38,8
0,21,47965.0,17988.0,21,45,,138125.0,46,3,15,46,70962.0,74.0,33,22,25,45,64279.0,8377.0,15,1.85,38,12
1,18,16313.0,3333.0,15,17,134950.0,140752.0,18,3,7,23,44513.0,74.0,11,6,42,18,18746.0,150.0,21,181.0,12,2
